Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.003207,8.685849,[18  9] ; [22 44],[11.61290323 15.38709677] ; [28.38709677 37.61290323],0
a8,1,0.020349,5.381704,[ 3 19] ; [ 1 63],[ 1.02325581 20.97674419] ; [ 2.97674419 61.02325581],0
a3,1,0.036437,4.376551,[22  5] ; [40 28],[17.62105263  9.37894737] ; [44.37894737 23.62105263],0
s7,1,0.054506,3.69715,[17  9] ; [28 37],[12.85714286 13.14285714] ; [32.14285714 32.85714286],0
r4,1,0.070518,3.270929,[25  2] ; [52 16],[21.88421053  5.11578947] ; [55.11578947 12.88421053],0
b5,1,0.104095,2.641662,[13 14] ; [45 23],[16.48421053 10.51578947] ; [41.51578947 26.48421053],0
p7,1,0.107163,2.595567,[16 11] ; [27 39],[12.48387097 14.51612903] ; [30.51612903 35.48387097],0
d4,1,0.140009,2.177864,[22  5] ; [45 23],[19.04210526  7.95789474] ; [47.95789474 20.04210526],0
s3,1,0.166402,1.915063,[21  5] ; [45 23],[18.25531915  7.74468085] ; [47.74468085 20.25531915],0
v4,1,0.219445,1.507997,[26  1] ; [59  8],[24.41489362  2.58510638] ; [60.58510638  6.41489362],0
r3,1,0.226245,1.464311,[26  1] ; [60  8],[24.44210526  2.55789474] ; [61.55789474  6.44210526],0
s8,1,0.246522,1.342905,[13 14] ; [24 44],[10.51578947 16.48421053] ; [26.48421053 41.51578947],0
d1,1,0.281009,1.162206,[14 13] ; [27 41],[11.65263158 15.34736842] ; [29.34736842 38.65263158],0
p2,1,0.32865,0.95421,[21  6] ; [46 22],[19.04210526  7.95789474] ; [47.95789474 20.04210526],0
s5,1,0.367529,0.812,[12 14] ; [23 41],[10.11111111 15.88888889] ; [24.88888889 39.11111111],0
d3,1,0.379737,0.771554,[20  7] ; [44 24],[18.18947368  8.81052632] ; [45.81052632 22.18947368],0
u2,1,0.387985,0.745247,[3 2] ; [11 17],[2.12121212 2.87878788] ; [11.87878788 16.12121212],0
n2,1,0.395772,0.721134,[8 2] ; [15  8],[6.96969697 3.03030303] ; [16.03030303  6.96969697],0
b3,1,0.40061,0.706494,[ 3 12] ; [ 4 32],[ 2.05882353 12.94117647] ; [ 4.94117647 31.05882353],0
b2,1,0.40061,0.706494,[ 3 12] ; [ 4 32],[ 2.05882353 12.94117647] ; [ 4.94117647 31.05882353],0
p8,1,0.409766,0.679481,[10 17] ; [19 48],[ 8.32978723 18.67021277] ; [20.67021277 46.32978723],0
d5,1,0.414438,0.666034,[22  5] ; [50 18],[20.46315789  6.53684211] ; [51.53684211 16.46315789],0
n5,1,0.438665,0.599773,[16 11] ; [46 22],[17.62105263  9.37894737] ; [44.37894737 23.62105263],0
v1,1,0.45223,0.565056,[13 14] ; [27 41],[11.36842105 15.63157895] ; [28.63157895 39.36842105],0
r1,1,0.45511,0.557895,[20  7] ; [45 23],[18.47368421  8.52631579] ; [46.52631579 21.47368421],0
d2,1,0.488714,0.479357,[12 15] ; [25 43],[10.51578947 16.48421053] ; [26.48421053 41.51578947],0
p11,1,0.510034,0.433998,[19  8] ; [43 25],[17.62105263  9.37894737] ; [44.37894737 23.62105263],0
p3,1,0.525856,0.402392,[11 16] ; [23 45],[ 9.66315789 17.33684211] ; [24.33684211 43.66315789],0
n6,1,0.529869,0.394642,[24  3] ; [57 11],[23.02105263  3.97894737] ; [57.97894737 10.02105263],0
s2,1,0.55388,0.350412,[18  8] ; [42 25],[16.77419355  9.22580645] ; [43.22580645 23.77419355],0
b4,1,0.576833,0.311383,[16 11] ; [36 32],[14.77894737 12.22105263] ; [37.22105263 30.77894737],0
s6,1,0.652126,0.20323,[19  6] ; [53 13],[19.78021978  5.21978022] ; [52.21978022 13.78021978],0
a7,1,0.663061,0.189827,[17 10] ; [46 22],[17.90526316  9.09473684] ; [45.09473684 22.90526316],0
s1,1,0.667979,0.183975,[ 1 26] ; [ 4 64],[ 1.42105263 25.57894737] ; [ 3.57894737 64.42105263],0
a2,1,0.686485,0.162917,[ 4 23] ; [ 8 60],[ 3.41052632 23.58947368] ; [ 8.58947368 59.41052632],0
u1,1,0.686485,0.162917,[ 4 23] ; [ 8 60],[ 3.41052632 23.58947368] ; [ 8.58947368 59.41052632],0
n1,1,0.707677,0.140609,[2 8] ; [ 6 17],[2.42424242 7.57575758] ; [ 5.57575758 17.42424242],0
n3,1,0.707677,0.140609,[8 2] ; [17  6],[7.57575758 2.42424242] ; [17.42424242  5.57575758],0
n4,1,0.80986,0.057891,[17 10] ; [41 27],[16.48421053 10.51578947] ; [41.51578947 26.48421053],0
p4,1,0.80986,0.057891,[10 17] ; [27 41],[10.51578947 16.48421053] ; [26.48421053 41.51578947],0
p9,1,0.81783,0.053055,[20  6] ; [50 17],[19.56989247  6.43010753] ; [50.43010753 16.56989247],0
a1,1,0.847985,0.036745,[ 1 26] ; [ 2 66],[ 0.85263158 26.14736842] ; [ 2.14736842 65.85263158],0
p5,1,0.847985,0.036745,[ 1 26] ; [ 2 66],[ 0.85263158 26.14736842] ; [ 2.14736842 65.85263158],0
u3,1,0.854403,0.033673,[3 2] ; [18 10],[3.18181818 1.81818182] ; [17.81818182 10.18181818],0
a5,1,0.913531,0.011791,[17 10] ; [42 26],[16.76842105 10.23157895] ; [42.23157895 25.76842105],0
p10,1,0.925662,0.008706,[20  7] ; [49 18],[19.81914894  7.18085106] ; [49.18085106 17.81914894],0
a4,1,0.963633,0.002079,[ 9 18] ; [23 45],[ 9.09473684 17.90526316] ; [22.90526316 45.09473684],0
b1,1,0.963633,0.002079,[ 9 18] ; [23 45],[ 9.09473684 17.90526316] ; [22.90526316 45.09473684],0
a6,1,0.976922,0.000837,[15 12] ; [38 30],[15.06315789 11.93684211] ; [37.93684211 30.06315789],0
