Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.002264,9.322456,[41  1] ; [29 10],[36.2962963  5.7037037] ; [33.7037037  5.2962963],0
s2,1,0.005339,7.760749,[35  7] ; [22 18],[29.19512195 12.80487805] ; [27.80487805 12.19512195],0
d1,1,0.010522,6.544272,[34  9] ; [21 19],[28.4939759 14.5060241] ; [26.5060241 13.4939759],0
u1,1,0.017191,5.67676,[15 28] ; [ 5 35],[10.36144578 32.63855422] ; [ 9.63855422 30.36144578],0
p10,1,0.031328,4.634876,[39  4] ; [29 11],[35.22891566  7.77108434] ; [32.77108434  7.22891566],0
p5,1,0.032455,4.57431,[ 9 34] ; [ 2 38],[ 5.69879518 37.30120482] ; [ 5.30120482 34.69879518],0
s7,1,0.038456,4.284754,[32 10] ; [20 17],[27.64556962 14.35443038] ; [24.35443038 12.64556962],0
d2,1,0.039265,4.249364,[29 14] ; [18 22],[24.34939759 18.65060241] ; [22.65060241 17.34939759],0
p1,1,0.057103,3.619583,[ 8 35] ; [ 2 38],[ 5.18072289 37.81927711] ; [ 4.81927711 35.18072289],0
b3,1,0.067352,3.346407,[ 9 17] ; [ 3 21],[ 6.24 19.76] ; [ 5.76 18.24],0
b2,1,0.067352,3.346407,[ 9 17] ; [ 3 21],[ 6.24 19.76] ; [ 5.76 18.24],0
v4,1,0.073693,3.198776,[42  1] ; [35  5],[39.89156627  3.10843373] ; [37.10843373  2.89156627],0
s3,1,0.095143,2.785134,[35  7] ; [27 13],[31.75609756 10.24390244] ; [30.24390244  9.75609756],0
v1,1,0.104047,2.642387,[27 16] ; [18 22],[23.31325301 19.68674699] ; [21.68674699 18.31325301],0
v3,1,0.121912,2.392582,[18 25] ; [10 29],[14.68292683 28.31707317] ; [13.31707317 25.68292683],0
r4,1,0.141127,2.165628,[40  3] ; [33  7],[37.81927711  5.18072289] ; [35.18072289  4.81927711],0
p11,1,0.145665,2.117066,[35  8] ; [27 13],[32.12048193 10.87951807] ; [29.87951807 10.12048193],0
n2,1,0.153338,2.03873,[6 4] ; [8 1],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
b5,1,0.161395,1.961108,[27 16] ; [19 21],[23.8313253 19.1686747] ; [22.1686747 17.8313253],0
p9,1,0.186273,1.74685,[38  5] ; [31  9],[35.74698795  7.25301205] ; [33.25301205  6.74698795],0
n5,1,0.23275,1.423978,[34  9] ; [27 13],[31.60240964 11.39759036] ; [29.39759036 10.60240964],0
p6,1,0.242856,1.363936,[28 15] ; [21 19],[25.38554217 17.61445783] ; [23.61445783 16.38554217],0
a2,1,0.259482,1.271517,[12 31] ; [ 7 33],[ 9.84337349 33.15662651] ; [ 9.15662651 30.84337349],0
p12,1,0.277596,1.178821,[ 5 38] ; [ 2 38],[ 3.62650602 39.37349398] ; [ 3.37349398 36.62650602],0
p2,1,0.294355,1.099596,[38  5] ; [32  8],[36.26506024  6.73493976] ; [33.73493976  6.26506024],0
n6,1,0.311971,1.022314,[37  6] ; [31  9],[35.22891566  7.77108434] ; [32.77108434  7.22891566],0
a3,1,0.347101,0.884026,[33 10] ; [27 13],[31.08433735 11.91566265] ; [28.91566265 11.08433735],0
p8,1,0.351262,0.868892,[31 12] ; [25 15],[29.01204819 13.98795181] ; [26.98795181 13.01204819],0
b4,1,0.392852,0.730096,[24 19] ; [26 14],[25.90361446 17.09638554] ; [24.09638554 15.90361446],0
a4,1,0.439594,0.597341,[20 23] ; [22 18],[21.75903614 21.24096386] ; [20.24096386 19.75903614],0
p7,1,0.472822,0.515374,[36  7] ; [31  9],[34.71084337  8.28915663] ; [32.28915663  7.71084337],0
a8,1,0.526848,0.400467,[ 1 40] ; [ 2 37],[ 1.5375 39.4625] ; [ 1.4625 37.5375],0
d3,1,0.594585,0.283241,[30 13] ; [30 10],[31.08433735 11.91566265] ; [28.91566265 11.08433735],0
r2,1,0.620425,0.24527,[40  3] ; [36  4],[39.37349398  3.62650602] ; [36.62650602  3.37349398],0
v2,1,0.641478,0.216814,[20 22] ; [17 23],[18.95121951 23.04878049] ; [18.04878049 21.95121951],0
n4,1,0.65674,0.197508,[33 10] ; [29 11],[32.12048193 10.87951807] ; [29.87951807 10.12048193],0
d5,1,0.656894,0.197319,[37  6] ; [33  7],[36.26506024  6.73493976] ; [33.73493976  6.26506024],0
d4,1,0.656894,0.197319,[37  6] ; [33  7],[36.26506024  6.73493976] ; [33.73493976  6.26506024],0
p4,1,0.656894,0.197319,[37  6] ; [33  7],[36.26506024  6.73493976] ; [33.73493976  6.26506024],0
s5,1,0.658306,0.195587,[22 17] ; [19 18],[21.03947368 17.96052632] ; [19.96052632 17.03947368],0
a6,1,0.669552,0.182127,[26 17] ; [26 14],[26.93975904 16.06024096] ; [25.06024096 14.93975904],0
u3,1,0.672754,0.178397,[7 3] ; [8 5],[6.52173913 3.47826087] ; [8.47826087 4.52173913],0
b1,1,0.738755,0.111224,[22 21] ; [19 21],[21.24096386 21.75903614] ; [19.75903614 20.24096386],0
u2,1,0.767896,0.087101,[4 6] ; [6 7],[4.34782609 5.65217391] ; [5.65217391 7.34782609],0
