Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.032382,4.578179,[17  5] ; [36 34],[12.67391304  9.32608696] ; [40.32608696 29.67391304],0
b1,1,0.050542,3.823377,[ 7 15] ; [39 31],[11. 11.] ; [35. 35.],0
d4,1,0.092366,2.832643,[16  5] ; [39 31],[12.69230769  8.30769231] ; [42.30769231 27.69230769],0
d5,1,0.099955,2.70626,[16  6] ; [37 33],[12.67391304  9.32608696] ; [40.32608696 29.67391304],0
p3,1,0.103881,2.644926,[ 2 19] ; [18 50],[ 4.71910112 16.28089888] ; [15.28089888 52.71910112],0
u2,1,0.111574,2.53178,[6 4] ; [12 25],[3.82978723 6.17021277] ; [14.17021277 22.82978723],0
s5,1,0.122066,2.390606,[ 5 17] ; [ 7 63],[ 2.86956522 19.13043478] ; [ 9.13043478 60.86956522],0
p8,1,0.140328,2.174364,[ 3 19] ; [20 48],[ 5.62222222 16.37777778] ; [17.37777778 50.62222222],0
s2,1,0.155675,2.01574,[ 2 20] ; [16 54],[ 4.30434783 17.69565217] ; [13.69565217 56.30434783],0
s6,1,0.172176,1.863896,[ 9 13] ; [18 52],[ 6.45652174 15.54347826] ; [20.54347826 49.45652174],0
n5,1,0.20329,1.618577,[10 12] ; [42 27],[12.57142857  9.42857143] ; [39.42857143 29.57142857],0
s4,1,0.219354,1.508592,[ 1 21] ; [10 60],[ 2.63043478 19.36956522] ; [ 8.36956522 61.63043478],0
p9,1,0.221655,1.493622,[ 9 13] ; [38 30],[11.48888889 10.51111111] ; [35.51111111 32.48888889],0
a4,1,0.236651,1.400436,[ 9 13] ; [19 50],[ 6.76923077 15.23076923] ; [21.23076923 47.76923077],0
p4,1,0.255798,1.291358,[ 4 17] ; [22 47],[ 6.06666667 14.93333333] ; [19.93333333 49.06666667],0
a5,1,0.28027,1.165778,[12 10] ; [29 41],[ 9.80434783 12.19565217] ; [31.19565217 38.80434783],0
a7,1,0.283556,1.149968,[13  8] ; [34 36],[10.84615385 10.15384615] ; [36.15384615 33.84615385],0
p7,1,0.329212,0.951995,[ 5 15] ; [25 43],[ 6.81818182 13.18181818] ; [23.18181818 44.81818182],0
p11,1,0.374924,0.78728,[ 8 14] ; [33 37],[ 9.80434783 12.19565217] ; [31.19565217 38.80434783],0
u1,1,0.385831,0.752041,[ 2 20] ; [ 3 67],[ 1.19565217 20.80434783] ; [ 3.80434783 66.19565217],0
s8,1,0.385831,0.752041,[ 2 20] ; [ 3 67],[ 1.19565217 20.80434783] ; [ 3.80434783 66.19565217],0
r3,1,0.387487,0.746815,[ 9 12] ; [37 32],[10.73333333 10.26666667] ; [35.26666667 33.73333333],0
a3,1,0.387487,0.746815,[12  9] ; [32 37],[10.26666667 10.73333333] ; [33.73333333 35.26666667],0
p10,1,0.38778,0.745892,[12 10] ; [29 37],[10.25 11.75] ; [30.75 35.25],0
r2,1,0.400715,0.70618,[13  7] ; [37 31],[11.36363636  8.63636364] ; [38.63636364 29.36363636],0
d1,1,0.411864,0.673413,[ 9 13] ; [22 48],[ 7.41304348 14.58695652] ; [23.58695652 46.41304348],0
v2,1,0.445732,0.581483,[ 8 12] ; [21 47],[ 6.59090909 13.40909091] ; [22.40909091 45.59090909],0
b2,1,0.526599,0.40095,[ 3 10] ; [12 25],[3.9 9.1] ; [11.1 25.9],0
b3,1,0.526599,0.40095,[ 3 10] ; [12 25],[3.9 9.1] ; [11.1 25.9],0
d2,1,0.550887,0.355731,[ 7 14] ; [28 41],[ 8.16666667 12.83333333] ; [26.83333333 42.16666667],0
v3,1,0.576058,0.31265,[ 5 17] ; [12 57],[ 4.10989011 17.89010989] ; [12.89010989 56.10989011],0
n1,1,0.636906,0.222812,[5 9] ; [ 8 20],[4.33333333 9.66666667] ; [ 8.66666667 19.33333333],0
a6,1,0.638812,0.220299,[11 11] ; [31 39],[10.04347826 11.95652174] ; [31.95652174 38.04347826],0
n3,1,0.661076,0.19222,[7 7] ; [16 12],[7.66666667 6.33333333] ; [15.33333333 12.66666667],0
u3,1,0.714955,0.133378,[3 7] ; [ 9 28],[2.55319149 7.44680851] ; [ 9.44680851 27.55319149],0
n4,1,0.725262,0.123507,[11 11] ; [38 32],[11.7173913 10.2826087] ; [37.2826087 32.7173913],0
p1,1,0.743737,0.106869,[ 2 20] ; [ 8 61],[ 2.41758242 19.58241758] ; [ 7.58241758 61.41758242],0
a2,1,0.763716,0.090363,[ 2 20] ; [ 5 65],[ 1.67391304 20.32608696] ; [ 5.32608696 64.67391304],0
s1,1,0.763716,0.090363,[ 2 20] ; [ 5 65],[ 1.67391304 20.32608696] ; [ 5.32608696 64.67391304],0
d3,1,0.766917,0.087859,[11 11] ; [32 37],[10.3956044 11.6043956] ; [32.6043956 36.3956044],0
p6,1,0.839044,0.041256,[ 2 20] ; [ 7 59],[ 2.25 19.75] ; [ 6.75 59.25],0
p5,1,0.845466,0.037989,[ 1 20] ; [ 4 64],[ 1.17977528 19.82022472] ; [ 3.82022472 64.17977528],0
