Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,67.8169,[48  9] ; [ 25 101],[22.73770492 34.26229508] ; [50.26229508 75.73770492],1
s6,1,0.0,40.547973,[44 13] ; [35 94],[24.20967742 32.79032258] ; [54.79032258 74.20967742],1
s8,1,7e-06,20.235718,[27 30] ; [ 21 109],[14.63101604 42.36898396] ; [33.36898396 96.63101604],1
s4,1,0.000209,13.746055,[16 41] ; [ 10 120],[ 7.92513369 49.07486631] ; [ 18.07486631 111.92513369],1
s7,1,0.000592,11.802231,[24 30] ; [24 99],[14.6440678 39.3559322] ; [33.3559322 89.6440678],1
u1,1,0.001501,10.077105,[10 47] ; [  5 125],[ 4.57219251 52.42780749] ; [ 10.42780749 119.57219251],0
p4,1,0.017339,5.661778,[30 27] ; [44 85],[22.67741935 34.32258065] ; [51.32258065 77.67741935],0
b2,1,0.026953,4.893825,[ 3 26] ; [23 50],[ 7.39215686 21.60784314] ; [18.60784314 54.39215686],0
b3,1,0.026953,4.893825,[ 3 26] ; [23 50],[ 7.39215686 21.60784314] ; [18.60784314 54.39215686],0
p10,1,0.044647,4.031906,[38 18] ; [67 62],[31.78378378 24.21621622] ; [73.21621622 55.78378378],0
u3,1,0.089327,2.886467,[16  6] ; [24 23],[12.75362319  9.24637681] ; [27.24637681 19.75362319],0
a1,1,0.146099,2.112517,[ 3 54] ; [  2 128],[ 1.52406417 55.47593583] ; [  3.47593583 126.52406417],0
n1,1,0.147669,2.096161,[ 5 10] ; [ 7 37],[ 3.05084746 11.94915254] ; [ 8.94915254 35.05084746],0
n3,1,0.151457,2.057512,[13  2] ; [29 14],[10.86206897  4.13793103] ; [31.13793103 11.86206897],0
d2,1,0.158241,1.990953,[25 32] ; [43 87],[20.72727273 36.27272727] ; [47.27272727 82.72727273],0
a2,1,0.266645,1.233924,[10 47] ; [ 15 115],[ 7.62032086 49.37967914] ; [ 17.37967914 112.62032086],0
r2,1,0.272969,1.201767,[51  5] ; [109  19],[48.69565217  7.30434783] ; [111.30434783  16.69565217],0
p11,1,0.287684,1.130428,[34 23] ; [88 42],[37.18716578 19.81283422] ; [84.81283422 45.18716578],0
n2,1,0.296377,1.090424,[11  4] ; [25 18],[9.31034483 5.68965517] ; [26.68965517 16.31034483],0
r4,1,0.337624,0.919434,[47 10] ; [99 31],[44.5026738 12.4973262] ; [101.4973262  28.5026738],0
r3,1,0.346221,0.887258,[53  4] ; [115  15],[51.20855615  5.79144385] ; [116.79144385  13.20855615],0
