Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,21.958944,[72 27] ; [ 8 23],[60.92307692 38.07692308] ; [19.07692308 11.92307692],1
d5,1,0.000347,12.797701,[73 26] ; [12 19],[64.73076923 34.26923077] ; [20.26923077 10.73076923],1
s5,1,0.004076,8.249616,[32 64] ; [ 2 28],[25.9047619 70.0952381] ; [ 8.0952381 21.9047619],0
d2,1,0.025688,4.976885,[40 59] ; [ 6 26],[34.76335878 64.23664122] ; [11.23664122 20.76335878],0
a4,1,0.040923,4.179217,[38 61] ; [ 6 26],[33.2519084 65.7480916] ; [10.7480916 21.2519084],0
s6,1,0.043319,4.082908,[52 46] ; [10 21],[47.10077519 50.89922481] ; [14.89922481 16.10077519],0
p1,1,0.075898,3.150621,[ 4 94] ; [ 4 27],[ 6.07751938 91.92248062] ; [ 1.92248062 29.07751938],0
a5,1,0.094701,2.792588,[57 42] ; [13 19],[52.90076336 46.09923664] ; [17.09923664 14.90076336],0
r1,1,0.112993,2.511854,[65 34] ; [16 16],[61.21374046 37.78625954] ; [19.78625954 12.21374046],0
u2,1,0.12322,2.375913,[27 14] ; [ 8 10],[24.3220339 16.6779661] ; [10.6779661  7.3220339],0
a8,1,0.125549,2.346691,[ 5 89] ; [ 4 25],[ 6.87804878 87.12195122] ; [ 2.12195122 26.87804878],0
a7,1,0.153413,2.037983,[71 28] ; [18 13],[67.77692308 31.22307692] ; [21.22307692  9.77692308],0
a3,1,0.155057,2.02178,[57 41] ; [14 18],[53.52307692 44.47692308] ; [17.47692308 14.52307692],0
n3,1,0.262193,1.257143,[21 12] ; [9 2],[22.5 10.5] ; [7.5 3.5],0
s7,1,0.277251,1.180515,[30 61] ; [ 7 24],[27.59836066 63.40163934] ; [ 9.40163934 21.59836066],0
a6,1,0.335713,0.926733,[53 46] ; [14 18],[50.63358779 48.36641221] ; [16.36641221 15.63358779],0
a2,1,0.350024,0.87337,[12 87] ; [ 2 30],[10.58015267 88.41984733] ; [ 3.41984733 28.58015267],0
p6,1,0.360311,0.836809,[26 71] ; [ 6 26],[24.0620155 72.9379845] ; [ 7.9379845 24.0620155],0
v3,1,0.383414,0.759726,[16 81] ; [ 3 27],[14.51181102 82.48818898] ; [ 4.48818898 25.51181102],0
p9,1,0.402559,0.70067,[65 33] ; [18 13],[63.05426357 34.94573643] ; [19.94573643 11.05426357],0
b4,1,0.454826,0.558597,[60 39] ; [17 15],[58.19083969 40.80916031] ; [18.80916031 13.19083969],0
n4,1,0.466552,0.530132,[38 61] ; [10 22],[36.27480916 62.72519084] ; [11.72519084 20.27480916],0
s2,1,0.474334,0.511863,[39 60] ; [10 21],[37.31538462 61.68461538] ; [11.68461538 19.31538462],0
s1,1,0.519339,0.415205,[ 6 93] ; [ 3 29],[ 6.80152672 92.19847328] ; [ 2.19847328 29.80152672],0
b2,1,0.571107,0.320833,[16 39] ; [ 5 17],[15. 40.] ; [ 6. 16.],0
b3,1,0.571107,0.320833,[16 39] ; [ 5 17],[15. 40.] ; [ 6. 16.],0
r4,1,0.575485,0.313592,[76 23] ; [23  9],[74.81679389 24.18320611] ; [24.18320611  7.81679389],0
p8,1,0.58964,0.290907,[38 61] ; [14 18],[39.29770992 59.70229008] ; [12.70229008 19.29770992],0
a1,1,0.650591,0.205156,[ 5 94] ; [ 1 31],[ 4.53435115 94.46564885] ; [ 1.46564885 30.53435115],0
b1,1,0.662509,0.190491,[39 60] ; [14 18],[40.05343511 58.94656489] ; [12.94656489 19.05343511],0
