Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.008099,7.011376,[44  3] ; [36 13],[39.16666667  7.83333333] ; [40.83333333  8.16666667],0
r3,1,0.025777,4.970944,[44  3] ; [38 11],[40.14583333  6.85416667] ; [41.85416667  7.14583333],0
b5,1,0.031907,4.603483,[34 13] ; [25 24],[28.88541667 18.11458333] ; [30.11458333 18.88541667],0
s6,1,0.038082,4.301344,[29 17] ; [20 28],[23.9787234 22.0212766] ; [25.0212766 22.9787234],0
r4,1,0.038946,4.263214,[37 10] ; [29 20],[32.3125 14.6875] ; [33.6875 15.3125],0
p7,1,0.048193,3.903233,[23 24] ; [14 34],[18.30526316 28.69473684] ; [18.69473684 29.30526316],0
u2,1,0.054122,3.708932,[ 7 11] ; [14  6],[9.94736842 8.05263158] ; [11.05263158  8.94736842],0
s7,1,0.082413,3.016658,[17 27] ; [ 9 33],[13.30232558 30.69767442] ; [12.69767442 29.30232558],0
s2,1,0.10504,2.62731,[25 22] ; [18 31],[21.05208333 25.94791667] ; [21.94791667 27.05208333],0
b2,1,0.106684,2.60266,[ 2 17] ; [ 8 18],[ 4.22222222 14.77777778] ; [ 5.77777778 20.22222222],0
b3,1,0.106684,2.60266,[ 2 17] ; [ 8 18],[ 4.22222222 14.77777778] ; [ 5.77777778 20.22222222],0
u3,1,0.107486,2.590802,[ 7 11] ; [13  7],[9.47368421 8.52631579] ; [10.52631579  9.47368421],0
p2,1,0.118421,2.438082,[30 17] ; [23 25],[26.22105263 20.77894737] ; [26.77894737 21.22105263],0
d4,1,0.1522,2.050065,[36 11] ; [43  6],[38.67708333  8.32291667] ; [40.32291667  8.67708333],0
s1,1,0.156817,2.004658,[ 2 45] ; [ 6 43],[ 3.91666667 43.08333333] ; [ 4.08333333 44.91666667],0
u1,1,0.159623,1.977796,[ 7 40] ; [ 3 46],[ 4.89583333 42.10416667] ; [ 5.10416667 43.89583333],0
s8,1,0.16124,1.962561,[13 33] ; [ 8 41],[10.16842105 35.83157895] ; [10.83157895 38.16842105],0
r2,1,0.173047,1.856346,[42  5] ; [38 10],[39.57894737  7.42105263] ; [40.42105263  7.57894737],0
s5,1,0.214754,1.539087,[15 31] ; [ 9 34],[12.40449438 33.59550562] ; [11.59550562 31.40449438],0
v2,1,0.250785,1.318926,[23 22] ; [18 28],[20.27472527 24.72527473] ; [20.72527473 25.27472527],0
p1,1,0.262442,1.255829,[ 2 45] ; [ 5 44],[ 3.42708333 43.57291667] ; [ 3.57291667 45.42708333],0
a5,1,0.284694,1.144544,[30 17] ; [26 23],[27.41666667 19.58333333] ; [28.58333333 20.41666667],0
s4,1,0.303299,1.059634,[16 31] ; [12 37],[13.70833333 33.29166667] ; [14.29166667 34.70833333],0
p4,1,0.311798,1.023044,[20 26] ; [16 32],[17.61702128 28.38297872] ; [18.38297872 29.61702128],0
r1,1,0.314902,1.010005,[28 19] ; [34 15],[30.35416667 16.64583333] ; [31.64583333 17.35416667],0
p9,1,0.346926,0.884669,[24 20] ; [21 26],[21.75824176 22.24175824] ; [23.24175824 23.75824176],0
a2,1,0.369736,0.80455,[10 37] ; [ 7 42],[ 8.32291667 38.67708333] ; [ 8.67708333 40.32291667],0
d2,1,0.420538,0.648811,[24 23] ; [21 28],[22.03125 24.96875] ; [22.96875 26.03125],0
p8,1,0.426644,0.631941,[11 35] ; [15 33],[12.72340426 33.27659574] ; [13.27659574 34.72340426],0
n2,1,0.44419,0.585434,[10  6] ; [11 11],[8.84210526 7.15789474] ; [12.15789474  9.84210526],0
d3,1,0.500237,0.454434,[33 13] ; [32 17],[31.47368421 14.52631579] ; [33.52631579 15.47368421],0
