Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3e-06,21.888292,[ 17 106] ; [19 19],[27.50310559 95.49689441] ; [ 8.49689441 29.50310559],1
p7,1,1e-05,19.463918,[32 89] ; [25 13],[43.37735849 77.62264151] ; [13.62264151 24.37735849],1
p3,1,0.000654,11.616339,[33 91] ; [21 16],[41.59006211 82.40993789] ; [12.40993789 24.59006211],1
p4,1,0.001078,10.687913,[34 89] ; [21 16],[42.28125 80.71875] ; [12.71875 24.28125],0
p5,1,0.005688,7.646552,[  4 117] ; [ 6 32],[  7.61006289 113.38993711] ; [ 2.38993711 35.61006289],0
a3,1,0.012497,6.238925,[84 41] ; [17 21],[77.45398773 47.54601227] ; [23.54601227 14.45398773],0
v2,1,0.029212,4.755097,[57 60] ; [25 11],[62.70588235 54.29411765] ; [19.29411765 16.70588235],0
d2,1,0.058801,3.570876,[65 58] ; [13 24],[59.9625 63.0375] ; [18.0375 18.9625],0
d4,1,0.059781,3.543458,[99 25] ; [24 13],[94.73291925 29.26708075] ; [28.26708075  8.73291925],0
p12,1,0.121836,2.393557,[  7 117] ; [ 5 33],[  9.18518519 114.81481481] ; [ 2.81481481 35.18518519],0
d5,1,0.127942,2.317295,[90 34] ; [22 15],[86.26086957 37.73913043] ; [25.73913043 11.26086957],0
b5,1,0.147996,2.092789,[82 43] ; [20 18],[78.2208589 46.7791411] ; [23.7791411 14.2208589],0
b4,1,0.168342,1.897647,[75 50] ; [18 20],[71.3190184 53.6809816] ; [21.6809816 16.3190184],0
p10,1,0.18222,1.779426,[72 50] ; [27 11],[75.4875 46.5125] ; [23.5125 14.4875],0
s3,1,0.19027,1.715523,[64 60] ; [15 23],[60.4691358 63.5308642] ; [18.5308642 19.4691358],0
a6,1,0.196641,1.667149,[69 55] ; [25 12],[72.39751553 51.60248447] ; [21.60248447 15.39751553],0
u2,1,0.264147,1.246893,[25 15] ; [10 11],[22.95081967 17.04918033] ; [12.04918033  8.95081967],0
n2,1,0.28409,1.147421,[36 14] ; [8 1],[37.28813559 12.71186441] ; [6.71186441 2.28813559],0
s5,1,0.287835,1.129719,[30 85] ; [13 24],[32.53289474 82.46710526] ; [10.46710526 26.53289474],0
a1,1,0.304097,1.056141,[  9 116] ; [ 1 37],[  7.66871166 117.33128834] ; [ 2.33128834 35.66871166],0
b1,1,0.312871,1.018518,[61 64] ; [15 23],[58.28220859 66.71779141] ; [17.71779141 20.28220859],0
s7,1,0.314993,1.009626,[50 67] ; [12 24],[47.41176471 69.58823529] ; [14.58823529 21.41176471],0
n3,1,0.315722,1.006586,[34 13] ; [5 4],[32.73214286 14.26785714] ; [6.26785714 2.73214286],0
a5,1,0.329253,0.951832,[78 47] ; [27 11],[80.52147239 44.47852761] ; [24.47852761 13.52147239],0
a2,1,0.340533,0.908422,[ 25 100] ; [ 5 33],[ 23.00613497 101.99386503] ; [ 6.99386503 31.00613497],0
u1,1,0.3473,0.883298,[ 21 104] ; [ 4 34],[ 19.17177914 105.82822086] ; [ 5.82822086 32.17177914],0
p9,1,0.353416,0.861155,[76 45] ; [27 11],[78.3836478 42.6163522] ; [24.6163522 13.3836478],0
d1,1,0.383925,0.758095,[66 59] ; [17 21],[63.65030675 61.34969325] ; [19.34969325 18.65030675],0
a4,1,0.385472,0.753176,[56 69] ; [14 24],[53.6809816 71.3190184] ; [16.3190184 21.6809816],0
v4,1,0.409274,0.68091,[109  16] ; [35  3],[110.42944785  14.57055215] ; [33.57055215  4.42944785],0
s4,1,0.410832,0.676392,[27 96] ; [ 6 32],[25.21118012 97.78881988] ; [ 7.78881988 30.21118012],0
n4,1,0.495839,0.463831,[80 45] ; [22 16],[78.2208589 46.7791411] ; [23.7791411 14.2208589],0
p11,1,0.49882,0.457447,[78 47] ; [26 12],[79.75460123 45.24539877] ; [24.24539877 13.75460123],0
d3,1,0.525384,0.403311,[71 53] ; [19 18],[69.31677019 54.68322981] ; [20.68322981 16.31677019],0
r1,1,0.599433,0.275853,[91 34] ; [26 12],[89.72392638 35.27607362] ; [27.27607362 10.72392638],0
u3,1,0.631346,0.23024,[26 15] ; [12  9],[25.12903226 15.87096774] ; [12.87096774  8.12903226],0
s8,1,0.69406,0.154725,[48 76] ; [13 24],[46.98136646 77.01863354] ; [14.01863354 22.98136646],0
u4,1,0.694825,0.153911,[  5 120] ; [ 1 37],[  4.60122699 120.39877301] ; [ 1.39877301 36.60122699],0
r4,1,0.734226,0.115267,[108  17] ; [32  6],[107.36196319  17.63803681] ; [32.63803681  5.36196319],0
n5,1,0.767362,0.087514,[75 49] ; [24 14],[75.77777778 48.22222222] ; [23.22222222 14.77777778],0
r2,1,0.769155,0.08613,[112  11] ; [34  4],[111.54037267  11.45962733] ; [34.45962733  3.54037267],0
s2,1,0.774191,0.08231,[57 67] ; [18 19],[57.76397516 66.23602484] ; [17.23602484 19.76397516],0
v3,1,0.79471,0.067704,[39 74] ; [14 24],[39.66225166 73.33774834] ; [13.33774834 24.66225166],0
n6,1,0.861871,0.030273,[93 32] ; [27 10],[92.59259259 32.40740741] ; [27.40740741  9.59259259],0
