Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.013267,6.133104,[ 1 27] ; [4 9],[ 3.41463415 24.58536585] ; [ 1.58536585 11.41463415],0
p2,1,0.03256,4.568765,[ 9 18] ; [9 4],[12.15 14.85] ; [5.85 7.15],0
s7,1,0.051889,3.779332,[ 5 21] ; [6 6],[ 7.52631579 18.47368421] ; [3.47368421 8.52631579],0
p6,1,0.093452,2.813875,[ 4 23] ; [5 8],[ 6.075 20.925] ; [ 2.925 10.075],0
s4,1,0.112266,2.522036,[ 3 25] ; [4 9],[ 4.7804878 23.2195122] ; [ 2.2195122 10.7804878],0
p9,1,0.115921,2.471586,[12 16] ; [9 4],[14.34146341 13.65853659] ; [6.65853659 6.34146341],0
d1,1,0.115921,2.471586,[16 12] ; [4 9],[13.65853659 14.34146341] ; [6.34146341 6.65853659],0
p3,1,0.117936,2.44452,[ 8 20] ; [7 6],[10.24390244 17.75609756] ; [4.75609756 8.24390244],0
b5,1,0.121024,2.404019,[10 18] ; [8 5],[12.29268293 15.70731707] ; [5.70731707 7.29268293],0
a3,1,0.153763,2.034512,[15 13] ; [10  3],[17.07317073 10.92682927] ; [7.92682927 5.07317073],0
v3,1,0.172469,1.861349,[ 5 22] ; [5 8],[ 6.75 20.25] ; [3.25 9.75],0
a5,1,0.173045,1.856361,[13 15] ; [9 4],[15.02439024 12.97560976] ; [6.97560976 6.02439024],0
a6,1,0.173045,1.856361,[13 15] ; [9 4],[15.02439024 12.97560976] ; [6.97560976 6.02439024],0
p7,1,0.175575,1.834689,[ 7 21] ; [6 7],[ 8.87804878 19.12195122] ; [4.12195122 8.87804878],0
b2,1,0.183902,1.765803,[8 7] ; [3 8],[6.34615385 8.65384615] ; [4.65384615 6.34615385],0
b3,1,0.183902,1.765803,[8 7] ; [3 8],[6.34615385 8.65384615] ; [4.65384615 6.34615385],0
a8,1,0.188945,1.725828,[ 1 26] ; [ 2 11],[ 2.025 24.975] ; [ 0.975 12.025],0
p11,1,0.248246,1.333148,[14 14] ; [4 9],[12.29268293 15.70731707] ; [5.70731707 7.29268293],0
p4,1,0.269255,1.220536,[ 8 20] ; [6 7],[ 9.56097561 18.43902439] ; [4.43902439 8.56097561],0
b1,1,0.343599,0.896958,[15 13] ; [9 4],[16.3902439 11.6097561] ; [7.6097561 5.3902439],0
a7,1,0.367749,0.811257,[13 15] ; [8 5],[14.34146341 13.65853659] ; [6.65853659 6.34146341],0
n2,1,0.37472,0.787953,[5 8] ; [2 1],[5.6875 7.3125] ; [1.3125 1.6875],0
d4,1,0.378019,0.777133,[21  7] ; [8 5],[19.80487805  8.19512195] ; [9.19512195 3.80487805],0
p10,1,0.382003,0.764247,[11 17] ; [7 6],[12.29268293 15.70731707] ; [5.70731707 7.29268293],0
s1,1,0.407885,0.684957,[ 2 26] ; [ 2 11],[ 2.73170732 25.26829268] ; [ 1.26829268 11.73170732],0
d2,1,0.435188,0.608938,[16 11] ; [6 7],[14.85 12.15] ; [7.15 5.85],0
s3,1,0.490541,0.47534,[14 14] ; [5 8],[12.97560976 15.02439024] ; [6.02439024 6.97560976],0
r4,1,0.511426,0.431148,[12 16] ; [7 6],[12.97560976 15.02439024] ; [6.02439024 6.97560976],0
n1,1,0.521839,0.410256,[6 7] ; [2 1],[6.5 6.5] ; [1.5 1.5],0
s5,1,0.526452,0.401235,[ 7 20] ; [ 2 10],[ 6.23076923 20.76923077] ; [2.76923077 9.23076923],0
r3,1,0.526553,0.401039,[20  8] ; [8 5],[19.12195122  8.87804878] ; [8.87804878 4.12195122],0
a1,1,0.548262,0.36044,[ 4 24] ; [ 1 12],[ 3.41463415 24.58536585] ; [ 1.58536585 11.41463415],0
p8,1,0.558746,0.34188,[ 6 21] ; [4 9],[ 6.75 20.25] ; [3.25 9.75],0
d3,1,0.632406,0.228812,[15 13] ; [8 5],[15.70731707 12.29268293] ; [7.29268293 5.70731707],0
p1,1,0.670648,0.180846,[ 3 25] ; [ 2 11],[ 3.41463415 24.58536585] ; [ 1.58536585 11.41463415],0
b4,1,0.67786,0.172545,[17 11] ; [7 6],[16.3902439 11.6097561] ; [7.6097561 5.3902439],0
s2,1,0.698035,0.150524,[ 7 21] ; [4 9],[ 7.51219512 20.48780488] ; [3.48780488 9.51219512],0
d5,1,0.698035,0.150524,[21  7] ; [9 4],[20.48780488  7.51219512] ; [9.51219512 3.48780488],0
u3,1,0.711531,0.136752,[ 3 10] ; [1 2],[3.25 9.75] ; [0.75 2.25],0
n6,1,0.73568,0.11396,[14 13] ; [6 7],[13.5 13.5] ; [6.5 6.5],0
a4,1,0.750112,0.101437,[ 9 18] ; [5 8],[ 9.45 17.55] ; [4.55 8.45],0
n4,1,0.756014,0.096546,[18 10] ; [9 4],[18.43902439  9.56097561] ; [8.56097561 4.43902439],0
s6,1,0.783867,0.075231,[10 17] ; [5 7],[10.38461538 16.61538462] ; [4.61538462 7.38461538],0
r1,1,0.81866,0.052564,[14 14] ; [7 6],[14.34146341 13.65853659] ; [6.65853659 6.34146341],0
v2,1,0.843096,0.039178,[12 16] ; [6 7],[12.29268293 15.70731707] ; [5.70731707 7.29268293],0
n5,1,0.865053,0.028881,[18 10] ; [8 5],[17.75609756 10.24390244] ; [8.24390244 4.75609756],0
s8,1,0.926191,0.008582,[ 4 24] ; [ 2 11],[ 4.09756098 23.90243902] ; [ 1.90243902 11.09756098],0
p5,1,0.949873,0.003952,[ 2 26] ; [ 1 12],[ 2.04878049 25.95121951] ; [ 0.95121951 12.04878049],0
