Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.003583,8.483865,[22 14] ; [78 14],[28.125  7.875] ; [71.875 20.125],0
s8,1,0.016405,5.758884,[19 17] ; [68 23],[24.66141732 11.33858268] ; [62.33858268 28.66141732],0
s4,1,0.021994,5.246246,[12 24] ; [14 78],[ 7.3125 28.6875] ; [18.6875 73.3125],0
s3,1,0.023505,5.130826,[21 14] ; [71 18],[25.96774194  9.03225806] ; [66.03225806 22.96774194],0
d4,1,0.056355,3.641546,[27  8] ; [82  9],[30.27777778  4.72222222] ; [78.72222222 12.27777778],0
p4,1,0.062348,3.473795,[23 12] ; [74 17],[26.94444444  8.05555556] ; [70.05555556 20.94444444],0
n5,1,0.06765,3.33913,[27  9] ; [81 11],[30.375  5.625] ; [77.625 14.375],0
p8,1,0.078218,3.101538,[21 14] ; [69 22],[25. 10.] ; [65. 26.],0
d5,1,0.101883,2.675817,[28  8] ; [81 10],[30.8976378  5.1023622] ; [78.1023622 12.8976378],0
d1,1,0.103423,2.651946,[21 15] ; [68 25],[24.8372093 11.1627907] ; [64.1627907 28.8372093],0
n4,1,0.189628,1.720509,[28  8] ; [81 12],[30.41860465  5.58139535] ; [78.58139535 14.41860465],0
a7,1,0.209749,1.573155,[28  7] ; [64 29],[25.15625  9.84375] ; [66.84375 26.15625],0
p5,1,0.238966,1.386682,[ 9 27] ; [33 59],[11.8125 24.1875] ; [30.1875 61.8125],0
a6,1,0.269523,1.219175,[27  9] ; [59 32],[24.37795276 11.62204724] ; [61.62204724 29.37795276],0
p2,1,0.273224,1.200488,[29  7] ; [81 11],[30.9375  5.0625] ; [79.0625 12.9375],0
p6,1,0.284187,1.14696,[14 22] ; [44 45],[16.704 19.296] ; [41.296 47.704],0
n6,1,0.389284,0.741176,[35  1] ; [84  6],[34.  2.] ; [85.  5.],0
u2,1,0.400659,0.706347,[6 2] ; [11  8],[5.03703704 2.96296296] ; [11.96296296  7.03703704],0
p10,1,0.469066,0.524176,[30  5] ; [83  9],[31.14173228  3.85826772] ; [81.85826772 10.14173228],0
a5,1,0.544584,0.36711,[29  7] ; [79 14],[30.13953488  5.86046512] ; [77.86046512 15.13953488],0
n1,1,0.562069,0.336134,[2 5] ; [ 7 10],[2.625 4.375] ; [ 6.375 10.625],0
a8,1,0.583069,0.301299,[ 2 27] ; [ 9 78],[ 2.75 26.25] ; [ 8.25 78.75],0
b4,1,0.591881,0.287416,[21 15] ; [59 34],[22.3255814 13.6744186] ; [57.6744186 35.3255814],0
p3,1,0.608565,0.262269,[22 14] ; [60 31],[23.24409449 12.75590551] ; [58.75590551 32.24409449],0
b1,1,0.620711,0.244869,[13 23] ; [38 55],[14.23255814 21.76744186] ; [36.76744186 56.23255814],0
d2,1,0.641062,0.217356,[18 17] ; [51 40],[19.16666667 15.83333333] ; [49.83333333 41.16666667],0
d3,1,0.649826,0.206119,[28  8] ; [68 24],[27.  9.] ; [69. 23.],0
p12,1,0.705614,0.142698,[ 6 30] ; [18 74],[ 6.75 29.25] ; [17.25 74.75],0
p11,1,0.715754,0.132598,[28  8] ; [75 18],[28.74418605  7.25581395] ; [74.25581395 18.74418605],0
u1,1,0.722049,0.126538,[10 26] ; [23 70],[ 9.20930233 26.79069767] ; [23.79069767 69.20930233],0
a3,1,0.73692,0.112853,[28  8] ; [74 18],[28.6875  7.3125] ; [73.3125 18.6875],0
s7,1,0.739833,0.110273,[25  9] ; [68 21],[25.70731707  8.29268293] ; [67.29268293 21.70731707],0
n2,1,0.74332,0.10723,[7 1] ; [14  3],[6.72 1.28] ; [14.28  2.72],0
u3,1,0.765688,0.088816,[5 3] ; [13  6],[5.33333333 2.66666667] ; [12.66666667  6.33333333],0
s6,1,0.782816,0.075984,[31  5] ; [80 11],[31.46456693  4.53543307] ; [79.53543307 11.46456693],0
b2,1,0.78335,0.075601,[10 12] ; [24 25],[10.53521127 11.46478873] ; [23.46478873 25.53521127],0
b3,1,0.78335,0.075601,[10 12] ; [24 25],[10.53521127 11.46478873] ; [23.46478873 25.53521127],0
v2,1,0.785602,0.073998,[29  7] ; [76 16],[29.53125  6.46875] ; [75.46875 16.53125],0
r1,1,0.800331,0.063968,[33  3] ; [83  9],[32.625  3.375] ; [83.375  8.625],0
p1,1,0.810313,0.057611,[ 6 30] ; [17 75],[ 6.46875 29.53125] ; [16.53125 75.46875],0
a1,1,0.813635,0.055573,[ 3 33] ; [ 9 84],[ 3.34883721 32.65116279] ; [ 8.65116279 84.34883721],0
p9,1,0.857053,0.032446,[31  3] ; [82  9],[30.736  3.264] ; [82.264  8.736],0
a2,1,0.864822,0.028981,[11 25] ; [27 66],[10.60465116 25.39534884] ; [27.39534884 65.60465116],0
r4,1,0.89524,0.017339,[35  1] ; [90  3],[34.88372093  1.11627907] ; [90.11627907  2.88372093],0
a4,1,0.905452,0.014108,[19 17] ; [48 45],[18.69767442 17.30232558] ; [48.30232558 44.69767442],0
r3,1,0.914909,0.011417,[34  1] ; [90  3],[33.90625  1.09375] ; [90.09375  2.90625],0
p7,1,0.939063,0.005844,[27  8] ; [70 20],[27.16  7.84] ; [69.84 20.16],0
b5,1,0.992705,8.4e-05,[19 17] ; [49 44],[18.97674419 17.02325581] ; [49.02325581 43.97674419],0
