Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,103.877433,[298  34] ; [30 48],[265.6  66.4] ; [62.4 15.6],1
n6,1,0.0,43.915204,[296  34] ; [46 32],[276.61764706  53.38235294] ; [65.38235294 12.61764706],1
r4,1,0.000102,15.102506,[308  26] ; [61 18],[298.41646489  35.58353511] ; [70.58353511  8.41646489],1
p4,1,0.000215,13.690868,[226 104] ; [36 42],[211.91176471 118.08823529] ; [50.08823529 27.91176471],1
p6,1,0.000285,13.163621,[150 176] ; [17 57],[136.105 189.895] ; [30.895 43.105],1
r2,1,0.000649,11.630883,[319  11] ; [68 10],[313.01470588  16.98529412] ; [73.98529412  4.01470588],1
s8,1,0.001816,9.727044,[171 160] ; [25 53],[158.62102689 172.37897311] ; [37.37897311 40.62102689],0
s7,1,0.002286,9.304528,[171 143] ; [27 50],[159.00767263 154.99232737] ; [38.99232737 38.00767263],0
p2,1,0.002409,9.208346,[293  37] ; [59 19],[284.70588235  45.29411765] ; [67.29411765 10.70588235],0
n1,1,0.003429,8.56369,[29 22] ; [ 6 21],[22.88461538 28.11538462] ; [12.11538462 14.88461538],0
d5,1,0.004035,8.268194,[278  54] ; [55 24],[268.99270073  63.00729927] ; [64.00729927 14.99270073],0
p11,1,0.004693,7.994139,[279  55] ; [55 24],[270.11138015  63.88861985] ; [63.88861985 15.11138015],0
a8,1,0.004931,7.904541,[ 55 240] ; [ 4 71],[ 47.04054054 247.95945946] ; [11.95945946 63.04054054],0
p10,1,0.007423,7.167753,[281  47] ; [57 21],[273.06403941  54.93596059] ; [64.93596059 13.06403941],0
d2,1,0.007739,7.092885,[173 159] ; [28 51],[162.3649635 169.6350365] ; [38.6350365 40.3649635],0
r3,1,0.007778,7.083878,[320  13] ; [70  9],[315.2184466  17.7815534] ; [74.7815534  4.2184466],0
p3,1,0.008089,7.013709,[188 142] ; [31 46],[177.56756757 152.43243243] ; [41.43243243 35.56756757],0
v3,1,0.011384,6.404413,[179 143] ; [30 46],[169.09045226 152.90954774] ; [39.90954774 36.09045226],0
d1,1,0.015917,5.811986,[210 124] ; [38 41],[200.56174334 133.43825666] ; [47.43825666 31.56174334],0
p7,1,0.021515,5.284571,[224  98] ; [43 34],[215.47368421 106.52631579] ; [51.52631579 25.47368421],0
p8,1,0.036692,4.36464,[193 133] ; [36 42],[184.78712871 141.21287129] ; [44.21287129 33.78712871],0
a5,1,0.038465,4.284346,[261  73] ; [53 26],[253.937046  80.062954] ; [60.062954 18.937046],0
s2,1,0.045508,3.999696,[175 155] ; [32 47],[167.01711491 162.98288509] ; [39.98288509 39.01711491],0
s6,1,0.050603,3.821354,[231  99] ; [45 32],[223.78378378 106.21621622] ; [52.21621622 24.78378378],0
p5,1,0.071791,3.241584,[ 52 278] ; [ 6 71],[ 47.02702703 282.97297297] ; [10.97297297 66.02702703],0
s3,1,0.081286,3.038995,[182 144] ; [35 43],[175.1039604 150.8960396] ; [41.8960396 36.1039604],0
u1,1,0.082742,3.010209,[ 66 268] ; [ 9 70],[ 60.65375303 273.34624697] ; [14.34624697 64.65375303],0
s5,1,0.091808,2.842378,[117 207] ; [20 57],[110.69326683 213.30673317] ; [26.30673317 50.69326683],0
r1,1,0.130147,2.290751,[280  52] ; [61 18],[275.45498783  56.54501217] ; [65.54501217 13.45498783],0
