Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,84.136889,[ 2 34] ; [136  27],[24.96482412 11.03517588] ; [113.03517588  49.96482412],1
p11,1,0.0,45.538948,[ 4 32] ; [117  46],[21.88944724 14.11055276] ; [99.11055276 63.88944724],1
v4,1,0.0,36.910867,[16 20] ; [142  18],[29.02040816  6.97959184] ; [128.97959184  31.02040816],1
n6,1,0.0,30.261049,[ 9 27] ; [119  43],[23.27272727 12.72727273] ; [104.72727273  57.27272727],1
p2,1,0.0,27.152137,[ 8 28] ; [112  50],[21.81818182 14.18181818] ; [98.18181818 63.81818182],1
r1,1,8e-06,20.060384,[11 25] ; [114  48],[22.72727273 13.27272727] ; [102.27272727  59.72727273],1
v2,1,1.3e-05,18.996636,[ 3 32] ; [76 80],[14.47643979 20.52356021] ; [64.52356021 91.47643979],1
p9,1,4.7e-05,16.553919,[10 23] ; [109  51],[20.34715026 12.65284974] ; [98.65284974 61.34715026],1
a1,1,0.000187,13.956833,[ 7 29] ; [  5 158],[ 2.17085427 33.82914573] ; [  9.82914573 153.17085427],1
a7,1,0.000504,12.102135,[13 23] ; [109  53],[22.18181818 13.81818182] ; [99.81818182 62.18181818],1
d4,1,0.000712,11.458333,[18 18] ; [126  36],[26.18181818  9.81818182] ; [117.81818182  44.18181818],1
r2,1,0.000827,11.178923,[24 11] ; [145  16],[30.17857143  4.82142857] ; [138.82142857  22.17857143],1
p10,1,0.001161,10.551102,[11 24] ; [99 62],[19.64285714 15.35714286] ; [90.35714286 70.64285714],0
p7,1,0.002368,9.23952,[ 5 30] ; [67 94],[12.85714286 22.14285714] ; [ 59.14285714 101.85714286],0
b5,1,0.004292,8.155985,[12 24] ; [97 66],[19.71859296 16.28140704] ; [89.28140704 73.71859296],0
d3,1,0.005445,7.725494,[13 23] ; [99 62],[20.46700508 15.53299492] ; [91.53299492 69.46700508],0
p8,1,0.013577,6.092308,[ 4 32] ; [ 51 111],[10. 26.] ; [ 45. 117.],0
b1,1,0.017358,5.65982,[21 15] ; [ 60 103],[14.65326633 21.34673367] ; [66.34673367 96.65326633],0
n3,1,0.018552,5.543283,[ 7 12] ; [34 16],[11.28985507  7.71014493] ; [29.71014493 20.28985507],0
a6,1,0.038992,4.261195,[17 19] ; [107  56],[22.4321608 13.5678392] ; [101.5678392  61.4321608],0
d5,1,0.042028,4.134066,[19 17] ; [114  48],[24.18181818 11.81818182] ; [108.81818182  53.18181818],0
d1,1,0.050688,3.818558,[11 25] ; [79 84],[16.28140704 19.71859296] ; [73.71859296 89.28140704],0
p1,1,0.051313,3.798024,[ 5 31] ; [  8 153],[ 2.37563452 33.62436548] ; [ 10.62436548 150.37563452],0
a5,1,0.085232,2.962203,[16 20] ; [98 65],[20.62311558 15.37688442] ; [93.37688442 69.62311558],0
s1,1,0.086578,2.936876,[ 3 33] ; [  4 157],[ 1.27918782 34.72081218] ; [  5.72081218 155.27918782],0
s2,1,0.104229,2.639614,[ 3 33] ; [ 32 130],[ 6.36363636 29.63636364] ; [ 28.63636364 133.36363636],0
v1,1,0.107582,2.58938,[ 7 29] ; [ 53 107],[11.02040816 24.97959184] ; [ 48.97959184 111.02040816],0
n2,1,0.114194,2.495195,[ 9 11] ; [34 18],[11.94444444  8.05555556] ; [31.05555556 20.94444444],0
p6,1,0.12144,2.398649,[ 2 33] ; [ 25 134],[ 4.87113402 30.12886598] ; [ 22.12886598 136.87113402],0
u3,1,0.151171,2.060397,[ 4 13] ; [24 32],[ 6.52054795 10.47945205] ; [21.47945205 34.52054795],0
u2,1,0.171171,1.872657,[ 5 12] ; [27 29],[7.45205479 9.54794521] ; [24.54794521 31.45205479],0
a3,1,0.188686,1.72785,[19 16] ; [107  55],[22.3857868 12.6142132] ; [103.6142132  58.3857868],0
p12,1,0.243237,1.361737,[ 1 35] ; [  1 160],[ 0.36548223 35.63451777] ; [  1.63451777 159.36548223],0
s7,1,0.248295,1.332869,[ 3 29] ; [ 27 126],[ 5.18918919 26.81081081] ; [ 24.81081081 128.18918919],0
n5,1,0.276505,1.184188,[24 12] ; [92 70],[21.09090909 14.90909091] ; [94.90909091 67.09090909],0
b2,1,0.284398,1.145954,[11 12] ; [31 56],[ 8.78181818 14.21818182] ; [33.21818182 53.78181818],0
b3,1,0.284398,1.145954,[11 12] ; [31 56],[ 8.78181818 14.21818182] ; [33.21818182 53.78181818],0
a8,1,0.28493,1.143422,[ 2 34] ; [ 18 137],[ 3.76963351 32.23036649] ; [ 16.23036649 138.76963351],0
a2,1,0.310885,1.026912,[ 3 33] ; [ 24 139],[ 4.88442211 31.11557789] ; [ 22.11557789 140.88442211],0
p3,1,0.33269,0.938397,[ 5 31] ; [ 34 128],[ 7.09090909 28.90909091] ; [ 31.90909091 130.09090909],0
v3,1,0.353549,0.860678,[ 7 29] ; [ 42 114],[ 9.1875 26.8125] ; [ 39.8125 116.1875],0
s8,1,0.397543,0.715746,[ 3 33] ; [ 22 141],[ 4.52261307 31.47738693] ; [ 20.47738693 142.52261307],0
n1,1,0.42099,0.647549,[ 8 12] ; [15 35],[ 6.57142857 13.42857143] ; [16.42857143 33.57142857],0
b4,1,0.639599,0.219267,[19 17] ; [93 70],[20.26130653 15.73869347] ; [91.73869347 71.26130653],0
d2,1,0.678467,0.171856,[14 21] ; [71 91],[15.10152284 19.89847716] ; [69.89847716 92.10152284],0
s3,1,0.719222,0.129239,[ 8 27] ; [ 42 121],[ 8.83838384 26.16161616] ; [ 41.16161616 121.83838384],0
