Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.949199,[85 12] ; [2 7],[79.61320755 17.38679245] ; [7.38679245 1.61320755],1
v4,1,0.001044,10.748718,[89  8] ; [5 4],[86.01886792 10.98113208] ; [7.98113208 1.01886792],0
r2,1,0.001131,10.600358,[88  8] ; [5 4],[85.02857143 10.97142857] ; [7.97142857 1.02857143],0
d5,1,0.002136,9.42873,[70 27] ; [2 7],[65.88679245 31.11320755] ; [6.11320755 2.88679245],0
p5,1,0.002396,9.218426,[ 2 95] ; [2 7],[ 3.66037736 93.33962264] ; [0.33962264 8.66037736],0
r1,1,0.004194,8.197878,[75 22] ; [3 6],[71.37735849 25.62264151] ; [6.62264151 2.37735849],0
d4,1,0.030359,4.688831,[75 22] ; [4 5],[72.29245283 24.70754717] ; [6.70754717 2.29245283],0
s5,1,0.099743,2.709642,[19 74] ; [4 5],[20.97058824 72.02941176] ; [2.02941176 6.97058824],0
d1,1,0.131071,2.279773,[47 50] ; [2 7],[44.83962264 52.16037736] ; [4.16037736 4.83962264],0
n6,1,0.140739,2.16986,[72 25] ; [4 4],[70.20952381 26.79047619] ; [5.79047619 2.20952381],0
p6,1,0.199489,1.64611,[30 65] ; [1 8],[28.31730769 66.68269231] ; [2.68269231 6.31730769],0
p1,1,0.2357,1.406129,[ 3 92] ; [1 8],[ 3.65384615 91.34615385] ; [0.34615385 8.65384615],0
s1,1,0.2357,1.406129,[ 3 92] ; [1 8],[ 3.65384615 91.34615385] ; [0.34615385 8.65384615],0
v1,1,0.245283,1.34997,[40 55] ; [2 7],[38.36538462 56.63461538] ; [3.63461538 5.36538462],0
s8,1,0.272093,1.206164,[30 67] ; [1 7],[28.63809524 68.36190476] ; [2.36190476 5.63809524],0
p9,1,0.280598,1.164193,[42 52] ; [2 6],[40.54901961 53.45098039] ; [3.45098039 4.54901961],0
b5,1,0.315521,1.007421,[59 38] ; [7 2],[60.39622642 36.60377358] ; [5.60377358 3.39622642],0
b1,1,0.338383,0.916547,[38 59] ; [5 4],[39.3490566 57.6509434] ; [3.6509434 5.3490566],0
a7,1,0.338383,0.916547,[59 38] ; [4 5],[57.6509434 39.3490566] ; [5.3490566 3.6509434],0
a6,1,0.338383,0.916547,[59 38] ; [4 5],[57.6509434 39.3490566] ; [5.3490566 3.6509434],0
s4,1,0.356139,0.851462,[11 84] ; [2 7],[11.875 83.125] ; [1.125 7.875],0
b4,1,0.372857,0.794119,[61 36] ; [7 2],[62.22641509 34.77358491] ; [5.77358491 3.22641509],0
v2,1,0.403555,0.697707,[45 49] ; [3 6],[43.80582524 50.19417476] ; [4.19417476 4.80582524],0
d3,1,0.405775,0.691145,[57 40] ; [4 5],[55.82075472 41.17924528] ; [5.17924528 3.82075472],0
n5,1,0.417371,0.657705,[51 46] ; [6 3],[52.16037736 44.83962264] ; [4.83962264 4.16037736],0
n1,1,0.426763,0.631616,[10 23] ; [2 2],[10.7027027 22.2972973] ; [1.2972973 2.7027027],0
b3,1,0.427944,0.628398,[21 44] ; [1 5],[20.14084507 44.85915493] ; [1.85915493 4.14084507],0
b2,1,0.427944,0.628398,[21 44] ; [1 5],[20.14084507 44.85915493] ; [1.85915493 4.14084507],0
n4,1,0.446108,0.580521,[66 31] ; [5 4],[64.97169811 32.02830189] ; [6.02830189 2.97169811],0
s2,1,0.447626,0.576657,[33 62] ; [2 7],[31.97115385 63.02884615] ; [3.02884615 5.97115385],0
s6,1,0.514481,0.424942,[48 49] ; [3 5],[47.11428571 49.88571429] ; [3.88571429 4.11428571],0
a5,1,0.524294,0.405439,[54 43] ; [6 3],[54.90566038 42.09433962] ; [5.09433962 3.90566038],0
s3,1,0.529033,0.396249,[42 53] ; [3 6],[41.10576923 53.89423077] ; [3.89423077 5.10576923],0
s7,1,0.538186,0.378912,[30 65] ; [3 4],[30.73529412 64.26470588] ; [2.26470588 4.73529412],0
p8,1,0.55184,0.354031,[34 62] ; [2 6],[33.23076923 62.76923077] ; [2.76923077 5.23076923],0
u2,1,0.638839,0.220264,[18 20] ; [1 2],[17.6097561 20.3902439] ; [1.3902439 1.6097561],0
a4,1,0.644121,0.213393,[40 57] ; [3 6],[39.3490566 57.6509434] ; [3.6509434 5.3490566],0
p3,1,0.674254,0.176666,[26 71] ; [3 6],[26.53773585 70.46226415] ; [2.46226415 6.53773585],0
p7,1,0.68239,0.167448,[46 49] ; [5 4],[46.58653846 48.41346154] ; [4.41346154 4.58653846],0
a3,1,0.686759,0.162617,[58 39] ; [6 3],[58.56603774 38.43396226] ; [5.43396226 3.56603774],0
v3,1,0.704906,0.143418,[27 69] ; [2 7],[26.51428571 69.48571429] ; [2.48571429 6.51428571],0
a2,1,0.727136,0.121758,[15 82] ; [1 8],[14.64150943 82.35849057] ; [1.35849057 7.64150943],0
d2,1,0.727499,0.12142,[48 49] ; [5 4],[48.5 48.5] ; [4.5 4.5],0
p4,1,0.730662,0.118504,[38 59] ; [3 6],[37.51886792 59.48113208] ; [3.48113208 5.51886792],0
p2,1,0.778068,0.079432,[69 28] ; [6 3],[68.63207547 28.36792453] ; [6.36792453 2.63207547],0
n3,1,0.949624,0.003992,[25  9] ; [3 1],[25.05263158  8.94736842] ; [2.94736842 1.05263158],0
n2,1,0.973394,0.001112,[25  8] ; [3 1],[24.97297297  8.02702703] ; [3.02702703 0.97297297],0
