Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.002745,8.969631,[11 98] ; [13 31],[17.09803922 91.90196078] ; [ 6.90196078 37.09803922],0
n1,1,0.00684,7.314554,[ 9 28] ; [7 3],[12.59574468 24.40425532] ; [3.40425532 6.59574468],0
p9,1,0.01237,6.257112,[67 42] ; [37  8],[73.61038961 35.38961039] ; [30.38961039 14.61038961],0
p10,1,0.012393,6.253721,[62 48] ; [35 10],[68.83870968 41.16129032] ; [28.16129032 16.83870968],0
b4,1,0.01837,5.560493,[68 44] ; [18 27],[61.35031847 50.64968153] ; [24.64968153 20.35031847],0
s5,1,0.03111,4.646903,[21 89] ; [15 27],[26.05263158 83.94736842] ; [ 9.94736842 32.05263158],0
n4,1,0.031311,4.635811,[56 56] ; [31 14],[62.06369427 49.93630573] ; [24.93630573 20.06369427],0
p12,1,0.037883,4.310262,[  1 111] ; [ 3 42],[  2.85350318 109.14649682] ; [ 1.14649682 43.85350318],0
u3,1,0.044681,4.030645,[35 39] ; [17  7],[39.26530612 34.73469388] ; [12.73469388 11.26530612],0
r1,1,0.06332,3.448228,[59 53] ; [31 14],[64.20382166 47.79617834] ; [25.79617834 19.20382166],0
s7,1,0.064481,3.418218,[32 77] ; [19 23],[36.81456954 72.18543046] ; [14.18543046 27.81456954],0
a3,1,0.068736,3.312949,[37 75] ; [21 22],[41.90967742 70.09032258] ; [16.09032258 26.90967742],0
n2,1,0.07055,3.270178,[22 15] ; [9 1],[24.40425532 12.59574468] ; [6.59574468 3.40425532],0
a8,1,0.072811,3.218491,[10 96] ; [ 8 31],[13.15862069 92.84137931] ; [ 4.84137931 34.15862069],0
s8,1,0.090476,2.86588,[23 89] ; [15 30],[27.10828025 84.89171975] ; [10.89171975 34.10828025],0
p5,1,0.10753,2.590148,[  5 106] ; [ 5 38],[  7.20779221 103.79220779] ; [ 2.79220779 40.20779221],0
s6,1,0.111719,2.52973,[51 60] ; [27 18],[55.5 55.5] ; [22.5 22.5],0
p3,1,0.11711,2.455554,[35 77] ; [20 25],[39.23566879 72.76433121] ; [15.76433121 29.23566879],0
u2,1,0.124305,2.362228,[36 38] ; [16  8],[39.26530612 34.73469388] ; [12.73469388 11.26530612],0
r2,1,0.126765,2.331675,[91 21] ; [41  4],[94.1656051 17.8343949] ; [37.8343949  7.1656051],0
d4,1,0.154111,2.031083,[66 46] ; [32 13],[69.91082803 42.08917197] ; [28.08917197 16.91082803],0
d2,1,0.200797,1.636565,[25 87] ; [ 6 39],[22.11464968 89.88535032] ; [ 8.88535032 36.11464968],0
p4,1,0.227726,1.455008,[45 66] ; [23 22],[48.38461538 62.61538462] ; [19.61538462 25.38461538],0
n5,1,0.229547,1.443664,[65 46] ; [31 14],[68.30769231 42.69230769] ; [27.69230769 17.30769231],0
v4,1,0.233546,1.419135,[93 18] ; [41  4],[95.34615385 15.65384615] ; [38.65384615  6.34615385],0
p7,1,0.259849,1.269559,[50 57] ; [25 19],[53.14569536 53.85430464] ; [21.85430464 22.14569536],0
s2,1,0.270345,1.214995,[44 68] ; [22 23],[47.08280255 64.91719745] ; [18.91719745 26.08280255],0
r4,1,0.357514,0.846606,[79 33] ; [35 10],[81.32484076 30.67515924] ; [32.67515924 12.32484076],0
s3,1,0.38611,0.751156,[54 56] ; [25 19],[56.42857143 53.57142857] ; [22.57142857 21.42857143],0
p2,1,0.439727,0.596995,[77 34] ; [34 11],[78.98076923 32.01923077] ; [32.01923077 12.98076923],0
s4,1,0.443818,0.586391,[23 87] ; [ 7 38],[21.29032258 88.70967742] ; [ 8.70967742 36.29032258],0
n3,1,0.448953,0.573293,[21 16] ; [7 3],[22.04255319 14.95744681] ; [5.95744681 4.04255319],0
b1,1,0.456445,0.554599,[45 67] ; [21 24],[47.08280255 64.91719745] ; [18.91719745 26.08280255],0
b2,1,0.463454,0.537541,[14 45] ; [ 9 20],[15.42045455 43.57954545] ; [ 7.57954545 21.42045455],0
b3,1,0.463454,0.537541,[14 45] ; [ 9 20],[15.42045455 43.57954545] ; [ 7.57954545 21.42045455],0
b5,1,0.472679,0.515706,[74 38] ; [27 18],[72.05095541 39.94904459] ; [28.94904459 16.05095541],0
d1,1,0.534094,0.386596,[27 85] ; [13 32],[28.53503185 83.46496815] ; [11.46496815 33.53503185],0
n6,1,0.555784,0.347057,[80 32] ; [30 15],[78.47133758 33.52866242] ; [31.52866242 13.47133758],0
a1,1,0.568818,0.324665,[  3 109] ; [ 2 43],[  3.56687898 108.43312102] ; [ 1.43312102 43.56687898],0
a4,1,0.574536,0.315152,[14 98] ; [ 7 37],[15.07692308 96.92307692] ; [ 5.92307692 38.07692308],0
u1,1,0.66331,0.189528,[  4 108] ; [ 1 44],[  3.56687898 108.43312102] ; [ 1.43312102 43.56687898],0
p8,1,0.731473,0.117763,[45 67] ; [19 25],[45.94871795 66.05128205] ; [18.05128205 25.94871795],0
d3,1,0.819387,0.052136,[54 56] ; [23 22],[54.64516129 55.35483871] ; [22.35483871 22.64516129],0
a7,1,0.829066,0.046612,[67 44] ; [28 17],[67.59615385 43.40384615] ; [27.40384615 17.59615385],0
p1,1,0.83181,0.045106,[11 99] ; [ 4 41],[10.64516129 99.35483871] ; [ 4.35483871 40.64516129],0
p11,1,0.851803,0.034901,[69 43] ; [27 18],[68.48407643 43.51592357] ; [27.51592357 17.48407643],0
