Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,2e-05,18.210354,[ 3 37] ; [16 14],[10.85714286 29.14285714] ; [ 8.14285714 21.85714286],1
p7,1,0.000176,14.068819,[12 30] ; [22  8],[19.83333333 22.16666667] ; [14.16666667 15.83333333],1
p8,1,0.002317,9.279438,[10 33] ; [18 13],[16.27027027 26.72972973] ; [11.72972973 19.27027027],0
p2,1,0.005227,7.79917,[27 17] ; [28  3],[32.26666667 11.73333333] ; [22.73333333  8.26666667],0
p3,1,0.009134,6.796413,[12 31] ; [18 13],[17.43243243 25.56756757] ; [12.56756757 18.43243243],0
p11,1,0.016344,5.765464,[22 22] ; [24  7],[26.98666667 17.01333333] ; [19.01333333 11.98666667],0
n4,1,0.021995,5.246165,[18 26] ; [21 10],[22.88 21.12] ; [16.12 14.88],0
v4,1,0.050863,3.812792,[35  8] ; [29  1],[37.69863014  5.30136986] ; [26.30136986  3.69863014],0
r3,1,0.053,3.743904,[33 10] ; [29  2],[36.02702703  6.97297297] ; [25.97297297  5.02702703],0
p9,1,0.063658,3.439429,[27 15] ; [26  5],[30.49315068 11.50684932] ; [22.50684932  8.49315068],0
u1,1,0.069151,3.303048,[ 1 43] ; [ 4 27],[ 2.93333333 41.06666667] ; [ 2.06666667 28.93333333],0
n5,1,0.084509,2.975977,[16 28] ; [17 13],[19.62162162 24.37837838] ; [13.37837838 16.62162162],0
b1,1,0.126071,2.340233,[22 22] ; [21 10],[25.22666667 18.77333333] ; [17.77333333 13.22666667],0
u3,1,0.156582,2.006932,[7 4] ; [9 1],[8.38095238 2.61904762] ; [7.61904762 2.38095238],0
p10,1,0.159275,1.981099,[23 19] ; [22  9],[25.89041096 16.10958904] ; [19.10958904 11.89041096],0
r4,1,0.229394,1.444615,[30 14] ; [25  6],[32.26666667 11.73333333] ; [22.73333333  8.26666667],0
a8,1,0.254888,1.296309,[ 5 37] ; [ 1 25],[ 3.70588235 38.29411765] ; [ 2.29411765 23.70588235],0
b5,1,0.338768,0.91509,[25 19] ; [21 10],[26.98666667 17.01333333] ; [19.01333333 11.98666667],0
s6,1,0.342802,0.899925,[23 20] ; [20 11],[24.98648649 18.01351351] ; [18.01351351 12.98648649],0
p5,1,0.395383,0.722324,[ 2 41] ; [ 3 28],[ 2.90540541 40.09459459] ; [ 2.09459459 28.90540541],0
s7,1,0.41495,0.664572,[19 22] ; [11 19],[17.32394366 23.67605634] ; [12.67605634 17.32394366],0
s3,1,0.416416,0.660406,[24 20] ; [13 16],[22.30136986 21.69863014] ; [14.69863014 14.30136986],0
s2,1,0.439858,0.596654,[18 26] ; [15 15],[19.62162162 24.37837838] ; [13.37837838 16.62162162],0
a3,1,0.490591,0.47523,[33 11] ; [21 10],[31.68 12.32] ; [22.32  8.68],0
n1,1,0.5051,0.444205,[ 8 11] ; [5 4],[ 8.82142857 10.17857143] ; [4.17857143 4.82142857],0
r2,1,0.512375,0.429214,[39  5] ; [25  5],[38.05405405  5.94594595] ; [25.94594595  4.05405405],0
s1,1,0.521481,0.410963,[ 3 40] ; [ 1 28],[ 2.38888889 40.61111111] ; [ 1.61111111 27.38888889],0
v2,1,0.5946,0.283218,[22 19] ; [18 12],[23.09859155 17.90140845] ; [16.90140845 13.09859155],0
