Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4.1e-05,16.821598,[74  5] ; [66 30],[63.2 15.8] ; [76.8 19.2],1
r4,1,0.000475,12.210779,[65 14] ; [56 41],[54.3125 24.6875] ; [66.6875 30.3125],1
p2,1,0.001972,9.575032,[55 24] ; [45 52],[44.88636364 34.11363636] ; [55.11363636 41.88636364],0
b1,1,0.009107,6.801812,[30 49] ; [56 41],[38.60227273 40.39772727] ; [47.39772727 49.60227273],0
p9,1,0.011362,6.407839,[33 45] ; [23 72],[25.24855491 52.75144509] ; [30.75144509 64.24855491],0
n6,1,0.011839,6.334891,[56 22] ; [51 45],[47.96551724 30.03448276] ; [59.03448276 36.96551724],0
n2,1,0.029074,4.763218,[21  8] ; [21 24],[16.45945946 12.54054054] ; [25.54054054 19.45945946],0
p6,1,0.029465,4.74025,[23 54] ; [15 79],[17.11111111 59.88888889] ; [20.88888889 73.11111111],0
s1,1,0.04206,4.132775,[ 2 76] ; [10 86],[ 5.37931034 72.62068966] ; [ 6.62068966 89.37931034],0
p1,1,0.043893,4.060674,[ 2 76] ; [10 87],[ 5.34857143 72.65142857] ; [ 6.65142857 90.34857143],0
v4,1,0.044531,4.036295,[68 11] ; [70 25],[62.65517241 16.34482759] ; [75.34482759 19.65517241],0
v2,1,0.049614,3.854462,[35 42] ; [29 65],[28.81871345 48.18128655] ; [35.18128655 58.81871345],0
r2,1,0.067758,3.336523,[69  9] ; [74 21],[64.47398844 13.52601156] ; [78.52601156 16.47398844],0
r1,1,0.069144,3.303221,[57 22] ; [56 39],[51.3045977 27.6954023] ; [61.6954023 33.3045977],0
d3,1,0.08938,2.88551,[52 27] ; [51 45],[46.49714286 32.50285714] ; [56.50285714 39.49714286],0
s8,1,0.103966,2.643619,[19 60] ; [14 83],[14.8125 64.1875] ; [18.1875 78.8125],0
p3,1,0.124253,2.362869,[18 61] ; [32 64],[22.57142857 56.42857143] ; [27.42857143 68.57142857],0
n3,1,0.132891,2.258403,[21  9] ; [22 20],[17.91666667 12.08333333] ; [25.08333333 16.91666667],0
d4,1,0.137084,2.210389,[59 20] ; [61 34],[54.48275862 24.51724138] ; [65.51724138 29.48275862],0
p7,1,0.150882,2.063308,[36 42] ; [34 62],[31.37931034 46.62068966] ; [38.62068966 57.37931034],0
v1,1,0.153171,2.040387,[31 46] ; [29 68],[26.55172414 50.44827586] ; [33.44827586 63.55172414],0
b4,1,0.208174,1.584081,[49 30] ; [51 46],[44.88636364 34.11363636] ; [55.11363636 41.88636364],0
u3,1,0.22958,1.443464,[17 12] ; [19 24],[14.5 14.5] ; [21.5 21.5],0
n5,1,0.236067,1.403925,[39 40] ; [56 40],[42.88571429 36.11428571] ; [52.11428571 43.88571429],0
n1,1,0.250992,1.317772,[ 9 21] ; [19 25],[11.35135135 18.64864865] ; [16.64864865 27.35135135],0
p5,1,0.251688,1.313912,[ 1 78] ; [ 4 92],[ 2.25714286 76.74285714] ; [ 2.74285714 93.25714286],0
b2,1,0.268463,1.224585,[14 37] ; [21 35],[16.68224299 34.31775701] ; [18.31775701 37.68224299],0
b3,1,0.268463,1.224585,[14 37] ; [21 35],[16.68224299 34.31775701] ; [18.31775701 37.68224299],0
a1,1,0.287604,1.130806,[ 4 75] ; [ 9 88],[ 5.83522727 73.16477273] ; [ 7.16477273 89.83522727],0
d1,1,0.346832,0.885015,[39 40] ; [41 56],[35.90909091 43.09090909] ; [44.09090909 52.90909091],0
a2,1,0.353024,0.862557,[12 67] ; [20 77],[14.36363636 64.63636364] ; [17.63636364 79.36363636],0
a3,1,0.387735,0.746033,[50 29] ; [54 41],[47.2183908 31.7816092] ; [56.7816092 38.2183908],0
u2,1,0.395943,0.720613,[15 14] ; [17 24],[13.25714286 15.74285714] ; [18.74285714 22.25714286],0
p8,1,0.42646,0.632444,[26 53] ; [26 69],[23.6091954 55.3908046] ; [28.3908046 66.6091954],0
b5,1,0.432343,0.61652,[51 28] ; [57 40],[48.47727273 30.52272727] ; [59.52272727 37.47727273],0
p12,1,0.437372,0.603168,[ 2 76] ; [ 1 96],[ 1.33714286 76.66285714] ; [ 1.66285714 95.33714286],0
s4,1,0.490776,0.474825,[ 7 70] ; [12 85],[ 8.40804598 68.59195402] ; [10.59195402 86.40804598],0
