Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,2e-05,18.22512,[36  3] ; [11 14],[28.640625 10.359375] ; [18.359375  6.640625],1
n5,1,5.7e-05,16.193966,[30 10] ; [ 6 19],[22.15384615 17.84615385] ; [13.84615385 11.15384615],1
v4,1,0.00652,7.400554,[39  1] ; [19  6],[35.69230769  4.30769231] ; [22.30769231  2.69230769],0
s7,1,0.01233,6.262827,[20 19] ; [ 5 20],[15.234375 23.765625] ; [ 9.765625 15.234375],0
a4,1,0.02182,5.260078,[17 22] ; [ 4 21],[12.796875 26.203125] ; [ 8.203125 16.796875],0
d2,1,0.033135,4.538793,[22 18] ; [ 7 18],[17.84615385 22.15384615] ; [11.15384615 13.84615385],0
s4,1,0.068617,3.315789,[ 2 36] ; [ 5 20],[ 4.22222222 33.77777778] ; [ 2.77777778 22.22222222],0
d1,1,0.076679,3.133929,[25 15] ; [10 15],[21.53846154 18.46153846] ; [13.46153846 11.53846154],0
p9,1,0.082693,3.011164,[19 19] ; [ 7 18],[15.68253968 22.31746032] ; [10.31746032 14.68253968],0
d4,1,0.093795,2.808,[28 12] ; [22  3],[30.76923077  9.23076923] ; [19.23076923  5.76923077],0
p2,1,0.104799,2.630952,[34  6] ; [17  8],[31.38461538  8.61538462] ; [19.61538462  5.38461538],0
s8,1,0.111037,2.539396,[17 22] ; [ 6 19],[14.015625 24.984375] ; [ 8.984375 16.015625],0
a6,1,0.129131,2.302924,[23 17] ; [19  6],[25.84615385 14.15384615] ; [16.15384615  8.84615385],0
v3,1,0.144369,2.130758,[15 24] ; [ 5 19],[12.38095238 26.61904762] ; [ 7.61904762 16.38095238],0
s3,1,0.169084,1.891044,[24 15] ; [11 14],[21.328125 17.671875] ; [13.671875 11.328125],0
b1,1,0.194214,1.685357,[21 19] ; [ 9 16],[18.46153846 21.53846154] ; [11.53846154 13.46153846],0
a2,1,0.202396,1.625,[10 30] ; [ 3 22],[ 8. 32.] ; [ 5. 20.],0
v1,1,0.217309,1.522052,[19 21] ; [ 8 17],[16.61538462 23.38461538] ; [10.38461538 14.61538462],0
r4,1,0.228981,1.44718,[35  5] ; [19  6],[33.23076923  6.76923077] ; [20.76923077  4.23076923],0
b4,1,0.297953,1.083333,[26 14] ; [13 12],[24. 16.] ; [15. 10.],0
r1,1,0.300463,1.072137,[31  8] ; [17  8],[29.25  9.75] ; [18.75  6.25],0
n1,1,0.322888,0.977211,[9 5] ; [1 2],[8.23529412 5.76470588] ; [1.76470588 1.23529412],0
p6,1,0.335371,0.928046,[19 19] ; [ 9 15],[17.16129032 20.83870968] ; [10.83870968 13.16129032],0
n3,1,0.396144,0.72,[9 6] ; [1 2],[8.33333333 6.66666667] ; [1.66666667 1.33333333],0
d3,1,0.396504,0.718903,[31  9] ; [17  8],[29.53846154 10.46153846] ; [18.46153846  6.53846154],0
a5,1,0.468082,0.5265,[26 14] ; [14 11],[24.61538462 15.38461538] ; [15.38461538  9.61538462],0
v2,1,0.504853,0.444721,[19 21] ; [14 11],[20.30769231 19.69230769] ; [12.69230769 12.30769231],0
r2,1,0.542013,0.371822,[37  3] ; [22  3],[36.30769231  3.69230769] ; [22.69230769  2.30769231],0
r3,1,0.567827,0.326332,[37  3] ; [24  1],[37.53846154  2.46153846] ; [23.46153846  1.53846154],0
a3,1,0.583184,0.301115,[23 16] ; [13 12],[21.9375 17.0625] ; [14.0625 10.9375],0
p4,1,0.602773,0.270833,[25 15] ; [14 11],[24. 16.] ; [15. 10.],0
d5,1,0.616514,0.250797,[31  9] ; [18  7],[30.15384615  9.84615385] ; [18.84615385  6.15384615],0
u3,1,0.637947,0.221437,[ 7 10] ; [6 6],[7.62068966 9.37931034] ; [5.37931034 6.62068966],0
p3,1,0.664303,0.188338,[17 23] ; [12 13],[17.84615385 22.15384615] ; [11.15384615 13.84615385],0
p11,1,0.664303,0.188338,[23 17] ; [13 12],[22.15384615 17.84615385] ; [13.84615385 11.15384615],0
p7,1,0.697962,0.150601,[29 11] ; [17  8],[28.30769231 11.69230769] ; [17.69230769  7.30769231],0
u2,1,0.72759,0.121336,[ 6 11] ; [5 7],[ 6.44827586 10.55172414] ; [4.55172414 7.44827586],0
s2,1,0.776633,0.080491,[17 22] ; [10 15],[16.453125 22.546875] ; [10.546875 14.453125],0
n2,1,0.813945,0.055385,[11  4] ; [2 1],[10.83333333  4.16666667] ; [2.16666667 0.83333333],0
s1,1,0.83497,0.043402,[ 2 37] ; [ 1 24],[ 1.828125 37.171875] ; [ 1.171875 23.828125],0
a7,1,0.865036,0.028889,[28 12] ; [17  8],[27.69230769 12.30769231] ; [17.30769231  7.69230769],0
s5,1,0.896431,0.016945,[ 7 32] ; [ 4 20],[ 6.80952381 32.19047619] ; [ 4.19047619 19.80952381],0
s6,1,0.935037,0.006644,[23 16] ; [15 10],[23.15625 15.84375] ; [14.84375 10.15625],0
b5,1,0.966549,0.001759,[27 13] ; [17  8],[27.07692308 12.92307692] ; [16.92307692  8.07692308],0
b2,1,1.0,0.0,[ 7 21] ; [3 9],[ 7. 21.] ; [3. 9.],0
b3,1,1.0,0.0,[ 7 21] ; [3 9],[ 7. 21.] ; [3. 9.],0
