Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,94.918091,[ 8 48] ; [133  22],[37.42180095 18.57819905] ; [103.57819905  51.42180095],1
b1,1,6e-05,16.089816,[31 25] ; [ 40 115],[18.8436019 37.1563981] ; [ 52.1563981 102.8436019],1
p11,1,7.8e-05,15.614905,[28 28] ; [121  34],[39.5450237 16.4549763] ; [109.4549763  45.5450237],1
s8,1,0.000648,11.632345,[ 9 46] ; [65 90],[19.38095238 35.61904762] ; [ 54.61904762 100.38095238],1
p2,1,0.001497,10.082386,[34 22] ; [126  28],[42.66666667 13.33333333] ; [117.33333333  36.66666667],0
s6,1,0.001958,9.588845,[22 33] ; [98 55],[31.73076923 23.26923077] ; [88.26923077 64.73076923],0
a7,1,0.0031,8.747667,[33 23] ; [122  32],[41.33333333 14.66666667] ; [113.66666667  40.33333333],0
n6,1,0.006927,7.291877,[28 28] ; [108  46],[36.26666667 19.73333333] ; [99.73333333 54.26666667],0
d3,1,0.007857,7.065884,[32 24] ; [117  37],[39.73333333 16.26666667] ; [109.26666667  44.73333333],0
d1,1,0.015801,5.82485,[22 34] ; [90 65],[29.72511848 26.27488152] ; [82.27488152 72.72511848],0
s2,1,0.018203,5.57648,[16 40] ; [72 82],[23.46666667 32.53333333] ; [64.53333333 89.46666667],0
a6,1,0.037704,4.318326,[30 26] ; [107  48],[36.36018957 19.63981043] ; [100.63981043  54.36018957],0
a5,1,0.047049,3.943638,[32 24] ; [111  44],[37.95260664 18.04739336] ; [105.04739336  49.95260664],0
p8,1,0.058495,3.579545,[18 38] ; [72 82],[24. 32.] ; [66. 88.],0
s7,1,0.064364,3.421206,[13 38] ; [61 92],[18.5 32.5] ; [55.5 97.5],0
d4,1,0.086555,2.937304,[42 14] ; [132  23],[46.18009479  9.81990521] ; [127.81990521  27.18009479],0
d5,1,0.118572,2.43608,[39 17] ; [123  31],[43.2 12.8] ; [118.8  35.2],0
s5,1,0.120692,2.40832,[11 44] ; [ 45 100],[15.4 39.6] ; [ 40.6 104.4],0
p7,1,0.145821,2.115427,[27 29] ; [91 62],[31.61722488 24.38277512] ; [86.38277512 66.61722488],0
b2,1,0.169831,1.884432,[ 7 27] ; [28 56],[10.08474576 23.91525424] ; [24.91525424 59.08474576],0
b3,1,0.169831,1.884432,[ 7 27] ; [28 56],[10.08474576 23.91525424] ; [24.91525424 59.08474576],0
a3,1,0.182265,1.779058,[32 24] ; [104  51],[36.09478673 19.90521327] ; [99.90521327 55.09478673],0
u2,1,0.20931,1.576195,[12 12] ; [32 17],[14.46575342  9.53424658] ; [29.53424658 19.46575342],0
a8,1,0.209621,1.574043,[ 2 51] ; [ 13 129],[ 4.07692308 48.92307692] ; [ 10.92307692 131.07692308],0
s1,1,0.213771,1.545705,[ 4 52] ; [  5 150],[ 2.38862559 53.61137441] ; [  6.61137441 148.38862559],0
p6,1,0.29526,1.095479,[13 42] ; [ 47 104],[16.01941748 38.98058252] ; [ 43.98058252 107.01941748],0
s3,1,0.382314,0.763249,[24 32] ; [76 77],[26.79425837 29.20574163] ; [73.20574163 79.79425837],0
