Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,193.406408,[115 314] ; [271  82],[211.75703325 217.24296675] ; [174.24296675 178.75703325],1
s2,1,0.0,113.182281,[157 288] ; [267 100],[232.36453202 212.63546798] ; [191.63546798 175.36453202],1
s6,1,0.0,84.223206,[239 198] ; [310  55],[299.14339152 137.85660848] ; [249.85660848 115.14339152],1
s3,1,0.0,82.099044,[190 250] ; [274  92],[253.30024814 186.69975186] ; [210.69975186 155.30024814],1
s5,1,0.0,34.43529,[112 322] ; [161 190],[150.93248408 283.06751592] ; [122.06751592 228.93248408],1
p6,1,1e-06,25.063094,[127 310] ; [169 197],[161.08592777 275.91407223] ; [134.91407223 231.08592777],1
a3,1,2e-06,22.812941,[289 157] ; [295  74],[319.58773006 126.41226994] ; [264.41226994 104.58773006],1
d2,1,2e-06,22.746571,[182 264] ; [213 157],[215.89460784 230.10539216] ; [179.10539216 190.89460784],1
d1,1,2e-06,22.67386,[232 217] ; [252 118],[265.34310134 183.65689866] ; [218.65689866 151.34310134],1
p3,1,3e-06,22.103852,[191 254] ; [220 150],[224.41104294 220.58895706] ; [186.58895706 183.41104294],1
v1,1,9e-06,19.72775,[209 232] ; [226 132],[240.09386733 200.90613267] ; [194.90613267 163.09386733],1
p9,1,9e-06,19.632853,[347  90] ; [333  34],[369.60199005  67.39800995] ; [310.39800995  56.60199005],1
p10,1,2.3e-05,17.936213,[333 107] ; [320  46],[356.4764268  83.5235732] ; [296.5235732  69.4764268],1
v3,1,2.6e-05,17.65962,[144 286] ; [170 182],[172.65984655 257.34015345] ; [141.34015345 210.65984655],1
p5,1,4.9e-05,16.474183,[ 30 415] ; [ 57 308],[ 47.7962963 397.2037037] ; [ 39.2037037 325.7962963],1
p4,1,5e-05,16.461149,[235 207] ; [248 121],[263.23797781 178.76202219] ; [219.76202219 149.23797781],1
n5,1,0.000127,14.690036,[308 137] ; [298  70],[331.69741697 113.30258303] ; [274.30258303  93.69741697],1
u1,1,0.000241,13.481774,[ 63 386] ; [ 89 281],[ 83.33089133 365.66910867] ; [ 68.66910867 301.33089133],1
a5,1,0.000269,13.276615,[308 140] ; [296  74],[330.79706601 117.20293399] ; [273.20293399  96.79706601],1
b2,1,0.00049,12.154362,[ 73 170] ; [114 138],[ 91.8 151.2] ; [ 95.2 156.8],1
b3,1,0.00049,12.154362,[ 73 170] ; [114 138],[ 91.8 151.2] ; [ 95.2 156.8],1
p12,1,0.00064,11.656325,[ 22 421] ; [ 42 324],[ 35.04573548 407.95426452] ; [ 28.95426452 337.04573548],1
p7,1,0.000658,11.603618,[255 180] ; [253 107],[277.96226415 157.03773585] ; [230.03773585 129.96226415],1
