Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4.6e-05,16.604223,[36 22] ; [ 1 16],[28.61333333 29.38666667] ; [8.38666667 8.61333333],1
d5,1,0.000127,14.691394,[48 10] ; [ 6 11],[41.76 16.24] ; [12.24  4.76],1
d3,1,0.000729,11.41449,[43 15] ; [ 5 12],[37.12 20.88] ; [10.88  6.12],1
s7,1,0.001917,9.627427,[31 26] ; [ 2 15],[25.41891892 31.58108108] ; [7.58108108 9.41891892],0
s8,1,0.009596,6.708366,[27 31] ; [ 2 15],[22.42666667 35.57333333] ; [ 6.57333333 10.42666667],0
r1,1,0.011237,6.427485,[43 15] ; [ 7 10],[38.66666667 19.33333333] ; [11.33333333  5.66666667],0
a5,1,0.012176,6.284991,[40 18] ; [ 6 11],[35.57333333 22.42666667] ; [10.42666667  6.57333333],0
s6,1,0.01738,5.657614,[36 22] ; [ 5 12],[31.70666667 26.29333333] ; [9.29333333 7.70666667],0
s2,1,0.01792,5.603977,[25 33] ; [ 2 15],[20.88 37.12] ; [ 6.12 10.88],0
u3,1,0.018678,5.531429,[9 6] ; [1 8],[6.25 8.75] ; [3.75 5.25],0
r2,1,0.023908,5.101309,[54  3] ; [13  4],[51.60810811  5.39189189] ; [15.39189189  1.60810811],0
v2,1,0.029638,4.730145,[30 26] ; [ 4 13],[26.08219178 29.91780822] ; [7.91780822 9.08219178],0
s3,1,0.032237,4.585846,[35 22] ; [ 5 11],[31.23287671 25.76712329] ; [8.76712329 7.23287671],0
a3,1,0.050049,3.839822,[43 14] ; [8 8],[39.82191781 17.17808219] ; [11.17808219  4.82191781],0
r3,1,0.050739,3.816869,[54  4] ; [13  4],[51.81333333  6.18666667] ; [15.18666667  1.81333333],0
d2,1,0.081082,3.043084,[31 27] ; [ 5 12],[27.84 30.16] ; [8.16 8.84],0
a4,1,0.090206,2.87069,[32 26] ; [ 5 11],[29. 29.] ; [8. 8.],0
v1,1,0.119194,2.427881,[25 31] ; [ 4 13],[22.24657534 33.75342466] ; [ 6.75342466 10.24657534],0
n1,1,0.1593,1.98086,[13  9] ; [2 5],[11.37931034 10.62068966] ; [3.62068966 3.37931034],0
a7,1,0.169345,1.888736,[38 20] ; [8 9],[35.57333333 22.42666667] ; [10.42666667  6.57333333],0
a6,1,0.169345,1.888736,[38 20] ; [8 9],[35.57333333 22.42666667] ; [10.42666667  6.57333333],0
a1,1,0.180256,1.795515,[ 4 54] ; [ 3 14],[ 5.41333333 52.58666667] ; [ 1.58666667 15.41333333],0
p4,1,0.189653,1.720312,[27 30] ; [ 5 12],[24.64864865 32.35135135] ; [7.35135135 9.64864865],0
u2,1,0.310557,1.028307,[6 8] ; [2 7],[4.86956522 9.13043478] ; [3.13043478 5.86956522],0
p7,1,0.315317,1.008274,[28 29] ; [ 6 11],[26.18918919 30.81081081] ; [7.81081081 9.18918919],0
v3,1,0.330432,0.947205,[16 38] ; [ 3 14],[14.45070423 39.54929577] ; [ 4.54929577 12.45070423],0
p6,1,0.348916,0.877394,[20 36] ; [ 4 13],[18.4109589 37.5890411] ; [ 5.5890411 11.4109589],0
r4,1,0.355186,0.854844,[47 11] ; [12  5],[45.62666667 12.37333333] ; [13.37333333  3.62666667],0
s4,1,0.36673,0.814716,[ 8 49] ; [ 1 16],[ 6.93243243 50.06756757] ; [ 2.06756757 14.93243243],0
n2,1,0.397559,0.715697,[16  7] ; [6 1],[16.86666667  6.13333333] ; [5.13333333 1.86666667],0
p1,1,0.515286,0.423318,[ 4 54] ; [ 2 15],[ 4.64 53.36] ; [ 1.36 15.64],0
n3,1,0.518033,0.417808,[17  6] ; [6 1],[17.63333333  5.36666667] ; [5.36666667 1.63333333],0
n4,1,0.55217,0.353444,[38 19] ; [10  7],[36.97297297 20.02702703] ; [11.02702703  5.97297297],0
p2,1,0.552438,0.352968,[45 13] ; [12  5],[44.08 13.92] ; [12.92  4.08],0
p8,1,0.573284,0.317218,[21 36] ; [ 5 12],[20.02702703 36.97297297] ; [ 5.97297297 11.02702703],0
b1,1,0.585657,0.297177,[23 35] ; [8 9],[23.97333333 34.02666667] ; [7.02666667 9.97333333],0
b4,1,0.585657,0.297177,[35 23] ; [9 8],[34.02666667 23.97333333] ; [9.97333333 7.02666667],0
n5,1,0.615662,0.252012,[33 24] ; [11  6],[33.89189189 23.10810811] ; [10.10810811  6.89189189],0
a8,1,0.651814,0.203621,[11 41] ; [ 4 11],[11.64179104 40.35820896] ; [ 3.35820896 11.64179104],0
a2,1,0.673102,0.177995,[13 45] ; [ 3 14],[12.37333333 45.62666667] ; [ 3.62666667 13.37333333],0
n6,1,0.761781,0.091895,[38 19] ; [12  5],[38.51351351 18.48648649] ; [11.48648649  5.51351351],0
p3,1,0.845378,0.038032,[19 39] ; [ 6 11],[19.33333333 38.66666667] ; [ 5.66666667 11.33333333],0
v4,1,0.867545,0.027815,[52  6] ; [15  2],[51.81333333  6.18666667] ; [15.18666667  1.81333333],0
b5,1,0.8828,0.021733,[42 16] ; [12  5],[41.76 16.24] ; [12.24  4.76],0
b2,1,0.890827,0.01884,[14 27] ; [4 7],[14.19230769 26.80769231] ; [3.80769231 7.19230769],0
b3,1,0.890827,0.01884,[14 27] ; [4 7],[14.19230769 26.80769231] ; [3.80769231 7.19230769],0
p11,1,0.988084,0.000223,[34 24] ; [10  7],[34.02666667 23.97333333] ; [9.97333333 7.02666667],0
