Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,153.833837,[405  48] ; [53 83],[352.24787776 100.75212224] ; [105.75212224  30.24787776],1
n6,1,0.0,54.700898,[415  37] ; [90 45],[388.85860307  63.14139693] ; [116.14139693  18.85860307],1
p11,1,2.2e-05,18.034478,[377  77] ; [90 46],[359.35254237  94.64745763] ; [107.64745763  28.35254237],1
v1,1,4.1e-05,16.846587,[271 170] ; [54 77],[250.56818182 190.43181818] ; [74.43181818 56.56818182],1
p4,1,6.7e-05,15.881975,[312 138] ; [69 67],[292.57679181 157.42320819] ; [88.42320819 47.57679181],1
s7,1,0.000207,13.767783,[282 152] ; [62 70],[263.77385159 170.22614841] ; [80.22614841 51.77385159],1
p10,1,0.001847,9.695796,[388  60] ; [101  33],[376.41237113  71.58762887] ; [112.58762887  21.41237113],0
v3,1,0.001856,9.686513,[195 243] ; [38 92],[179.67253521 258.32746479] ; [53.32746479 76.67253521],0
p7,1,0.002845,8.904308,[306 132] ; [75 59],[291.74475524 146.25524476] ; [89.25524476 44.74475524],0
p5,1,0.003309,8.628996,[ 71 379] ; [  8 127],[ 60.76923077 389.23076923] ; [ 18.23076923 116.76923077],0
a8,1,0.003336,8.614023,[ 71 342] ; [  8 115],[ 60.87126866 352.12873134] ; [ 18.12873134 104.87126866],0
p2,1,0.005495,7.708964,[390  62] ; [103  32],[379.61839864  72.38160136] ; [113.38160136  21.61839864],0
a3,1,0.006165,7.501537,[337 115] ; [85 51],[324.39455782 127.60544218] ; [97.60544218 38.39455782],0
p9,1,0.008076,7.01649,[400  48] ; [108  26],[391.03780069  56.96219931] ; [116.96219931  17.03780069],0
p6,1,0.010815,6.495396,[193 254] ; [41 92],[180.34137931 266.65862069] ; [53.65862069 79.34137931],0
r4,1,0.018049,5.591374,[430  24] ; [121  15],[423.98983051  30.01016949] ; [127.01016949   8.98983051],0
p8,1,0.026228,4.940913,[249 195] ; [61 74],[237.72020725 206.27979275] ; [72.27979275 62.72020725],0
s4,1,0.026335,4.933857,[ 85 361] ; [38 98],[ 94.25773196 351.74226804] ; [ 28.74226804 107.25773196],0
s8,1,0.043868,4.061618,[263 188] ; [66 70],[252.77512777 198.22487223] ; [76.22487223 59.77512777],0
r1,1,0.049715,3.85105,[384  68] ; [105  30],[376.53833049  75.46166951] ; [112.46166951  22.53833049],0
u1,1,0.04995,3.843131,[102 352] ; [ 20 116],[ 93.8779661 360.1220339] ; [ 28.1220339 107.8779661],0
p12,1,0.055822,3.657368,[ 52 398] ; [  8 128],[ 46.07508532 403.92491468] ; [ 13.92491468 122.07508532],0
n1,1,0.05852,3.578853,[38 46] ; [12 31],[33.07086614 50.92913386] ; [16.92913386 26.07086614],0
a2,1,0.080331,3.058184,[124 330] ; [ 27 109],[116.19322034 337.80677966] ; [ 34.80677966 101.19322034],0
p3,1,0.088302,2.905056,[247 205] ; [63 73],[238.29931973 213.70068027] ; [71.70068027 64.29931973],0
b4,1,0.117258,2.453574,[263 191] ; [89 47],[270.86101695 183.13898305] ; [81.13898305 54.86101695],0
v4,1,0.127581,2.321691,[439  14] ; [127   8],[436.05102041  16.94897959] ; [129.94897959   5.05102041],0
r2,1,0.140773,2.169484,[434  17] ; [124   9],[430.92123288  20.07876712] ; [127.07876712   5.92123288],0
b2,1,0.14477,2.12651,[109 171] ; [23 54],[103.52941176 176.47058824] ; [28.47058824 48.52941176],0
b3,1,0.14477,2.12651,[109 171] ; [23 54],[103.52941176 176.47058824] ; [28.47058824 48.52941176],0
a4,1,0.172576,1.860419,[209 242] ; [54 82],[202.06643952 248.93356048] ; [60.93356048 75.06643952],0
u2,1,0.193342,1.691967,[68 48] ; [34 15],[71.70909091 44.29090909] ; [30.29090909 18.70909091],0
b1,1,0.212922,1.551445,[177 277] ; [45 91],[170.82711864 283.17288136] ; [51.17288136 84.82711864],0
v2,1,0.298608,1.080402,[260 177] ; [69 58],[254.91666667 182.08333333] ; [74.08333333 52.91666667],0
u3,1,0.336971,0.921922,[72 45] ; [34 15],[74.71084337 42.28915663] ; [31.28915663 17.71084337],0
n3,1,0.362425,0.829472,[58 26] ; [33 10],[60.18897638 23.81102362] ; [30.81102362 12.18897638],0
d2,1,0.379132,0.773516,[225 226] ; [62 74],[220.50596252 230.49403748] ; [66.49403748 69.50596252],0
d3,1,0.423447,0.640729,[319 132] ; [101  35],[322.69165247 128.30834753] ; [97.30834753 38.69165247],0
s2,1,0.459556,0.546975,[300 150] ; [86 50],[296.41638225 153.58361775] ; [89.58361775 46.41638225],0
d1,1,0.480912,0.496795,[279 175] ; [79 57],[275.4779661 178.5220339] ; [82.5220339 53.4779661],0
a1,1,0.48342,0.491139,[ 23 431] ; [  9 127],[ 24.62372881 429.37627119] ; [  7.37627119 128.62372881],0
s3,1,0.545612,0.365237,[319 128] ; [92 42],[316.20826162 130.79173838] ; [94.79173838 39.20826162],0
n2,1,0.573909,0.316185,[67 18] ; [32 11],[65.7421875 19.2578125] ; [33.2578125  9.7421875],0
d5,1,0.589896,0.290507,[377  74] ; [111  25],[374.93696763  76.06303237] ; [113.06303237  22.93696763],0
a7,1,0.609121,0.261457,[329 123] ; [102  34],[331.31292517 120.68707483] ; [99.68707483 36.31292517],0
a6,1,0.610923,0.258834,[305 145] ; [89 47],[302.55972696 147.44027304] ; [91.44027304 44.55972696],0
b5,1,0.633651,0.227143,[284 170] ; [82 54],[281.63389831 172.36610169] ; [84.36610169 51.63389831],0
a5,1,0.641994,0.216144,[342 111] ; [100  36],[339.94227504 113.05772496] ; [102.05772496  33.94227504],0
s1,1,0.6625,0.190501,[ 16 429] ; [  6 130],[ 16.85025818 428.14974182] ; [  5.14974182 130.85025818],0
d4,1,0.716209,0.132154,[378  72] ; [116  20],[379.35153584  70.64846416] ; [114.64846416  21.35153584],0
s5,1,0.769788,0.085646,[191 250] ; [54 75],[189.55263158 251.44736842] ; [55.44736842 73.55263158],0
p1,1,0.936611,0.006325,[ 38 413] ; [ 11 123],[ 37.77606838 413.22393162] ; [ 11.22393162 122.77606838],0
