Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,5.7e-05,16.186266,[56  9] ; [38 32],[45.25925926 19.74074074] ; [48.74074074 21.25925926],1
v3,1,0.001064,10.711913,[30 33] ; [14 54],[21.16030534 41.83969466] ; [22.83969466 45.16030534],0
r4,1,0.001191,10.50469,[61  4] ; [51 19],[53.92592593 11.07407407] ; [58.07407407 11.92592593],0
p6,1,0.002083,9.475358,[33 31] ; [18 52],[24.35820896 39.64179104] ; [26.64179104 43.35820896],0
d5,1,0.002584,9.080187,[58  7] ; [46 22],[50.82706767 14.17293233] ; [53.17293233 14.82706767],0
s6,1,0.002612,9.060278,[51 12] ; [39 30],[42.95454545 20.04545455] ; [47.04545455 21.95454545],0
r3,1,0.006437,7.423662,[62  3] ; [55 14],[56.75373134  8.24626866] ; [60.24626866  8.75373134],0
r1,1,0.007228,7.21553,[54 11] ; [43 26],[47.05223881 17.94776119] ; [49.94776119 19.05223881],0
s2,1,0.015953,5.808004,[44 21] ; [33 37],[37.07407407 27.92592593] ; [39.92592593 30.07407407],0
d1,1,0.026076,4.950955,[43 22] ; [33 37],[36.59259259 28.40740741] ; [39.40740741 30.59259259],0
d2,1,0.036458,4.375567,[40 25] ; [30 39],[33.95522388 31.04477612] ; [36.04477612 32.95522388],0
a6,1,0.04105,4.173945,[46 19] ; [37 32],[40.26119403 24.73880597] ; [42.73880597 26.26119403],0
a2,1,0.043017,4.094717,[22 43] ; [13 57],[16.85185185 48.14814815] ; [18.14814815 51.85185185],0
s8,1,0.051359,3.79654,[35 30] ; [26 44],[29.37037037 35.62962963] ; [31.62962963 38.37037037],0
n6,1,0.055934,3.654014,[52 11] ; [47 22],[47.25 15.75] ; [51.75 17.25],0
v1,1,0.058507,3.579216,[37 28] ; [28 41],[31.52985075 33.47014925] ; [33.47014925 35.52985075],0
u1,1,0.078865,3.088142,[16 49] ; [ 9 61],[12.03703704 52.96296296] ; [12.96296296 57.03703704],0
s7,1,0.079775,3.069477,[39 22] ; [32 34],[34.1023622 26.8976378] ; [36.8976378 29.1023622],0
a4,1,0.084791,2.970588,[37 28] ; [29 40],[32.01492537 32.98507463] ; [33.98507463 35.01492537],0
p5,1,0.087706,2.915982,[ 3 62] ; [ 9 60],[ 5.82089552 59.17910448] ; [ 6.17910448 62.82089552],0
d4,1,0.087792,2.914393,[55 10] ; [50 19],[50.93283582 14.06716418] ; [54.06716418 14.93283582],0
p3,1,0.090123,2.872167,[32 33] ; [24 45],[27.1641791 37.8358209] ; [28.8358209 40.1641791],0
n3,1,0.094941,2.788533,[17  3] ; [17 10],[14.46808511  5.53191489] ; [19.53191489  7.46808511],0
s1,1,0.097635,2.743763,[ 2 63] ; [ 7 61],[ 4.39849624 60.60150376] ; [ 4.60150376 63.39849624],0
p10,1,0.097947,2.738659,[54 11] ; [49 20],[49.96268657 15.03731343] ; [53.03731343 15.96268657],0
s5,1,0.117555,2.449602,[29 32] ; [22 43],[24.69047619 36.30952381] ; [26.30952381 38.69047619],0
a3,1,0.161358,1.961452,[49 16] ; [43 24],[45.3030303 19.6969697] ; [46.6969697 20.3030303],0
d3,1,0.23016,1.439875,[48 17] ; [43 24],[44.81060606 20.18939394] ; [46.18939394 20.81060606],0
n4,1,0.230663,1.436771,[47 17] ; [44 25],[43.78947368 20.21052632] ; [47.21052632 21.78947368],0
p7,1,0.249127,1.328193,[37 27] ; [33 36],[33.68421053 30.31578947] ; [36.31578947 32.68421053],0
b1,1,0.255806,1.291311,[28 37] ; [37 33],[31.2962963 33.7037037] ; [33.7037037 36.2962963],0
v4,1,0.281908,1.157867,[61  4] ; [62  8],[59.22222222  5.77777778] ; [63.77777778  6.22222222],0
p4,1,0.284364,1.146116,[37 27] ; [34 36],[33.91044776 30.08955224] ; [37.08955224 32.91044776],0
a1,1,0.287065,1.133334,[ 2 63] ; [ 5 65],[ 3.37037037 61.62962963] ; [ 3.62962963 66.37037037],0
u3,1,0.302984,1.061014,[10  6] ; [12 14],[8.38095238 7.61904762] ; [13.61904762 12.38095238],0
n2,1,0.312326,1.020814,[16  4] ; [18  9],[14.46808511  5.53191489] ; [19.53191489  7.46808511],0
s4,1,0.392904,0.729935,[16 49] ; [13 57],[13.96296296 51.03703704] ; [15.03703704 54.96296296],0
a7,1,0.451419,0.567087,[49 16] ; [48 21],[47.05223881 17.94776119] ; [49.94776119 19.05223881],0
p1,1,0.479926,0.499032,[ 5 59] ; [ 8 62],[ 6.20895522 57.79104478] ; [ 6.79104478 63.20895522],0
n1,1,0.499679,0.455619,[ 8 12] ; [13 13],[ 9.13043478 10.86956522] ; [11.86956522 14.13043478],0
u4,1,0.516213,0.421454,[ 2 63] ; [ 1 69],[ 1.44444444 63.55555556] ; [ 1.55555556 68.44444444],0
p2,1,0.549141,0.358858,[48 17] ; [54 15],[49.47761194 15.52238806] ; [52.52238806 16.47761194],0
u2,1,0.58208,0.302885,[ 6 10] ; [12 14],[6.85714286 9.14285714] ; [11.14285714 14.85714286],0
b2,1,0.592177,0.286957,[11 22] ; [ 9 24],[10. 23.] ; [10. 23.],0
b3,1,0.592177,0.286957,[11 22] ; [ 9 24],[10. 23.] ; [10. 23.],0
s3,1,0.616385,0.250981,[38 26] ; [38 31],[36.57142857 27.42857143] ; [39.42857143 29.57142857],0
b5,1,0.63715,0.222489,[44 21] ; [50 20],[45.25925926 19.74074074] ; [48.74074074 21.25925926],0
a8,1,0.652437,0.202841,[ 7 48] ; [10 54],[ 7.85714286 47.14285714] ; [ 9.14285714 54.85714286],0
p12,1,0.710196,0.138081,[ 2 63] ; [ 3 67],[ 2.40740741 62.59259259] ; [ 2.59259259 67.40740741],0
b4,1,0.747309,0.103806,[38 27] ; [39 31],[37.07407407 27.92592593] ; [39.92592593 30.07407407],0
p8,1,0.856865,0.032532,[21 43] ; [24 46],[21.49253731 42.50746269] ; [23.50746269 46.49253731],0
n5,1,0.96863,0.001547,[43 20] ; [48 22],[43.10526316 19.89473684] ; [47.89473684 22.10526316],0
