Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.644304,[59 12] ; [ 1 11],[51.3253012 19.6746988] ; [8.6746988 3.3253012],1
v4,1,3e-06,22.008093,[63  7] ; [4 8],[57.19512195 12.80487805] ; [9.80487805 2.19512195],1
r1,1,0.002714,8.990352,[58 13] ; [5 7],[53.89156627 17.10843373] ; [9.10843373 2.89156627],0
p11,1,0.014207,6.012299,[39 32] ; [ 2 10],[35.07228916 35.92771084] ; [5.92771084 6.07228916],0
n6,1,0.014459,5.981174,[52 19] ; [4 7],[48.48780488 22.51219512] ; [7.51219512 3.48780488],0
s6,1,0.016005,5.80229,[38 32] ; [ 2 10],[34.14634146 35.85365854] ; [5.85365854 6.14634146],0
s2,1,0.031516,4.624618,[28 41] ; [ 1 11],[24.7037037 44.2962963] ; [4.2962963 7.7037037],0
p7,1,0.032199,4.587851,[30 40] ; [ 1 10],[26.79012346 43.20987654] ; [4.20987654 6.79012346],0
s1,1,0.040183,4.210134,[ 2 68] ; [ 2 10],[ 3.41463415 66.58536585] ; [ 0.58536585 11.41463415],0
p4,1,0.064703,3.412546,[34 37] ; [2 9],[31.17073171 39.82926829] ; [4.82926829 6.17073171],0
s7,1,0.069219,3.301441,[24 41] ; [ 1 10],[21.38157895 43.61842105] ; [3.61842105 7.38157895],0
v2,1,0.082068,3.023471,[36 33] ; [3 9],[33.22222222 35.77777778] ; [5.77777778 6.22222222],0
n2,1,0.084695,2.972426,[15 10] ; [2 6],[12.87878788 12.12121212] ; [4.12121212 3.87878788],0
p8,1,0.092127,2.836817,[30 41] ; [ 2 10],[27.37349398 43.62650602] ; [4.62650602 7.37349398],0
v1,1,0.128882,2.305923,[28 43] ; [ 2 10],[25.6626506 45.3373494] ; [4.3373494 7.6626506],0
d4,1,0.151962,2.05244,[69  1] ; [11  1],[68.29268293  1.70731707] ; [11.70731707  0.29268293],0
a6,1,0.162514,1.950676,[50 21] ; [6 6],[47.90361446 23.09638554] ; [8.09638554 3.90361446],0
s3,1,0.164961,1.928148,[33 38] ; [3 9],[30.79518072 40.20481928] ; [5.20481928 6.79518072],0
u1,1,0.167435,1.905756,[19 52] ; [ 1 11],[17.10843373 53.89156627] ; [2.89156627 9.10843373],0
a1,1,0.17226,1.863169,[ 4 67] ; [ 2 10],[ 5.13253012 65.86746988] ; [ 0.86746988 11.13253012],0
u2,1,0.189526,1.721296,[11  7] ; [1 3],[9.81818182 8.18181818] ; [2.18181818 1.81818182],0
a2,1,0.236525,1.401187,[24 47] ; [ 2 10],[22.24096386 48.75903614] ; [3.75903614 8.24096386],0
a7,1,0.242859,1.36392,[53 18] ; [7 5],[51.3253012 19.6746988] ; [8.6746988 3.3253012],0
s5,1,0.243485,1.360304,[16 53] ; [ 1 11],[14.48148148 54.51851852] ; [2.51851852 9.48148148],0
r2,1,0.251756,1.313535,[65  6] ; [8 2],[63.98765432  7.01234568] ; [9.01234568 0.98765432],0
p1,1,0.267159,1.231274,[ 5 66] ; [ 2 10],[ 5.98795181 65.01204819] ; [ 1.01204819 10.98795181],0
s4,1,0.292677,1.107266,[ 9 59] ; [3 9],[10.2 57.8] ; [ 1.8 10.2],0
b5,1,0.299979,1.074286,[41 30] ; [5 7],[39.34939759 31.65060241] ; [6.65060241 5.34939759],0
p10,1,0.311575,1.023988,[22 49] ; [ 2 10],[20.53012048 50.46987952] ; [3.46987952 8.53012048],0
p5,1,0.343682,0.89665,[ 2 69] ; [ 1 11],[ 2.56626506 68.43373494] ; [ 0.43373494 11.56626506],0
d2,1,0.407721,0.685436,[59 12] ; [8 3],[58.01219512 12.98780488] ; [8.98780488 2.01219512],0
n4,1,0.4349,0.609701,[45 26] ; [9 3],[46.19277108 24.80722892] ; [7.80722892 4.19277108],0
u3,1,0.482016,0.494298,[13  6] ; [2 2],[12.39130435  6.60869565] ; [2.60869565 1.39130435],0
a5,1,0.48894,0.478859,[54 17] ; [8 4],[53.03614458 17.96385542] ; [8.96385542 3.03614458],0
b1,1,0.502787,0.44905,[40 31] ; [8 4],[41.06024096 29.93975904] ; [6.93975904 5.06024096],0
d5,1,0.538865,0.377648,[68  3] ; [11  1],[67.57831325  3.42168675] ; [11.42168675  0.57831325],0
b4,1,0.597192,0.279252,[47 24] ; [7 5],[46.19277108 24.80722892] ; [7.80722892 4.19277108],0
n3,1,0.603667,0.2695,[12 13] ; [3 5],[11.36363636 13.63636364] ; [3.63636364 4.36363636],0
n1,1,0.610823,0.258978,[ 7 18] ; [3 5],[ 7.57575758 17.42424242] ; [2.42424242 5.57575758],0
a3,1,0.637992,0.221379,[52 19] ; [8 4],[51.3253012 19.6746988] ; [8.6746988 3.3253012],0
b2,1,0.655306,0.199275,[12 34] ; [3 6],[12.54545455 33.45454545] ; [2.45454545 6.54545455],0
b3,1,0.655306,0.199275,[12 34] ; [3 6],[12.54545455 33.45454545] ; [2.45454545 6.54545455],0
p3,1,0.703547,0.144808,[21 48] ; [3 9],[20.44444444 48.55555556] ; [3.55555556 8.44444444],0
d3,1,0.814018,0.055341,[61 10] ; [10  2],[60.73493976 10.26506024] ; [10.26506024  1.73493976],0
v3,1,0.85534,0.033237,[19 50] ; [3 9],[18.74074074 50.25925926] ; [3.25925926 8.74074074],0
n5,1,0.969628,0.00145,[41 30] ; [7 5],[41.06024096 29.93975904] ; [6.93975904 5.06024096],0
a4,1,0.980994,0.000568,[39 32] ; [6 5],[38.96341463 32.03658537] ; [6.03658537 4.96341463],0
