Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.276852,[50 12] ; [ 2 12],[42.42105263 19.57894737] ; [9.57894737 4.42105263],1
r3,1,0.000739,11.388137,[55  7] ; [7 7],[50.57894737 11.42105263] ; [11.42105263  2.57894737],1
v4,1,0.00237,9.238039,[55  6] ; [8 6],[51.24  9.76] ; [11.76  2.24],0
d5,1,0.004818,7.946404,[39 23] ; [ 3 11],[34.26315789 27.73684211] ; [7.73684211 6.26315789],0
r1,1,0.006878,7.304562,[38 24] ; [ 3 11],[33.44736842 28.55263158] ; [7.55263158 6.44736842],0
v2,1,0.017446,5.650945,[24 35] ; [ 1 13],[20.20547945 38.79452055] ; [4.79452055 9.20547945],0
u3,1,0.017541,5.641447,[18 10] ; [1 6],[15.2 12.8] ; [3.8 3.2],0
d1,1,0.046403,3.96692,[21 41] ; [ 1 13],[17.94736842 44.05263158] ; [4.05263158 9.94736842],0
b1,1,0.059419,3.553516,[27 35] ; [10  4],[30.18421053 31.81578947] ; [6.81578947 7.18421053],0
n3,1,0.091031,2.856044,[19  8] ; [3 5],[16.97142857 10.02857143] ; [5.02857143 2.97142857],0
s5,1,0.1723,1.862814,[19 39] ; [ 2 12],[16.91666667 41.08333333] ; [4.08333333 9.91666667],0
a8,1,0.178988,1.806007,[ 3 57] ; [ 2 11],[ 4.10958904 55.89041096] ; [ 0.89041096 12.10958904],0
s6,1,0.180415,1.7942,[29 31] ; [ 4 10],[26.75675676 33.24324324] ; [6.24324324 7.75675676],0
n5,1,0.182862,1.774211,[23 38] ; [8 6],[25.21333333 35.78666667] ; [5.78666667 8.21333333],0
d2,1,0.185601,1.752194,[25 37] ; [ 3 11],[22.84210526 39.15789474] ; [5.15789474 8.84210526],0
n1,1,0.189166,1.724099,[10 17] ; [1 7],[ 8.48571429 18.51428571] ; [2.51428571 5.48571429],0
n2,1,0.238569,1.389031,[23  5] ; [5 3],[21.77777778  6.22222222] ; [6.22222222 1.77777778],0
p5,1,0.249026,1.328759,[ 1 60] ; [ 1 13],[ 1.62666667 59.37333333] ; [ 0.37333333 13.62666667],0
p11,1,0.25848,1.276882,[41 21] ; [7 7],[39.15789474 22.84210526] ; [8.84210526 5.15789474],0
a4,1,0.264367,1.245743,[23 39] ; [ 3 11],[21.21052632 40.78947368] ; [4.78947368 9.21052632],0
s8,1,0.345329,0.890546,[16 45] ; [ 2 12],[14.64 46.36] ; [ 3.36 10.64],0
v3,1,0.356492,0.850214,[10 49] ; [ 1 13],[ 8.89041096 50.10958904] ; [ 2.10958904 11.89041096],0
d4,1,0.401919,0.702576,[42 19] ; [8 6],[40.66666667 20.33333333] ; [9.33333333 4.66666667],0
s4,1,0.421676,0.645639,[15 47] ; [ 2 12],[13.86842105 48.13157895] ; [ 3.13157895 10.86842105],0
p10,1,0.447698,0.576473,[33 28] ; [6 8],[31.72 29.28] ; [7.28 6.72],0
s2,1,0.452318,0.564837,[24 37] ; [ 4 10],[22.77333333 38.22666667] ; [5.22666667 8.77333333],0
p6,1,0.459006,0.548317,[14 46] ; [ 2 12],[12.97297297 47.02702703] ; [ 3.02702703 10.97297297],0
a5,1,0.483264,0.491488,[33 29] ; [6 8],[31.81578947 30.18421053] ; [7.18421053 6.81578947],0
p3,1,0.49221,0.471691,[19 43] ; [ 3 11],[17.94736842 44.05263158] ; [4.05263158 9.94736842],0
n6,1,0.50771,0.438783,[37 25] ; [7 7],[35.89473684 26.10526316] ; [8.10526316 5.89473684],0
s3,1,0.519495,0.414896,[28 34] ; [5 9],[26.92105263 35.07894737] ; [6.07894737 7.92105263],0
s7,1,0.593512,0.284893,[14 45] ; [ 2 10],[13.29577465 45.70422535] ; [2.70422535 9.29577465],0
b4,1,0.661023,0.192283,[35 27] ; [7 7],[34.26315789 27.73684211] ; [7.73684211 6.26315789],0
a6,1,0.688607,0.160597,[23 39] ; [6 8],[23.65789474 38.34210526] ; [5.34210526 8.65789474],0
a3,1,0.697331,0.151263,[34 27] ; [7 7],[33.34666667 27.65333333] ; [7.65333333 6.34666667],0
p7,1,0.697331,0.151263,[34 27] ; [7 7],[33.34666667 27.65333333] ; [7.65333333 6.34666667],0
b5,1,0.708189,0.140092,[32 30] ; [8 6],[32.63157895 29.36842105] ; [7.36842105 6.63157895],0
v1,1,0.716642,0.131733,[25 36] ; [5 9],[24.4 36.6] ; [5.6 8.4],0
u2,1,0.735213,0.114379,[14 14] ; [4 3],[14.4 13.6] ; [3.6 3.4],0
a1,1,0.767072,0.087739,[ 6 56] ; [ 1 13],[ 5.71052632 56.28947368] ; [ 1.28947368 12.71052632],0
d3,1,0.7743,0.082228,[24 38] ; [6 8],[24.47368421 37.52631579] ; [5.52631579 8.47368421],0
p2,1,0.790561,0.070534,[33 29] ; [8 6],[33.44736842 28.55263158] ; [7.55263158 6.44736842],0
p8,1,0.803665,0.061805,[20 42] ; [5 9],[20.39473684 41.60526316] ; [4.60526316 9.39473684],0
p4,1,0.808806,0.058548,[24 37] ; [6 8],[24.4 36.6] ; [5.6 8.4],0
b2,1,0.859466,0.031348,[ 9 23] ; [2 6],[ 8.8 23.2] ; [2.2 5.8],0
b3,1,0.859466,0.031348,[ 9 23] ; [2 6],[ 8.8 23.2] ; [2.2 5.8],0
p9,1,0.866458,0.028278,[36 25] ; [8 5],[36.27027027 24.72972973] ; [7.72972973 5.27027027],0
p1,1,0.908042,0.013342,[ 5 57] ; [ 1 13],[ 4.89473684 57.10526316] ; [ 1.10526316 12.89473684],0
