Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,27.035539,[ 7 55] ; [20 12],[17.80851064 44.19148936] ; [ 9.19148936 22.80851064],1
s2,1,9e-05,15.332018,[15 47] ; [21 11],[23.74468085 38.25531915] ; [12.25531915 19.74468085],1
s6,1,0.000209,13.748088,[20 42] ; [22  8],[28.30434783 33.69565217] ; [13.69565217 16.30434783],1
p6,1,0.000383,12.615641,[ 8 50] ; [15 16],[14.98876404 43.01123596] ; [ 8.01123596 22.98876404],1
s3,1,0.000821,11.193959,[19 40] ; [22 10],[26.58241758 32.41758242] ; [14.41758242 17.58241758],1
a5,1,0.001392,10.216104,[23 39] ; [23  9],[30.34042553 31.65957447] ; [15.65957447 16.34042553],0
a3,1,0.0018,9.742951,[25 36] ; [24  8],[32.13978495 28.86021505] ; [16.86021505 15.13978495],0
p4,1,0.004974,7.889,[21 39] ; [21 11],[27.39130435 32.60869565] ; [14.60869565 17.39130435],0
n1,1,0.00527,7.784512,[ 7 18] ; [11  4],[11.25 13.75] ; [6.75 8.25],0
p3,1,0.005927,7.572403,[15 46] ; [17 15],[20.98924731 40.01075269] ; [11.01075269 20.98924731],0
v1,1,0.009544,6.718102,[15 46] ; [16 15],[20.55434783 40.44565217] ; [10.44565217 20.55434783],0
n4,1,0.016991,5.697346,[35 27] ; [26  6],[40.23404255 21.76595745] ; [20.76595745 11.23404255],0
s4,1,0.017199,5.675928,[ 7 55] ; [10 22],[11.21276596 50.78723404] ; [ 5.78723404 26.21276596],0
v3,1,0.017696,5.62601,[10 51] ; [12 19],[14.58695652 46.41304348] ; [ 7.41304348 23.58695652],0
n5,1,0.018247,5.572289,[40 22] ; [28  4],[44.85106383 17.14893617] ; [23.14893617  8.85106383],0
r3,1,0.026276,4.937747,[41 21] ; [28  4],[45.5106383 16.4893617] ; [23.4893617  8.5106383],0
r2,1,0.028272,4.811387,[40 21] ; [27  4],[44.42391304 16.57608696] ; [22.57608696  8.42391304],0
p2,1,0.028624,4.790112,[33 27] ; [25  7],[37.82608696 22.17391304] ; [20.17391304 11.82608696],0
p10,1,0.030048,4.706522,[29 31] ; [23  9],[33.91304348 26.08695652] ; [18.08695652 13.91304348],0
p9,1,0.034773,4.456277,[38 22] ; [27  5],[42.39130435 17.60869565] ; [22.60869565  9.39130435],0
d4,1,0.042091,4.131539,[31 31] ; [23  9],[35.61702128 26.38297872] ; [18.38297872 13.61702128],0
d5,1,0.042707,4.106961,[29 33] ; [22 10],[33.63829787 28.36170213] ; [17.36170213 14.63829787],0
s5,1,0.044531,4.036323,[ 9 51] ; [10 20],[12.66666667 47.33333333] ; [ 6.33333333 23.66666667],0
a4,1,0.05125,3.800075,[18 43] ; [16 16],[22.30107527 38.69892473] ; [11.69892473 20.30107527],0
p1,1,0.057265,3.614866,[ 5 57] ; [ 7 25],[ 7.91489362 54.08510638] ; [ 4.08510638 27.91489362],0
p11,1,0.077949,3.107147,[35 27] ; [24  8],[38.91489362 23.08510638] ; [20.08510638 11.91489362],0
v4,1,0.131521,2.274457,[43 19] ; [26  5],[46. 16.] ; [23.  8.],0
u3,1,0.203126,1.619753,[10 27] ; [4 4],[11.51111111 25.48888889] ; [2.48888889 5.51111111],0
u1,1,0.225516,1.468924,[ 1 61] ; [ 2 30],[ 1.9787234 60.0212766] ; [ 1.0212766 30.9787234],0
p12,1,0.231878,1.429303,[ 1 60] ; [ 2 30],[ 1.96774194 59.03225806] ; [ 1.03225806 30.96774194],0
n2,1,0.236338,1.402306,[16  9] ; [13  3],[17.68292683  7.31707317] ; [11.31707317  4.68292683],0
p7,1,0.240698,1.376503,[28 34] ; [18 13],[30.66666667 31.33333333] ; [15.33333333 15.66666667],0
d1,1,0.25728,1.283334,[18 44] ; [13 19],[20.44680851 41.55319149] ; [10.55319149 21.44680851],0
r4,1,0.302131,1.064764,[26 36] ; [17 15],[28.36170213 33.63829787] ; [14.63829787 17.36170213],0
b4,1,0.308156,1.038562,[34 28] ; [14 18],[31.65957447 30.34042553] ; [16.34042553 15.65957447],0
n3,1,0.323141,0.97619,[15 10] ; [12  4],[16.46341463  8.53658537] ; [10.53658537  5.46341463],0
u2,1,0.346577,0.885951,[12 25] ; [4 4],[13.15555556 23.84444444] ; [2.84444444 5.15555556],0
v2,1,0.35939,0.840022,[19 40] ; [13 18],[20.97777778 38.02222222] ; [11.02222222 19.97777778],0
b2,1,0.373372,0.792412,[ 9 28] ; [ 9 17],[10.57142857 26.42857143] ; [ 7.42857143 18.57142857],0
