Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000223,13.629808,[30 35] ; [33  7],[39. 26.] ; [24. 16.],1
b4,1,0.000661,11.596933,[34 31] ; [34  6],[42.0952381 22.9047619] ; [25.9047619 14.0952381],1
s4,1,0.004542,8.053329,[10 55] ; [16 24],[16.0952381 48.9047619] ; [ 9.9047619 30.0952381],0
p11,1,0.024959,5.026697,[57  8] ; [28 12],[52.61904762 12.38095238] ; [32.38095238  7.61904762],0
n3,1,0.027167,4.880174,[14  4] ; [ 7 10],[10.8  7.2] ; [10.2  6.8],0
s7,1,0.029826,4.71928,[25 38] ; [23 14],[30.24 32.76] ; [17.76 19.24],0
p6,1,0.030137,4.701466,[18 47] ; [19 20],[23.125 41.875] ; [13.875 25.125],0
b5,1,0.048773,3.883136,[45 20] ; [20 20],[40.23809524 24.76190476] ; [24.76190476 15.23809524],0
p1,1,0.060135,3.533654,[ 2 63] ; [ 5 35],[ 4.33333333 60.66666667] ; [ 2.66666667 37.33333333],0
r4,1,0.064704,3.4125,[39 26] ; [31  9],[43.33333333 21.66666667] ; [26.66666667 13.33333333],0
a1,1,0.06524,3.398908,[ 4 61] ; [ 7 33],[ 6.80952381 58.19047619] ; [ 4.19047619 35.80952381],0
p5,1,0.067497,3.342857,[ 5 59] ; [ 8 32],[ 8. 56.] ; [ 5. 35.],0
a5,1,0.079464,3.075832,[36 29] ; [29 11],[40.23809524 24.76190476] ; [24.76190476 15.23809524],0
u3,1,0.081804,3.028694,[10 16] ; [10  5],[12.68292683 13.31707317] ; [7.31707317 7.68292683],0
b2,1,0.110202,2.551318,[ 8 35] ; [ 9 16],[10.75 32.25] ; [ 6.25 18.75],0
b3,1,0.110202,2.551318,[ 8 35] ; [ 9 16],[10.75 32.25] ; [ 6.25 18.75],0
d4,1,0.131761,2.271635,[49 16] ; [35  5],[52. 13.] ; [32.  8.],0
d1,1,0.134041,2.245066,[26 39] ; [22 18],[29.71428571 35.28571429] ; [18.28571429 21.71428571],0
s3,1,0.167071,1.909029,[35 30] ; [27 13],[38.38095238 26.61904762] ; [23.61904762 16.38095238],0
a6,1,0.187219,1.739367,[41 24] ; [20 20],[37.76190476 27.23809524] ; [23.23809524 16.76190476],0
d3,1,0.234716,1.412049,[38 27] ; [28 12],[40.85714286 24.14285714] ; [25.14285714 14.85714286],0
r3,1,0.235065,1.409946,[60  5] ; [34  6],[58.19047619  6.80952381] ; [35.80952381  4.19047619],0
p2,1,0.276843,1.182524,[53 12] ; [29 11],[50.76190476 14.23809524] ; [31.23809524  8.76190476],0
v3,1,0.283221,1.151567,[24 40] ; [10 27],[21.54455446 42.45544554] ; [12.45544554 24.54455446],0
a4,1,0.293123,1.105223,[18 47] ; [15 25],[20.42857143 44.57142857] ; [12.57142857 27.42857143],0
r2,1,0.306486,1.045758,[48 15] ; [33  6],[50.02941176 12.97058824] ; [30.97058824  8.02941176],0
n4,1,0.333191,0.936455,[45 20] ; [24 16],[42.71428571 22.28571429] ; [26.28571429 13.71428571],0
p9,1,0.348787,0.877864,[52 13] ; [34  5],[53.75 11.25] ; [32.25  6.75],0
b1,1,0.411981,0.673077,[24 41] ; [18 22],[26. 39.] ; [16. 24.],0
v4,1,0.419886,0.650635,[56  8] ; [37  3],[57.23076923  6.76923077] ; [35.76923077  4.23076923],0
u2,1,0.422206,0.644168,[14 12] ; [10  5],[15.2195122 10.7804878] ; [8.7804878 6.2195122],0
a2,1,0.43469,0.610261,[ 8 57] ; [ 3 37],[ 6.80952381 58.19047619] ; [ 4.19047619 35.80952381],0
n5,1,0.459883,0.546181,[46 18] ; [26 14],[44.30769231 19.69230769] ; [27.69230769 12.30769231],0
d5,1,0.52511,0.403846,[45 20] ; [30 10],[46.42857143 18.57142857] ; [28.57142857 11.42857143],0
a8,1,0.536145,0.382732,[ 5 56] ; [ 2 38],[ 4.22772277 56.77227723] ; [ 2.77227723 37.22772277],0
p7,1,0.582309,0.302516,[39 24] ; [22 17],[37.67647059 25.32352941] ; [23.32352941 15.67647059],0
s8,1,0.614074,0.254285,[26 39] ; [18 22],[27.23809524 37.76190476] ; [16.76190476 23.23809524],0
a3,1,0.681655,0.168269,[38 27] ; [25 15],[39. 26.] ; [24. 16.],0
p3,1,0.701561,0.146853,[30 35] ; [20 20],[30.95238095 34.04761905] ; [19.04761905 20.95238095],0
u4,1,0.726311,0.122526,[ 1 64] ; [ 1 39],[ 1.23809524 63.76190476] ; [ 0.76190476 39.23809524],0
v2,1,0.746048,0.104882,[29 35] ; [18 19],[29.78217822 34.21782178] ; [17.21782178 19.78217822],0
p12,1,0.758345,0.094651,[ 6 59] ; [ 3 37],[ 5.57142857 59.42857143] ; [ 3.42857143 36.57142857],0
n2,1,0.773795,0.082607,[13  5] ; [13  4],[13.37142857  4.62857143] ; [12.62857143  4.37142857],0
d2,1,0.798723,0.065025,[26 39] ; [15 25],[25.38095238 39.61904762] ; [15.61904762 24.38095238],0
v1,1,0.838549,0.041514,[32 31] ; [19 20],[31.5 31.5] ; [19.5 19.5],0
n1,1,0.84519,0.038126,[ 8 10] ; [ 7 10],[ 7.71428571 10.28571429] ; [7.28571429 9.71428571],0
p8,1,0.905092,0.014216,[30 35] ; [18 20],[30.29126214 34.70873786] ; [17.70873786 20.29126214],0
p10,1,0.912095,0.012187,[49 15] ; [31  9],[49.23076923 14.76923077] ; [30.76923077  9.23076923],0
p4,1,0.953739,0.003365,[37 28] ; [23 17],[37.14285714 27.85714286] ; [22.85714286 17.14285714],0
a7,1,1.0,0.0,[39 26] ; [24 16],[39. 26.] ; [24. 16.],0
n6,1,1.0,0.0,[52 13] ; [32  8],[52. 13.] ; [32.  8.],0
