Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,56.00648,[63  5] ; [ 7 28],[46.21359223 21.78640777] ; [23.78640777 11.21359223],1
b1,1,0.011152,6.440922,[29 40] ; [ 6 29],[23.22115385 45.77884615] ; [11.77884615 23.22115385],0
p7,1,0.030586,4.676061,[48 20] ; [16 17],[43.08910891 24.91089109] ; [20.91089109 12.08910891],0
p4,1,0.041479,4.156326,[41 26] ; [14 21],[36.12745098 30.87254902] ; [18.87254902 16.12745098],0
b3,1,0.05192,3.778331,[20 23] ; [ 3 13],[16.76271186 26.23728814] ; [6.23728814 9.76271186],0
b2,1,0.05192,3.778331,[20 23] ; [ 3 13],[16.76271186 26.23728814] ; [6.23728814 9.76271186],0
d5,1,0.052814,3.749784,[60  9] ; [25 10],[56.39423077 12.60576923] ; [28.60576923  6.39423077],0
r4,1,0.054399,3.700399,[64  5] ; [28  7],[61.03846154  7.96153846] ; [30.96153846  4.03846154],0
v1,1,0.065604,3.389727,[44 24] ; [15 18],[39.72277228 28.27722772] ; [19.27722772 13.72277228],0
a4,1,0.083786,2.989885,[36 33] ; [12 23],[31.84615385 37.15384615] ; [16.15384615 18.84615385],0
p6,1,0.087767,2.914866,[25 42] ; [ 7 27],[21.22772277 45.77227723] ; [10.77227723 23.22772277],0
s2,1,0.092412,2.831852,[27 41] ; [20 15],[31.02912621 36.97087379] ; [15.97087379 19.02912621],0
n3,1,0.093533,2.8125,[7 1] ; [5 5],[5.33333333 2.66666667] ; [6.66666667 3.33333333],0
a3,1,0.102671,2.663558,[46 23] ; [17 17],[42.2038835 26.7961165] ; [20.7961165 13.2038835],0
p10,1,0.105673,2.617761,[58  9] ; [25  9],[55.05940594 11.94059406] ; [27.94059406  6.05940594],0
r1,1,0.110577,2.545952,[58 11] ; [24 10],[54.93203883 14.06796117] ; [27.06796117  6.93203883],0
n1,1,0.114758,2.487446,[4 3] ; [2 8],[2.47058824 4.52941176] ; [3.52941176 6.47058824],0
r3,1,0.129447,2.29912,[60  8] ; [34  1],[62.05825243  5.94174757] ; [31.94174757  3.05825243],0
s3,1,0.139761,2.180594,[29 38] ; [20 14],[32.5049505 34.4950495] ; [16.4950495 17.5049505],0
s6,1,0.158711,1.986462,[44 22] ; [28  7],[47.04950495 18.95049505] ; [24.95049505 10.04950495],0
p8,1,0.162938,1.946743,[39 29] ; [15 20],[35.65048544 32.34951456] ; [18.34951456 16.65048544],0
a1,1,0.173255,1.85455,[ 3 66] ; [ 4 31],[ 4.64423077 64.35576923] ; [ 2.35576923 32.64423077],0
n6,1,0.17339,1.853387,[61  7] ; [28  7],[58.75728155  9.24271845] ; [30.24271845  4.75728155],0
d2,1,0.187826,1.734586,[36 31] ; [14 21],[32.84313725 34.15686275] ; [17.15686275 17.84313725],0
p1,1,0.192288,1.7,[10 58] ; [ 2 32],[ 8. 60.] ; [ 4. 30.],0
u2,1,0.250616,1.319865,[10 12] ; [ 5 13],[ 8.25 13.75] ; [ 6.75 11.25],0
v3,1,0.266155,1.236454,[23 44] ; [ 8 26],[20.56435644 46.43564356] ; [10.43564356 23.56435644],0
a5,1,0.280899,1.162733,[54 15] ; [24 11],[51.75 17.25] ; [26.25  8.75],0
p11,1,0.31775,0.998185,[57 12] ; [26  9],[55.06730769 13.93269231] ; [27.93269231  7.06730769],0
s4,1,0.335577,0.927254,[10 56] ; [ 8 27],[11.76237624 54.23762376] ; [ 6.23762376 28.76237624],0
b4,1,0.340558,0.908331,[46 23] ; [20 15],[43.78846154 25.21153846] ; [22.21153846 12.78846154],0
p5,1,0.347558,0.882353,[13 55] ; [ 4 30],[11.33333333 56.66666667] ; [ 5.66666667 28.33333333],0
