Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,8.7e-05,15.397296,[ 2 31] ; [20 22],[ 9.68 23.32] ; [12.32 29.68],1
r1,1,0.001135,10.592886,[12 21] ; [31 11],[18.92 14.08] ; [24.08 17.92],0
v4,1,0.002887,8.877368,[19 12] ; [38  4],[24.20547945  6.79452055] ; [32.79452055  9.20547945],0
v2,1,0.003731,8.410177,[ 4 26] ; [18 21],[ 9.56521739 20.43478261] ; [12.43478261 26.56521739],0
a6,1,0.004128,8.226496,[11 22] ; [28 14],[17.16 15.84] ; [21.84 20.16],0
s7,1,0.006307,7.460526,[ 4 28] ; [16 22],[ 9.14285714 22.85714286] ; [10.85714286 27.14285714],0
r3,1,0.007457,7.159552,[19 14] ; [35  6],[24.08108108  8.91891892] ; [29.91891892 11.08108108],0
r4,1,0.010226,6.595055,[13 20] ; [29 13],[18.48 14.52] ; [23.52 18.48],0
s8,1,0.012805,6.195833,[ 3 30] ; [14 28],[ 7.48 25.52] ; [ 9.52 32.48],0
a7,1,0.01628,5.772353,[12 21] ; [27 15],[17.16 15.84] ; [21.84 20.16],0
d3,1,0.020656,5.355623,[12 21] ; [26 15],[16.94594595 16.05405405] ; [21.05405405 19.94594595],0
p2,1,0.025821,4.967991,[17 16] ; [32 10],[21.56 11.44] ; [27.44 14.56],0
p8,1,0.033037,4.543881,[ 7 26] ; [18 22],[11.30136986 21.69863014] ; [13.69863014 26.30136986],0
p4,1,0.033662,4.511814,[ 5 27] ; [16 26],[ 9.08108108 22.91891892] ; [11.91891892 30.08108108],0
d4,1,0.037681,4.319363,[17 15] ; [32 10],[21.18918919 10.81081081] ; [27.81081081 14.18918919],0
s5,1,0.053489,3.728571,[ 3 29] ; [11 29],[ 6.22222222 25.77777778] ; [ 7.77777778 32.22222222],0
s6,1,0.06987,3.286069,[10 23] ; [21 20],[13.82432432 19.17567568] ; [17.17567568 23.82432432],0
p6,1,0.08198,3.02521,[ 6 26] ; [15 25],[ 9.33333333 22.66666667] ; [11.66666667 28.33333333],0
u2,1,0.09387,2.80673,[11 10] ; [19  6],[13.69565217  7.30434783] ; [16.30434783  8.69565217],0
b4,1,0.102927,2.659597,[15 18] ; [27 15],[18.48 14.52] ; [23.52 18.48],0
n5,1,0.120538,2.410312,[18 14] ; [16 26],[14.7027027 17.2972973] ; [19.2972973 22.7027027],0
s2,1,0.162797,1.948052,[ 9 24] ; [18 24],[11.88 21.12] ; [15.12 26.88],0
a8,1,0.196338,1.669409,[ 3 29] ; [ 1 40],[ 1.75342466 30.24657534] ; [ 2.24657534 38.75342466],0
s4,1,0.206852,1.59332,[ 6 27] ; [13 29],[ 8.36 24.64] ; [10.64 31.36],0
u3,1,0.220691,1.499875,[10 11] ; [17  9],[12.06382979  8.93617021] ; [14.93617021 11.06382979],0
r2,1,0.235538,1.407103,[23  9] ; [35  7],[25.08108108  6.91891892] ; [32.91891892  9.08108108],0
p10,1,0.266715,1.233566,[15 17] ; [24 16],[17.33333333 14.66666667] ; [21.66666667 18.33333333],0
v3,1,0.278855,1.17266,[ 3 30] ; [ 7 32],[ 4.58333333 28.41666667] ; [ 5.41666667 33.58333333],0
b3,1,0.292407,1.108504,[ 7 14] ; [ 4 17],[ 5.5 15.5] ; [ 5.5 15.5],0
b2,1,0.292407,1.108504,[ 7 14] ; [ 4 17],[ 5.5 15.5] ; [ 5.5 15.5],0
b5,1,0.392715,0.730519,[18 15] ; [27 15],[19.8 13.2] ; [25.2 16.8],0
u1,1,0.419539,0.651605,[ 2 31] ; [ 1 41],[ 1.32 31.68] ; [ 1.68 40.32],0
p9,1,0.449177,0.572727,[18 14] ; [26 14],[19.55555556 12.44444444] ; [24.44444444 15.55555556],0
a4,1,0.456589,0.554244,[ 5 28] ; [ 4 38],[ 3.96 29.04] ; [ 5.04 36.96],0
v1,1,0.473494,0.513811,[11 22] ; [17 24],[12.48648649 20.51351351] ; [15.51351351 25.48648649],0
p3,1,0.554821,0.348751,[ 6 27] ; [10 32],[ 7.04 25.96] ; [ 8.96 33.04],0
d2,1,0.554821,0.348751,[ 6 27] ; [10 32],[ 7.04 25.96] ; [ 8.96 33.04],0
p1,1,0.583164,0.301148,[ 2 31] ; [ 4 38],[ 2.64 30.36] ; [ 3.36 38.64],0
n2,1,0.604773,0.267857,[10  4] ; [10  6],[9.33333333 4.66666667] ; [10.66666667  5.33333333],0
n1,1,0.765087,0.089286,[6 8] ; [ 6 10],[5.6 8.4] ; [6.4 9.6],0
p7,1,0.782441,0.076253,[14 16] ; [20 20],[14.57142857 15.42857143] ; [19.42857143 20.57142857],0
s3,1,0.815089,0.054693,[16 17] ; [21 20],[16.5 16.5] ; [20.5 20.5],0
s1,1,0.842908,0.039273,[ 2 31] ; [ 2 38],[ 1.80821918 31.19178082] ; [ 2.19178082 37.80821918],0
p5,1,0.862442,0.030021,[ 1 32] ; [ 1 41],[ 0.88 32.12] ; [ 1.12 40.88],0
a3,1,0.87769,0.023685,[12 21] ; [16 26],[12.32 20.68] ; [15.68 26.32],0
b1,1,0.896345,0.016973,[17 16] ; [21 21],[16.72 16.28] ; [21.28 20.72],0
p11,1,0.896345,0.016973,[16 17] ; [21 21],[16.28 16.72] ; [20.72 21.28],0
n4,1,0.908729,0.013143,[13 20] ; [16 26],[12.76 20.24] ; [16.24 25.76],0
n3,1,0.919347,0.010253,[9 5] ; [10  6],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
