Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,6e-06,20.554243,[27 16] ; [ 4 30],[17.31168831 25.68831169] ; [13.68831169 20.31168831],1
d3,1,1.1e-05,19.288488,[38  5] ; [14 20],[29.03896104 13.96103896] ; [22.96103896 11.03896104],1
a2,1,0.019712,5.437259,[ 9 34] ; [ 1 33],[ 5.58441558 37.41558442] ; [ 4.41558442 29.58441558],0
a4,1,0.022734,5.18875,[18 25] ; [ 6 28],[13.4025974 29.5974026] ; [10.5974026 23.4025974],0
b1,1,0.046322,3.969854,[18 25] ; [22 12],[22.33766234 20.66233766] ; [17.66233766 16.33766234],0
s6,1,0.048609,3.888792,[28 14] ; [15 19],[23.76315789 18.23684211] ; [19.23684211 14.76315789],0
r2,1,0.075206,3.165584,[39  3] ; [26  7],[36.4  5.6] ; [28.6  4.4],0
s3,1,0.090452,2.866309,[23 19] ; [12 22],[19.34210526 22.65789474] ; [15.65789474 18.34210526],0
n3,1,0.098543,2.728968,[9 5] ; [11  1],[10.76923077  3.23076923] ; [9.23076923 2.76923077],0
b5,1,0.111839,2.528044,[28 15] ; [16 18],[24.57142857 18.42857143] ; [19.42857143 14.57142857],0
a8,1,0.117484,2.450549,[ 1 36] ; [ 4 28],[ 2.68115942 34.31884058] ; [ 2.31884058 29.68115942],0
u2,1,0.133696,2.249053,[10  1] ; [5 3],[8.68421053 2.31578947] ; [6.31578947 1.68421053],0
a7,1,0.146717,2.106055,[32 11] ; [20 14],[29.03896104 13.96103896] ; [22.96103896 11.03896104],0
u1,1,0.157916,1.994074,[ 5 38] ; [ 1 33],[ 3.35064935 39.64935065] ; [ 2.64935065 31.35064935],0
r3,1,0.190482,1.713883,[42  1] ; [30  3],[40.73684211  2.26315789] ; [31.26315789  1.73684211],0
p8,1,0.229712,1.442642,[15 25] ; [17 16],[17.53424658 22.46575342] ; [14.46575342 18.53424658],0
p1,1,0.247526,1.337213,[ 2 41] ; [ 4 30],[ 3.35064935 39.64935065] ; [ 2.64935065 31.35064935],0
p11,1,0.259477,1.271546,[25 18] ; [24 10],[27.36363636 15.63636364] ; [21.63636364 12.36363636],0
n2,1,0.275017,1.19155,[9 5] ; [10  2],[10.23076923  3.76923077] ; [8.76923077 3.23076923],0
r1,1,0.290646,1.116627,[34  8] ; [24 10],[32.05263158  9.94736842] ; [25.94736842  8.05263158],0
p2,1,0.301834,1.066073,[31 10] ; [22 12],[28.97333333 12.02666667] ; [24.02666667  9.97333333],0
u3,1,0.310596,1.028139,[8 3] ; [4 4],[6.94736842 4.05263158] ; [5.05263158 2.94736842],0
