Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,23.640619,[42 26] ; [ 1 23],[31.7826087 36.2173913] ; [11.2173913 12.7826087],1
v4,1,0.000398,12.539297,[64  4] ; [15  8],[59.03296703  8.96703297] ; [19.96703297  3.03296703],1
r1,1,0.000453,12.301794,[50 18] ; [ 8 16],[42.86956522 25.13043478] ; [15.13043478  8.86956522],1
d4,1,0.000534,11.99253,[59  9] ; [12 11],[53.05494505 14.94505495] ; [17.94505495  5.05494505],1
d3,1,0.001551,10.016905,[47 20] ; [ 8 16],[40.49450549 26.50549451] ; [14.50549451  9.49450549],0
r4,1,0.001766,9.778031,[52 16] ; [10 14],[45.82608696 22.17391304] ; [16.17391304  7.82608696],0
s6,1,0.001823,9.720211,[41 25] ; [ 6 18],[34.46666667 31.53333333] ; [12.53333333 11.46666667],0
r2,1,0.004053,8.259714,[62  6] ; [16  8],[57.65217391 10.34782609] ; [20.34782609  3.65217391],0
r3,1,0.00584,7.599033,[59  8] ; [15  9],[54.48351648 12.51648352] ; [19.51648352  4.48351648],0
v2,1,0.011157,6.440151,[30 33] ; [ 4 19],[24.90697674 38.09302326] ; [ 9.09302326 13.90697674],0
a6,1,0.011283,6.42027,[43 25] ; [ 8 16],[37.69565217 30.30434783] ; [13.30434783 10.69565217],0
a7,1,0.015394,5.870798,[52 16] ; [12 12],[47.30434783 20.69565217] ; [16.69565217  7.30434783],0
s5,1,0.02703,4.888889,[20 44] ; [ 2 22],[16. 48.] ; [ 6. 18.],0
p7,1,0.032284,4.583333,[22 44] ; [14 10],[26.4 39.6] ; [ 9.6 14.4],0
a5,1,0.042992,4.095712,[39 29] ; [ 8 16],[34.73913043 33.26086957] ; [12.26086957 11.73913043],0
u3,1,0.08018,3.061259,[17  8] ; [5 8],[14.47368421 10.52631579] ; [7.52631579 5.47368421],0
a4,1,0.095134,2.785274,[27 41] ; [ 5 19],[23.65217391 44.34782609] ; [ 8.34782609 15.65217391],0
n2,1,0.095188,2.784375,[15 17] ; [9 3],[17.45454545 14.54545455] ; [6.54545455 5.45454545],0
s8,1,0.119476,2.424175,[19 48] ; [ 3 21],[16.1978022 50.8021978] ; [ 5.8021978 18.1978022],0
a3,1,0.125544,2.34676,[42 26] ; [10 13],[38.85714286 29.14285714] ; [13.14285714  9.85714286],0
d2,1,0.12728,2.325374,[32 36] ; [ 7 17],[28.82608696 39.17391304] ; [10.17391304 13.82608696],0
p2,1,0.142024,2.155887,[33 34] ; [16  8],[36.07692308 30.92307692] ; [12.92307692 11.07692308],0
s7,1,0.151627,2.055801,[20 40] ; [ 4 19],[17.34939759 42.65060241] ; [ 6.65060241 16.34939759],0
s4,1,0.178333,1.81146,[21 47] ; [ 4 20],[18.47826087 49.52173913] ; [ 6.52173913 17.47826087],0
b5,1,0.186126,1.748019,[47 21] ; [13 11],[44.34782609 23.65217391] ; [15.65217391  8.34782609],0
b4,1,0.219218,1.509483,[41 27] ; [11 13],[38.43478261 29.56521739] ; [13.56521739 10.43478261],0
u1,1,0.281392,1.160354,[ 8 60] ; [ 1 23],[ 6.65217391 61.34782609] ; [ 2.34782609 21.65217391],0
n5,1,0.289737,1.120841,[15 52] ; [ 8 16],[16.93406593 50.06593407] ; [ 6.06593407 17.93406593],0
s2,1,0.296271,1.090906,[31 37] ; [ 8 16],[28.82608696 39.17391304] ; [10.17391304 13.82608696],0
b1,1,0.342256,0.901961,[32 36] ; [14 10],[34. 34.] ; [12. 12.],0
n3,1,0.343132,0.898693,[21 11] ; [6 6],[19.63636364 12.36363636] ; [7.36363636 4.63636364],0
p1,1,0.351116,0.869421,[ 7 60] ; [ 1 23],[ 5.89010989 61.10989011] ; [ 2.10989011 21.89010989],0
v3,1,0.387051,0.748188,[16 47] ; [ 4 20],[14.48275862 48.51724138] ; [ 5.51724138 18.48275862],0
p8,1,0.406926,0.687764,[17 49] ; [ 8 15],[18.53932584 47.46067416] ; [ 6.46067416 16.53932584],0
s1,1,0.454588,0.559187,[ 5 62] ; [ 3 21],[ 5.89010989 61.10989011] ; [ 2.10989011 21.89010989],0
s3,1,0.469499,0.523154,[31 37] ; [13 11],[32.52173913 35.47826087] ; [11.47826087 12.52173913],0
p6,1,0.504941,0.444537,[12 53] ; [ 3 21],[10.95505618 54.04494382] ; [ 4.04494382 19.95505618],0
b3,1,0.51439,0.425128,[ 9 23] ; [2 9],[ 8.18604651 23.81395349] ; [2.81395349 8.18604651],0
b2,1,0.51439,0.425128,[ 9 23] ; [2 9],[ 8.18604651 23.81395349] ; [2.81395349 8.18604651],0
p4,1,0.547578,0.361674,[26 41] ; [11 13],[27.24175824 39.75824176] ; [ 9.75824176 14.24175824],0
n1,1,0.556901,0.345098,[ 8 24] ; [ 2 10],[ 7.27272727 24.72727273] ; [2.72727273 9.27272727],0
u2,1,0.732396,0.116923,[13 12] ; [6 7],[12.5 12.5] ; [6.5 6.5],0
v1,1,0.776271,0.080759,[24 43] ; [ 9 14],[24.56666667 42.43333333] ; [ 8.43333333 14.56666667],0
