Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.4e-05,17.196026,[22 45] ; [37 15],[33.21848739 33.78151261] ; [25.78151261 26.21848739],1
a8,1,7e-05,15.801521,[ 1 61] ; [13 35],[ 7.89090909 54.10909091] ; [ 6.10909091 41.89090909],1
n1,1,0.003098,8.748818,[ 3 19] ; [9 6],[ 7.13513514 14.86486486] ; [ 4.86486486 10.13513514],0
p7,1,0.014075,6.028708,[25 39] ; [30 18],[31.42857143 32.57142857] ; [23.57142857 24.42857143],0
d4,1,0.016747,5.722664,[60  7] ; [37 14],[55.07627119 11.92372881] ; [41.92372881  9.07627119],0
a3,1,0.031001,4.652897,[40 27] ; [40 11],[45.42372881 21.57627119] ; [34.57627119 16.42372881],0
d1,1,0.08519,2.962992,[39 28] ; [22 30],[34.34453782 32.65546218] ; [26.65546218 25.34453782],0
s3,1,0.092304,2.833728,[27 40] ; [28 22],[31.4957265 35.5042735] ; [23.5042735 26.4957265],0
a6,1,0.119434,2.424734,[50 17] ; [44  7],[53.37288136 13.62711864] ; [40.62711864 10.37288136],0
n2,1,0.119551,2.423188,[11 11] ; [12  4],[13.31578947  8.68421053] ; [9.68421053 6.31578947],0
a4,1,0.138918,2.189899,[22 45] ; [24 28],[25.89915966 41.10084034] ; [20.10084034 31.89915966],0
d3,1,0.183848,1.76624,[54 13] ; [35 15],[50.96581197 16.03418803] ; [38.03418803 11.96581197],0
p3,1,0.188313,1.730769,[25 40] ; [14 38],[21.66666667 43.33333333] ; [17.33333333 34.66666667],0
v3,1,0.20053,1.638512,[15 50] ; [16 31],[17.99107143 47.00892857] ; [13.00892857 33.99107143],0
p2,1,0.216755,1.525726,[50 16] ; [34 18],[46.98305085 19.01694915] ; [37.01694915 14.98305085],0
b4,1,0.222039,1.491145,[41 26] ; [26 26],[37.72268908 29.27731092] ; [29.27731092 22.72268908],0
d5,1,0.234508,1.413311,[57 10] ; [39 12],[54.50847458 12.49152542] ; [41.49152542  9.50847458],0
p11,1,0.240022,1.380463,[34 33] ; [32 20],[37.15966387 29.84033613] ; [28.84033613 23.15966387],0
