Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,40.172308,[ 9 41] ; [42 10],[25. 25.] ; [26. 26.],1
d3,1,0.0,26.84538,[10 40] ; [37 15],[23.03921569 26.96078431] ; [23.96078431 28.03921569],1
d5,1,2.6e-05,17.695984,[33 17] ; [50  1],[41.08910891  8.91089109] ; [41.91089109  9.08910891],1
a4,1,0.000202,13.809806,[10 40] ; [29 23],[19.11764706 30.88235294] ; [19.88235294 32.11764706],1
n4,1,0.003257,8.65742,[40 10] ; [51  1],[44.60784314  5.39215686] ; [46.39215686  5.60784314],0
p9,1,0.004389,8.115413,[35 15] ; [47  4],[40.59405941  9.40594059] ; [41.40594059  9.59405941],0
p7,1,0.015481,5.860867,[31 19] ; [41  8],[36.36363636 13.63636364] ; [35.63636364 13.36363636],0
b1,1,0.016407,5.758743,[17 33] ; [30 22],[23.03921569 26.96078431] ; [23.96078431 28.03921569],0
n2,1,0.016827,5.714286,[13  1] ; [5 5],[10.5  3.5] ; [7.5 2.5],0
p8,1,0.024121,5.085881,[22 28] ; [32 16],[27.55102041 22.44897959] ; [26.44897959 21.55102041],0
p4,1,0.029135,4.759615,[25 25] ; [35 14],[30.3030303 19.6969697] ; [29.6969697 19.3030303],0
p5,1,0.04197,4.136422,[ 5 45] ; [13 38],[ 8.91089109 41.08910891] ; [ 9.08910891 41.91089109],0
v4,1,0.044183,4.049559,[44  6] ; [51  1],[46.56862745  3.43137255] ; [48.43137255  3.56862745],0
p10,1,0.0455,4.0,[36 14] ; [44  6],[40. 10.] ; [40. 10.],0
a5,1,0.047971,3.911006,[34 16] ; [44  8],[38.23529412 11.76470588] ; [39.76470588 12.23529412],0
p6,1,0.05332,3.73387,[15 35] ; [24 25],[19.6969697 30.3030303] ; [19.3030303 29.6969697],0
a3,1,0.069475,3.295385,[36 14] ; [45  7],[39.70588235 10.29411765] ; [41.29411765 10.70588235],0
p2,1,0.085687,2.953586,[36 14] ; [43  7],[39.5 10.5] ; [39.5 10.5],0
s5,1,0.087048,2.928138,[14 35] ; [23 28],[18.13 30.87] ; [18.87 32.13],0
s4,1,0.12151,2.397753,[ 5 45] ; [11 41],[ 7.84313725 42.15686275] ; [ 8.15686275 43.84313725],0
v1,1,0.134038,2.245108,[29 19] ; [38 13],[32.48484848 15.51515152] ; [34.51515152 16.48484848],0
n6,1,0.218634,1.513314,[41  9] ; [47  5],[43.1372549  6.8627451] ; [44.8627451  7.1372549],0
p3,1,0.224114,1.477833,[26 24] ; [32 18],[29. 21.] ; [29. 21.],0
b5,1,0.24126,1.373216,[24 26] ; [19 33],[21.07843137 28.92156863] ; [21.92156863 30.07843137],0
u1,1,0.262123,1.257508,[ 2 48] ; [ 5 47],[ 3.43137255 46.56862745] ; [ 3.56862745 48.43137255],0
p11,1,0.296602,1.089408,[36 14] ; [42 10],[38.23529412 11.76470588] ; [39.76470588 12.23529412],0
n1,1,0.327187,0.96,[7 7] ; [3 7],[5.83333333 8.16666667] ; [4.16666667 5.83333333],0
s8,1,0.331818,0.941792,[28 22] ; [34 18],[30.39215686 19.60784314] ; [31.60784314 20.39215686],0
a8,1,0.355289,0.854475,[ 7 42] ; [ 4 44],[ 5.55670103 43.44329897] ; [ 5.44329897 42.55670103],0
n5,1,0.356986,0.848467,[41  9] ; [46  6],[42.64705882  7.35294118] ; [44.35294118  7.64705882],0
a1,1,0.374022,0.790259,[ 4 46] ; [ 7 45],[ 5.39215686 44.60784314] ; [ 5.60784314 46.39215686],0
s7,1,0.445632,0.581738,[29 20] ; [32 16],[30.81443299 18.18556701] ; [30.18556701 17.81443299],0
b2,1,0.45719,0.552766,[18 17] ; [14 19],[16.47058824 18.52941176] ; [15.52941176 17.47058824],0
b3,1,0.45719,0.552766,[18 17] ; [14 19],[16.47058824 18.52941176] ; [15.52941176 17.47058824],0
s3,1,0.463391,0.537693,[32 18] ; [29 22],[30.1980198 19.8019802] ; [30.8019802 20.1980198],0
r4,1,0.512735,0.428482,[42  8] ; [46  6],[43.1372549  6.8627451] ; [44.8627451  7.1372549],0
a6,1,0.569922,0.322813,[22 28] ; [20 32],[20.58823529 29.41176471] ; [21.41176471 30.58823529],0
s1,1,0.614506,0.253665,[ 3 47] ; [ 2 50],[ 2.45098039 47.54901961] ; [ 2.54901961 49.45098039],0
s6,1,0.627875,0.234953,[32 16] ; [37 15],[33.12 14.88] ; [35.88 16.12],0
p12,1,0.646355,0.210526,[ 3 47] ; [ 2 48],[ 2.5 47.5] ; [ 2.5 47.5],0
a2,1,0.679083,0.171159,[ 2 48] ; [ 3 49],[ 2.45098039 47.54901961] ; [ 2.54901961 49.45098039],0
r3,1,0.681239,0.168734,[45  5] ; [48  4],[45.58823529  4.41176471] ; [47.41176471  4.58823529],0
r1,1,0.705653,0.142657,[40 10] ; [40 12],[39.21568627 10.78431373] ; [40.78431373 11.21568627],0
v2,1,0.726079,0.122742,[33 16] ; [36 15],[33.81 15.19] ; [35.19 15.81],0
p1,1,0.735399,0.114212,[ 3 47] ; [ 4 48],[ 3.43137255 46.56862745] ; [ 3.56862745 48.43137255],0
u3,1,0.743421,0.107143,[5 9] ; [2 5],[4.66666667 9.33333333] ; [2.33333333 4.66666667],0
r2,1,0.750609,0.10102,[45  5] ; [45  4],[45.45454545  4.54545455] ; [44.54545455  4.45454545],0
u2,1,0.757354,0.095455,[7 7] ; [4 3],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
n3,1,0.768589,0.086566,[10  3] ; [9 2],[10.29166667  2.70833333] ; [8.70833333 2.29166667],0
b4,1,0.851865,0.034872,[26 24] ; [28 24],[26.47058824 23.52941176] ; [27.52941176 24.47058824],0
s2,1,0.974904,0.00099,[29 21] ; [30 22],[28.92156863 21.07843137] ; [30.07843137 21.92156863],0
