Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,36.22481,[96 24] ; [119 134],[69.1689008 50.8310992] ; [145.8310992 107.1689008],1
p7,1,0.0,33.139092,[102  16] ; [141 111],[77.4972973 40.5027027] ; [165.5027027  86.4972973],1
p8,1,1.1e-05,19.372307,[85 33] ; [119 131],[65.41304348 52.58695652] ; [138.58695652 111.41304348],1
p3,1,0.000183,13.99337,[73 47] ; [102 152],[56.14973262 63.85026738] ; [118.85026738 135.14973262],1
n4,1,0.000331,12.88588,[103  17] ; [173  80],[88.79356568 31.20643432] ; [187.20643432  65.79356568],1
s7,1,0.00223,9.349638,[42 70] ; [ 53 188],[30.14164306 81.85835694] ; [ 64.85835694 176.14164306],0
p1,1,0.002744,8.970358,[ 17 103] ; [ 13 240],[  9.65147453 110.34852547] ; [ 20.34852547 232.65147453],0
s8,1,0.003606,8.472118,[41 79] ; [ 51 201],[29.67741935 90.32258065] ; [ 62.32258065 189.67741935],0
a1,1,0.008576,6.909007,[  6 114] ; [  2 252],[  2.56684492 117.43315508] ; [  5.43315508 248.56684492],0
n5,1,0.010003,6.634356,[94 25] ; [166  86],[83.39622642 35.60377358] ; [176.60377358  75.39622642],0
v3,1,0.010102,6.616887,[51 69] ; [ 71 174],[40.10958904 79.89041096] ; [ 81.89041096 163.10958904],0
p5,1,0.022986,5.169568,[ 18 102] ; [ 19 235],[ 11.87165775 108.12834225] ; [ 25.12834225 228.87165775],0
v1,1,0.048123,3.905679,[71 49] ; [119 128],[62.1253406 57.8746594] ; [127.8746594 119.1253406],0
u1,1,0.063699,3.438359,[21 99] ; [ 27 227],[ 15.40106952 104.59893048] ; [ 32.59893048 221.40106952],0
d1,1,0.065263,3.398326,[68 52] ; [118 136],[59.67914439 60.32085561] ; [126.32085561 127.67914439],0
n6,1,0.066566,3.365727,[104  16] ; [200  54],[97.54010695 22.45989305] ; [206.45989305  47.54010695],0
b3,1,0.072799,3.218752,[33 44] ; [43 97],[26.96774194 50.03225806] ; [49.03225806 90.96774194],0
b2,1,0.072799,3.218752,[33 44] ; [43 97],[26.96774194 50.03225806] ; [49.03225806 90.96774194],0
p10,1,0.08722,2.924955,[98 19] ; [192  61],[91.7027027 25.2972973] ; [198.2972973  54.7027027],0
p12,1,0.114046,2.497234,[  8 110] ; [  8 243],[  5.11653117 112.88346883] ; [ 10.88346883 240.11653117],0
r4,1,0.14496,2.124504,[109  11] ; [217  37],[104.59893048  15.40106952] ; [221.40106952  32.59893048],0
p9,1,0.165917,1.91945,[104  15] ; [205  46],[99.38108108 19.61891892] ; [209.61891892  41.38108108],0
