Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5e-06,21.019522,[ 15 149] ; [31 68],[ 28.68441065 135.31558935] ; [17.31558935 81.68441065],1
s7,1,0.000162,14.223071,[ 22 131] ; [34 64],[ 34.13545817 118.86454183] ; [21.86454183 76.13545817],1
v1,1,0.000245,13.449076,[ 44 117] ; [48 48],[ 57.63424125 103.36575875] ; [34.36575875 61.63424125],1
p9,1,0.000718,11.442278,[89 70] ; [76 23],[101.68604651  57.31395349] ; [63.31395349 35.68604651],1
p10,1,0.000855,11.118162,[81 81] ; [69 28],[93.82239382 68.17760618] ; [56.17760618 40.82239382],1
s5,1,0.001106,10.641871,[ 16 142] ; [25 73],[ 25.3046875 132.6953125] ; [15.6953125 82.3046875],0
r1,1,0.00113,10.601976,[96 67] ; [77 21],[108.04214559  54.95785441] ; [64.95785441 33.04214559],0
p4,1,0.002021,9.530344,[ 40 123] ; [42 56],[ 51.21072797 111.78927203] ; [30.78927203 67.21072797],0
n6,1,0.00356,8.495592,[106  57] ; [81 18],[116.33969466  46.66030534] ; [70.66030534 28.33969466],0
r4,1,0.005279,7.781318,[108  56] ; [81 18],[117.85551331  46.14448669] ; [71.14448669 27.85551331],0
v2,1,0.008279,6.972008,[58 98] ; [52 44],[68.0952381 87.9047619] ; [41.9047619 54.0952381],0
s3,1,0.008737,6.875888,[ 29 134] ; [31 66],[ 37.61538462 125.38461538] ; [22.38461538 74.61538462],0
v4,1,0.009067,6.809663,[126  35] ; [89  9],[133.64864865  27.35135135] ; [81.35135135 16.64864865],0
v3,1,0.010846,6.49039,[ 36 121] ; [37 61],[ 44.94509804 112.05490196] ; [28.05490196 69.94509804],0
p3,1,0.011905,6.324966,[ 35 128] ; [35 63],[ 43.7164751 119.2835249] ; [26.2835249 71.7164751],0
n5,1,0.014975,5.919452,[93 68] ; [72 27],[102.17307692  58.82692308] ; [62.82692308 36.17307692],0
r3,1,0.015241,5.888359,[128  33] ; [90  9],[134.99230769  26.00769231] ; [83.00769231 15.99230769],0
p2,1,0.016489,5.749944,[94 69] ; [71 27],[103.04597701  59.95402299] ; [61.95402299 36.04597701],0
d3,1,0.030696,4.669895,[90 73] ; [68 31],[98.29770992 64.70229008] ; [59.70229008 39.29770992],0
n4,1,0.034577,4.465963,[103  60] ; [75 24],[110.74045802  52.25954198] ; [67.25954198 31.74045802],0
u1,1,0.035372,4.427138,[ 14 150] ; [17 82],[ 19.33079848 144.66920152] ; [11.66920152 87.33079848],0
b5,1,0.055991,3.652334,[88 76] ; [65 34],[95.40684411 68.59315589] ; [57.59315589 41.40684411],0
p5,1,0.06251,3.469518,[  6 158] ; [ 9 89],[  9.38931298 154.61068702] ; [ 5.61068702 92.38931298],0
p12,1,0.062769,3.462666,[  2 161] ; [ 5 94],[  4.35496183 158.64503817] ; [ 2.64503817 96.35496183],0
b4,1,0.077442,3.117793,[93 71] ; [67 32],[99.77186312 64.22813688] ; [60.22813688 38.77186312],0
u3,1,0.08586,2.95033,[23 33] ; [23 16],[27.11578947 28.88421053] ; [18.88421053 20.11578947],0
s4,1,0.095341,2.781801,[ 13 151] ; [14 83],[ 16.96551724 147.03448276] ; [10.03448276 86.96551724],0
p7,1,0.125475,2.347611,[ 50 112] ; [39 58],[ 55.66795367 106.33204633] ; [33.33204633 63.66795367],0
p11,1,0.12694,2.329534,[99 65] ; [69 30],[104.76045627  59.23954373] ; [63.23954373 35.76045627],0
r2,1,0.137865,2.201623,[133  27] ; [88 10],[137.05426357  22.94573643] ; [83.94573643 14.05426357],0
d5,1,0.140253,2.175176,[112  52] ; [76 23],[117.23193916  46.76806084] ; [70.76806084 28.23193916],0
a7,1,0.181933,1.781761,[98 64] ; [68 31],[103.03448276  58.96551724] ; [62.96551724 36.03448276],0
p6,1,0.245286,1.349954,[ 21 140] ; [18 80],[ 24.24324324 136.75675676] ; [14.75675676 83.24324324],0
d4,1,0.270279,1.215331,[116  46] ; [77 22],[119.79310345  42.20689655] ; [73.20689655 25.79310345],0
a2,1,0.271786,1.207713,[ 26 138] ; [21 78],[ 29.30798479 134.69201521] ; [17.69201521 81.30798479],0
s1,1,0.282276,1.156099,[  5 157] ; [ 1 97],[  3.73846154 158.26153846] ; [ 2.26153846 95.73846154],0
a3,1,0.321193,0.98408,[108  54] ; [60 39],[104.27586207  57.72413793] ; [63.72413793 35.27586207],0
b1,1,0.34449,0.893651,[71 93] ; [37 62],[67.3460076 96.6539924] ; [40.6539924 58.3460076],0
a8,1,0.365602,0.818557,[ 14 136] ; [12 80],[ 16.11570248 133.88429752] ; [ 9.88429752 82.11570248],0
a6,1,0.440038,0.596183,[105  59] ; [68 31],[107.878327  56.121673] ; [65.121673 33.878327],0
p1,1,0.46146,0.542352,[ 12 151] ; [ 5 94],[ 10.57633588 152.42366412] ; [ 6.42366412 92.57633588],0
n2,1,0.466443,0.53039,[36 25] ; [22 11],[37.63829787 23.36170213] ; [20.36170213 12.63829787],0
b3,1,0.49923,0.456572,[43 56] ; [22 36],[40.98726115 58.01273885] ; [24.01273885 33.98726115],0
b2,1,0.49923,0.456572,[43 56] ; [22 36],[40.98726115 58.01273885] ; [24.01273885 33.98726115],0
a5,1,0.511747,0.430493,[96 68] ; [62 37],[98.52471483 65.47528517] ; [59.47528517 39.52471483],0
d1,1,0.549548,0.358128,[70 94] ; [46 53],[72.33460076 91.66539924] ; [43.66539924 55.33460076],0
u2,1,0.558208,0.342817,[27 28] ; [21 17],[28.38709677 26.61290323] ; [19.61290323 18.38709677],0
n3,1,0.56779,0.326395,[37 21] ; [23 10],[38.24175824 19.75824176] ; [21.75824176 11.24175824],0
