Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.005093,7.846154,[4 8] ; [30  9],[8. 4.] ; [26. 13.],0
v2,1,0.005342,7.759867,[ 1 10] ; [21 16],[5.04166667 5.95833333] ; [16.95833333 20.04166667],0
a3,1,0.012117,6.293706,[3 8] ; [27 12],[6.6 4.4] ; [23.4 15.6],0
p6,1,0.019352,5.46939,[ 2 10] ; [21 17],[5.52 6.48] ; [17.48 20.52],0
d4,1,0.054576,3.694991,[8 4] ; [35  4],[10.11764706  1.88235294] ; [32.88235294  6.11764706],0
r3,1,0.054576,3.694991,[8 4] ; [35  4],[10.11764706  1.88235294] ; [32.88235294  6.11764706],0
a5,1,0.056159,3.647339,[5 7] ; [28 11],[7.76470588 4.23529412] ; [25.23529412 13.76470588],0
p3,1,0.056993,3.622811,[3 9] ; [22 17],[5.88235294 6.11764706] ; [19.11764706 19.88235294],0
p10,1,0.059228,3.558868,[7 5] ; [32  6],[9.36 2.64] ; [29.64  8.36],0
r2,1,0.06028,3.529657,[8 4] ; [34  4],[10.08  1.92] ; [31.92  6.08],0
s8,1,0.067317,3.34727,[ 2 10] ; [18 21],[4.70588235 7.29411765] ; [15.29411765 23.70588235],0
p12,1,0.069429,3.296474,[ 2 10] ; [ 1 38],[ 0.70588235 11.29411765] ; [ 2.29411765 36.70588235],0
b3,1,0.077241,3.12202,[1 7] ; [11 12],[3.09677419 4.90322581] ; [ 8.90322581 14.09677419],0
b2,1,0.077241,3.12202,[1 7] ; [11 12],[3.09677419 4.90322581] ; [ 8.90322581 14.09677419],0
a4,1,0.091629,2.845521,[ 2 10] ; [17 22],[4.47058824 7.52941176] ; [14.52941176 24.47058824],0
b5,1,0.119669,2.421652,[8 4] ; [16 23],[5.64705882 6.35294118] ; [18.35294118 20.64705882],0
b1,1,0.146866,2.104503,[3 9] ; [19 20],[5.17647059 6.82352941] ; [16.82352941 22.17647059],0
n5,1,0.1929,1.69533,[9 3] ; [21 18],[7.05882353 4.94117647] ; [22.94117647 16.05882353],0
p4,1,0.224197,1.477303,[5 7] ; [24 15],[6.82352941 5.17647059] ; [22.17647059 16.82352941],0
s7,1,0.239639,1.382716,[5 7] ; [22 14],[6.75 5.25] ; [20.25 15.75],0
v1,1,0.269491,1.219334,[4 7] ; [21 17],[5.6122449 5.3877551] ; [19.3877551 18.6122449],0
u3,1,0.308512,1.037037,[4 5] ; [8 4],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
s3,1,0.315336,1.008192,[9 3] ; [23 16],[7.52941176 4.47058824] ; [24.47058824 14.52941176],0
p9,1,0.329313,0.951598,[9 3] ; [33  5],[10.08  1.92] ; [31.92  6.08],0
a7,1,0.381571,0.765633,[6 6] ; [25 14],[7.29411765 4.70588235] ; [23.70588235 15.29411765],0
n4,1,0.432948,0.614902,[8 4] ; [21 18],[6.82352941 5.17647059] ; [22.17647059 16.82352941],0
p8,1,0.442965,0.588589,[4 8] ; [17 20],[5.14285714 6.85714286] ; [15.85714286 21.14285714],0
a6,1,0.46049,0.544704,[5 7] ; [21 18],[6.11764706 5.88235294] ; [19.88235294 19.11764706],0
n3,1,0.465693,0.532176,[2 1] ; [7 9],[1.42105263 1.57894737] ; [7.57894737 8.42105263],0
p11,1,0.586412,0.295982,[9 3] ; [26 13],[8.23529412 3.76470588] ; [26.76470588 12.23529412],0
s4,1,0.597331,0.27904,[5 7] ; [13 26],[4.23529412 7.76470588] ; [13.76470588 25.23529412],0
r4,1,0.601562,0.272646,[8 4] ; [29 10],[8.70588235 3.29411765] ; [28.29411765 10.70588235],0
p7,1,0.682601,0.167213,[6 6] ; [21 16],[6.6122449 5.3877551] ; [20.3877551 16.6122449],0
a8,1,0.71315,0.135151,[ 1 11] ; [ 2 35],[ 0.73469388 11.26530612] ; [ 2.26530612 34.73469388],0
a1,1,0.734927,0.114635,[ 2 10] ; [ 5 34],[ 1.64705882 10.35294118] ; [ 5.35294118 33.64705882],0
s6,1,0.740544,0.109649,[10  2] ; [30  8],[9.6 2.4] ; [30.4  7.6],0
p5,1,0.740544,0.109649,[ 2 10] ; [ 8 30],[2.4 9.6] ; [ 7.6 30.4],0
n6,1,0.769174,0.086116,[10  2] ; [31  8],[9.64705882 2.35294118] ; [31.35294118  7.64705882],0
d2,1,0.842369,0.039547,[5 7] ; [15 24],[4.70588235 7.29411765] ; [15.29411765 23.70588235],0
u2,1,0.898708,0.016204,[5 4] ; [7 5],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
p2,1,0.925871,0.008657,[9 3] ; [29  9],[9.12 2.88] ; [28.88  9.12],0
p1,1,0.942396,0.005221,[ 2 10] ; [ 6 32],[ 1.92 10.08] ; [ 6.08 31.92],0
s1,1,0.942421,0.005217,[ 1 11] ; [ 3 36],[ 0.94117647 11.05882353] ; [ 3.05882353 35.94117647],0
v4,1,0.96106,0.002384,[11  1] ; [35  3],[11.04  0.96] ; [34.96  3.04],0
s2,1,0.96446,0.001985,[9 3] ; [29 10],[8.94117647 3.05882353] ; [29.05882353  9.94117647],0
