Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.1e-05,19.273709,[54 26] ; [135  14],[66.02620087 13.97379913] ; [122.97379913  26.02620087],1
p10,1,0.000921,10.980613,[60 23] ; [133  16],[69.04741379 13.95258621] ; [123.95258621  25.04741379],1
v4,1,0.001254,10.409528,[71 10] ; [145   3],[76.40174672  4.59825328] ; [139.59825328   8.40174672],0
s3,1,0.001287,10.36064,[52 30] ; [122  26],[62.03478261 19.96521739] ; [111.96521739  36.03478261],0
s2,1,0.002429,9.193143,[47 36] ; [113  36],[57.24137931 25.75862069] ; [102.75862069  46.24137931],0
p9,1,0.002558,9.098901,[60 20] ; [135  15],[67.82608696 12.17391304] ; [127.17391304  22.82608696],0
v3,1,0.007938,7.04734,[25 55] ; [70 71],[34.38914027 45.61085973] ; [60.61085973 80.38914027],0
r4,1,0.018797,5.520317,[67 16] ; [137  13],[72.6695279 10.3304721] ; [131.3304721  18.6695279],0
r1,1,0.018902,5.510604,[63 20] ; [130  18],[69.34632035 13.65367965] ; [123.65367965  24.34632035],0
v1,1,0.054064,3.710737,[34 46] ; [80 63],[40.89686099 39.10313901] ; [73.10313901 69.89686099],0
a3,1,0.08501,2.966425,[62 21] ; [126  24],[66.96995708 16.03004292] ; [121.03004292  28.96995708],0
p12,1,0.089053,2.891416,[ 2 80] ; [ 12 138],[ 4.94827586 77.05172414] ; [  9.05172414 140.94827586],0
s5,1,0.09134,2.85059,[25 57] ; [61 85],[30.92982456 51.07017544] ; [55.07017544 90.92982456],0
n5,1,0.110389,2.548641,[59 23] ; [120  28],[63.8173913 18.1826087] ; [115.1826087  32.8173913],0
p7,1,0.112918,2.512896,[40 41] ; [88 58],[45.67400881 35.32599119] ; [82.32599119 63.67400881],0
p5,1,0.160746,1.967194,[ 5 78] ; [ 17 128],[ 8.00877193 74.99122807] ; [ 13.99122807 131.00877193],0
b2,1,0.177951,1.814658,[16 39] ; [43 65],[19.90797546 35.09202454] ; [39.09202454 68.90797546],0
b3,1,0.177951,1.814658,[16 39] ; [43 65],[19.90797546 35.09202454] ; [39.09202454 68.90797546],0
a6,1,0.197683,1.65941,[50 32] ; [104  46],[54.43103448 27.56896552] ; [99.56896552 50.43103448],0
d1,1,0.208018,1.585168,[45 38] ; [94 56],[49.51502146 33.48497854] ; [89.48497854 60.51502146],0
n6,1,0.274064,1.196293,[65 16] ; [127  21],[67.91266376 13.08733624] ; [124.08733624  23.91266376],0
n1,1,0.30264,1.062523,[ 7 12] ; [19 18],[ 8.82142857 10.17857143] ; [17.17857143 19.82142857],0
s4,1,0.30337,1.059323,[19 64] ; [ 26 124],[16.03004292 66.96995708] ; [ 28.96995708 121.03004292],0
