Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.005521,7.700329,[26 31] ; [19  5],[31.66666667 25.33333333] ; [13.33333333 10.66666667],0
d4,1,0.01729,5.666667,[44 16] ; [24  1],[48. 12.] ; [20.  5.],0
s2,1,0.02196,5.248917,[23 36] ; [16  8],[27.72289157 31.27710843] ; [11.27710843 12.72289157],0
a5,1,0.029351,4.746923,[42 18] ; [23  2],[45.88235294 14.11764706] ; [19.11764706  5.88235294],0
b3,1,0.031688,4.615273,[13 28] ; [9 5],[16.4 24.6] ; [5.6 8.4],0
b2,1,0.031688,4.615273,[13 28] ; [9 5],[16.4 24.6] ; [5.6 8.4],0
p11,1,0.04991,3.844492,[55  5] ; [19  6],[52.23529412  7.76470588] ; [21.76470588  3.23529412],0
p10,1,0.061846,3.487179,[48 12] ; [24  1],[50.82352941  9.17647059] ; [21.17647059  3.82352941],0
p9,1,0.061846,3.487179,[48 12] ; [24  1],[50.82352941  9.17647059] ; [21.17647059  3.82352941],0
s3,1,0.071603,3.245877,[29 30] ; [17  7],[32.69879518 26.30120482] ; [13.30120482 10.69879518],0
u2,1,0.080346,3.05788,[14  9] ; [2 6],[11.87096774 11.12903226] ; [4.12903226 3.87096774],0
a7,1,0.091345,2.850502,[46 13] ; [15 10],[42.8452381 16.1547619] ; [18.1547619  6.8452381],0
p5,1,0.149345,2.07893,[ 1 59] ; [ 2 23],[ 2.11764706 57.88235294] ; [ 0.88235294 24.11764706],0
p2,1,0.210739,1.566339,[54  6] ; [20  5],[52.23529412  7.76470588] ; [21.76470588  3.23529412],0
u1,1,0.295757,1.093227,[10 50] ; [ 2 23],[ 8.47058824 51.52941176] ; [ 3.52941176 21.47058824],0
n5,1,0.298243,1.082034,[38 21] ; [19  6],[40.03571429 18.96428571] ; [16.96428571  8.03571429],0
p8,1,0.302897,1.061398,[33 26] ; [17  8],[35.11904762 23.88095238] ; [14.88095238 10.11904762],0
n4,1,0.314195,1.012959,[47 13] ; [17  8],[45.17647059 14.82352941] ; [18.82352941  6.17647059],0
s6,1,0.320763,0.985833,[41 19] ; [19  5],[42.85714286 17.14285714] ; [17.14285714  6.85714286],0
p6,1,0.331137,0.944444,[22 38] ; [12 13],[24. 36.] ; [10. 15.],0
r2,1,0.34959,0.874946,[53  6] ; [24  1],[54.08333333  4.91666667] ; [22.91666667  2.08333333],0
p7,1,0.350331,0.872259,[38 21] ; [18  6],[39.80722892 19.19277108] ; [16.19277108  7.80722892],0
a6,1,0.363693,0.825101,[37 23] ; [18  7],[38.82352941 21.17647059] ; [16.17647059  8.82352941],0
d5,1,0.38099,0.767506,[51  9] ; [23  2],[52.23529412  7.76470588] ; [21.76470588  3.23529412],0
d2,1,0.409308,0.68081,[37 23] ; [13 12],[35.29411765 24.70588235] ; [14.70588235 10.29411765],0
s4,1,0.43652,0.605413,[ 8 52] ; [ 5 20],[ 9.17647059 50.82352941] ; [ 3.82352941 21.17647059],0
a2,1,0.450837,0.568546,[14 46] ; [ 4 21],[12.70588235 47.29411765] ; [ 5.29411765 19.70588235],0
v2,1,0.475997,0.508021,[30 25] ; [11 13],[28.5443038 26.4556962] ; [12.4556962 11.5443038],0
v4,1,0.477268,0.505098,[55  5] ; [24  1],[55.76470588  4.23529412] ; [23.23529412  1.76470588],0
p12,1,0.502944,0.448718,[ 5 55] ; [ 1 23],[ 4.28571429 55.71428571] ; [ 1.71428571 22.28571429],0
a1,1,0.51785,0.418173,[ 1 59] ; [ 1 24],[ 1.41176471 58.58823529] ; [ 0.58823529 24.41176471],0
b1,1,0.53135,0.39181,[26 34] ; [ 9 16],[24.70588235 35.29411765] ; [10.29411765 14.70588235],0
d1,1,0.53154,0.391447,[39 21] ; [18  7],[40.23529412 19.76470588] ; [16.76470588  8.23529412],0
a3,1,0.580451,0.305506,[37 23] ; [17  8],[38.11764706 21.88235294] ; [15.88235294  9.11764706],0
d3,1,0.580451,0.305506,[37 23] ; [17  8],[38.11764706 21.88235294] ; [15.88235294  9.11764706],0
u3,1,0.591507,0.287997,[14  9] ; [4 4],[13.35483871  9.64516129] ; [4.64516129 3.35483871],0
p1,1,0.59223,0.286875,[ 3 57] ; [ 2 23],[ 3.52941176 56.47058824] ; [ 1.47058824 23.52941176],0
