Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.5e-05,17.740463,[50 22] ; [ 8 24],[40.15384615 31.84615385] ; [17.84615385 14.15384615],1
v3,1,0.000772,11.30836,[28 43] ; [ 2 29],[20.88235294 50.11764706] ; [ 9.11764706 21.88235294],1
a5,1,0.008318,6.9638,[47 25] ; [12 20],[40.84615385 31.15384615] ; [18.15384615 13.84615385],0
d5,1,0.014157,6.018519,[59 13] ; [19 13],[54. 18.] ; [24.  8.],0
r1,1,0.019945,5.416667,[60 12] ; [20 12],[55.38461538 16.61538462] ; [24.61538462  7.38461538],0
r4,1,0.02774,4.844173,[61 11] ; [21 11],[56.76923077 15.23076923] ; [25.23076923  6.76923077],0
v1,1,0.033032,4.54412,[34 38] ; [ 8 24],[29.07692308 42.92307692] ; [12.92307692 19.07692308],0
n6,1,0.039825,4.225303,[53 19] ; [17 15],[48.46153846 23.53846154] ; [21.53846154 10.46153846],0
s4,1,0.049287,3.865545,[10 59] ; [10 22],[13.66336634 55.33663366] ; [ 6.33663366 25.66336634],0
r2,1,0.053949,3.714286,[66  6] ; [25  7],[63.  9.] ; [28.  4.],0
b5,1,0.056619,3.633759,[48 24] ; [15 17],[43.61538462 28.38461538] ; [19.38461538 12.61538462],0
s2,1,0.078522,3.095238,[31 39] ; [ 8 23],[27.02970297 42.97029703] ; [11.97029703 19.02970297],0
s7,1,0.103136,2.656373,[26 40] ; [ 7 24],[22.45360825 43.54639175] ; [10.54639175 20.45360825],0
d3,1,0.146325,2.110145,[51 21] ; [18 14],[47.76923077 24.23076923] ; [21.23076923 10.76923077],0
a2,1,0.153987,2.0323,[15 57] ; [ 3 29],[12.46153846 59.53846154] ; [ 5.53846154 26.46153846],0
u3,1,0.171066,1.873574,[14 17] ; [10  5],[16.17391304 14.82608696] ; [7.82608696 7.17391304],0
s3,1,0.179037,1.805602,[39 32] ; [13 19],[35.84466019 35.15533981] ; [16.15533981 15.84466019],0
p11,1,0.182759,1.775047,[46 26] ; [16 16],[42.92307692 29.07692308] ; [19.07692308 12.92307692],0
s6,1,0.213802,1.545495,[36 35] ; [12 20],[33.08737864 37.91262136] ; [14.91262136 17.08737864],0
p10,1,0.221957,1.491672,[24 47] ; [ 7 25],[21.36893204 49.63106796] ; [ 9.63106796 22.36893204],0
p1,1,0.237334,1.396362,[ 7 64] ; [ 1 31],[ 5.51456311 65.48543689] ; [ 2.48543689 29.51456311],0
