Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.3e-05,19.067021,[74 37] ; [14 34],[61.43396226 49.56603774] ; [26.56603774 21.43396226],1
r2,1,2.9e-05,17.481359,[107   2] ; [37 10],[100.61538462   8.38461538] ; [43.38461538  3.61538462],1
d3,1,0.00016,14.255504,[83 28] ; [21 27],[72.60377358 38.39622642] ; [31.39622642 16.60377358],1
r4,1,0.000226,13.60495,[99 12] ; [31 17],[90.75471698 20.24528302] ; [39.24528302  8.75471698],1
a2,1,0.001164,10.547266,[33 78] ; [ 3 45],[25.13207547 85.86792453] ; [10.86792453 37.13207547],0
r3,1,0.001599,9.961452,[101   9] ; [35 13],[94.6835443 15.3164557] ; [41.3164557  6.6835443],0
u1,1,0.001835,9.707506,[28 83] ; [ 2 46],[20.94339623 90.05660377] ; [ 9.05660377 38.94339623],0
r1,1,0.002283,9.306465,[87 22] ; [27 21],[79.14649682 29.85350318] ; [34.85350318 13.14649682],0
d5,1,0.00454,8.054209,[94 17] ; [31 17],[87.26415094 23.73584906] ; [37.73584906 10.26415094],0
a5,1,0.037662,4.320224,[79 32] ; [26 22],[73.30188679 37.69811321] ; [31.69811321 16.30188679],0
u3,1,0.038371,4.288499,[20 16] ; [ 5 14],[16.36363636 19.63636364] ; [ 8.63636364 10.36363636],0
u2,1,0.043907,4.06015,[15 20] ; [ 3 16],[11.66666667 23.33333333] ; [ 6.33333333 12.66666667],0
s6,1,0.056856,3.626812,[78 30] ; [26 20],[72.93506494 35.06493506] ; [31.06493506 14.93506494],0
p10,1,0.067561,3.341307,[68 39] ; [23 25],[62.81935484 44.18064516] ; [28.18064516 19.81935484],0
s7,1,0.079909,3.06675,[54 47] ; [17 28],[49.11643836 51.88356164] ; [21.88356164 23.11643836],0
s2,1,0.083655,2.992424,[60 50] ; [19 29],[55. 55.] ; [24. 24.],0
d1,1,0.085393,2.959141,[65 46] ; [21 27],[60.03773585 50.96226415] ; [25.96226415 22.03773585],0
n3,1,0.096321,2.765432,[26 10] ; [10 10],[23.14285714 12.85714286] ; [12.85714286  7.14285714],0
d4,1,0.117381,2.451918,[89 22] ; [33 15],[85.16981132 25.83018868] ; [36.83018868 11.16981132],0
v4,1,0.120007,2.41723,[105   6] ; [42  6],[102.62264151   8.37735849] ; [44.37735849  3.62264151],0
p2,1,0.12257,2.384173,[80 31] ; [28 19],[75.87341772 35.12658228] ; [32.12658228 14.87341772],0
n2,1,0.122952,2.379308,[29  7] ; [13  8],[26.52631579  9.47368421] ; [15.47368421  5.52631579],0
s3,1,0.138492,2.194634,[61 49] ; [20 27],[56.75159236 53.24840764] ; [24.24840764 22.75159236],0
a4,1,0.152859,2.043481,[51 59] ; [16 31],[46.94267516 63.05732484] ; [20.05732484 26.94267516],0
s4,1,0.161109,1.963786,[27 83] ; [ 7 41],[23.67088608 86.32911392] ; [10.32911392 37.67088608],0
b4,1,0.194799,1.680947,[57 54] ; [30 18],[60.73584906 50.26415094] ; [26.26415094 21.73584906],0
b1,1,0.220289,1.50249,[53 58] ; [28 20],[56.54716981 54.45283019] ; [24.45283019 23.54716981],0
p9,1,0.256032,1.290089,[73 34] ; [27 19],[69.93464052 37.06535948] ; [30.06535948 15.93464052],0
n1,1,0.283989,1.147902,[18 16] ; [ 8 13],[16.07272727 17.92727273] ; [ 9.92727273 11.07272727],0
