Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n2,1,0.50198,0.450747,[13  2] ; [10  3],[12.32142857  2.67857143] ; [10.67857143  2.32142857],0
u1,1,0.507923,0.438345,[ 3 54] ; [ 3 31],[ 3.75824176 53.24175824] ; [ 2.24175824 31.75824176],0
b4,1,0.520345,0.413209,[33 24] ; [22 12],[34.45054945 22.54945055] ; [20.54945055 13.45054945],0
p6,1,0.585694,0.297119,[23 33] ; [12 22],[21.77777778 34.22222222] ; [13.22222222 20.77777778],0
s1,1,0.601171,0.273233,[ 3 54] ; [ 1 33],[ 2.50549451 54.49450549] ; [ 1.49450549 32.50549451],0
p1,1,0.643496,0.214199,[ 5 52] ; [ 2 31],[ 4.43333333 52.56666667] ; [ 2.56666667 30.43333333],0
a6,1,0.679901,0.170237,[31 26] ; [20 14],[31.94505495 25.05494505] ; [19.05494505 14.94505495],0
d5,1,0.684031,0.165624,[42 15] ; [23 10],[41.16666667 15.83333333] ; [23.83333333  9.16666667],0
r2,1,0.723568,0.1251,[46  8] ; [28  6],[45.40909091  8.59090909] ; [28.59090909  5.40909091],0
p3,1,0.724505,0.124217,[29 28] ; [16 18],[28.18681319 28.81318681] ; [16.81318681 17.18681319],0
v4,1,0.839132,0.04121,[50  6] ; [29  4],[49.70786517  6.29213483] ; [29.29213483  3.70786517],0
a7,1,0.847239,0.037111,[34 23] ; [19 14],[33.56666667 23.43333333] ; [19.43333333 13.56666667],0
a1,1,0.855009,0.033391,[ 6 51] ; [ 4 30],[ 6.26373626 50.73626374] ; [ 3.73626374 30.26373626],0
b2,1,0.913635,0.011762,[10 30] ; [ 5 14],[10.16949153 29.83050847] ; [ 4.83050847 14.16949153],0
b3,1,0.913635,0.011762,[10 30] ; [ 5 14],[10.16949153 29.83050847] ; [ 4.83050847 14.16949153],0
d3,1,0.940387,0.005592,[35 22] ; [20 13],[34.83333333 22.16666667] ; [20.16666667 12.83333333],0
p8,1,0.940728,0.005529,[25 31] ; [15 18],[25.16853933 30.83146067] ; [14.83146067 18.16853933],0
n1,1,1.0,0.0,[ 5 10] ; [4 8],[ 5. 10.] ; [4. 8.],0
