Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.862535,[43 32] ; [124 302],[25. 50.] ; [142. 284.],1
s6,1,9e-06,19.79059,[55 18] ; [199 223],[37.45858586 35.54141414] ; [216.54141414 205.45858586],1
s5,1,0.000235,13.532176,[29 41] ; [ 89 332],[16.82281059 53.17718941] ; [101.17718941 319.82281059],1
s3,1,0.000311,13.002876,[45 31] ; [156 264],[30.7983871 45.2016129] ; [170.2016129 249.7983871],1
b2,1,0.016467,5.752356,[ 5 32] ; [ 76 154],[11.2247191 25.7752809] ; [ 69.7752809 160.2247191],0
b3,1,0.016467,5.752356,[ 5 32] ; [ 76 154],[11.2247191 25.7752809] ; [ 69.7752809 160.2247191],0
n4,1,0.017252,5.670599,[45 32] ; [308 120],[53.82376238 23.17623762] ; [299.17623762 128.82376238],0
s7,1,0.025051,5.020337,[27 48] ; [ 96 309],[19.21875 55.78125] ; [103.78125 301.21875],0
p1,1,0.029679,4.727809,[ 1 76] ; [ 35 389],[ 5.53293413 71.46706587] ; [ 30.46706587 393.53293413],0
n2,1,0.042653,4.109104,[21  2] ; [76 31],[17.16153846  5.83846154] ; [79.83846154 27.16153846],0
d1,1,0.044418,4.040586,[30 47] ; [220 208],[38.11881188 38.88118812] ; [211.88118812 216.11881188],0
v1,1,0.053971,3.713597,[27 49] ; [199 220],[34.6989899 41.3010101] ; [191.3010101 227.6989899],0
a2,1,0.057368,3.611876,[ 9 68] ; [ 90 338],[15.0950495 61.9049505] ; [ 83.9049505 344.0950495],0
a8,1,0.057694,3.60246,[ 3 68] ; [ 46 345],[ 7.53030303 63.46969697] ; [ 41.46969697 349.53030303],0
b1,1,0.064039,3.429556,[21 56] ; [164 264],[28.20792079 48.79207921] ; [156.79207921 271.20792079],0
p5,1,0.080065,3.063586,[ 2 75] ; [ 35 388],[ 5.698 71.302] ; [ 31.302 391.698],0
v3,1,0.089799,2.877976,[18 56] ; [142 271],[24.31211499 49.68788501] ; [135.68788501 277.31211499],0
d2,1,0.095509,2.778982,[24 53] ; [175 249],[30.58483034 46.41516966] ; [168.41516966 255.58483034],0
p11,1,0.118674,2.434734,[52 25] ; [325 103],[57.48316832 19.51683168] ; [319.51683168 108.48316832],0
d3,1,0.137595,2.204651,[56 20] ; [276 149],[50.36327345 25.63672655] ; [281.63672655 143.36327345],0
r2,1,0.169864,1.884142,[69  8] ; [399  26],[71.78486056  5.21513944] ; [396.21513944  28.78486056],0
u1,1,0.192695,1.696893,[ 6 71] ; [ 56 372],[ 9.45346535 67.54653465] ; [ 52.54653465 375.45346535],0
u2,1,0.235457,1.407589,[14 18] ; [84 68],[17.04347826 14.95652174] ; [80.95652174 71.04347826],0
v2,1,0.265622,1.239215,[34 41] ; [214 195],[38.42975207 36.57024793] ; [209.57024793 199.42975207],0
p6,1,0.270878,1.212295,[25 51] ; [111 304],[21.0509165 54.9490835] ; [114.9490835 300.0509165],0
r4,1,0.280816,1.163137,[64 13] ; [375  53],[66.93663366 10.06336634] ; [372.06336634  55.93663366],0
r1,1,0.288793,1.125238,[54 23] ; [323 103],[57.71172962 19.28827038] ; [319.28827038 106.71172962],0
r3,1,0.29573,1.093349,[68  7] ; [401  26],[70.06972112  4.93027888] ; [398.93027888  28.06972112],0
n6,1,0.310922,1.026755,[64 12] ; [338  89],[60.73956262 15.26043738] ; [341.26043738  85.73956262],0
a3,1,0.318896,0.993468,[45 32] ; [273 151],[48.8742515 28.1257485] ; [269.1257485 154.8742515],0
a6,1,0.351104,0.869462,[49 28] ; [294 132],[52.50695825 24.49304175] ; [290.49304175 135.50695825],0
b4,1,0.425912,0.633946,[48 29] ; [246 182],[44.82772277 32.17227723] ; [249.17227723 178.82772277],0
p3,1,0.428122,0.627912,[35 42] ; [171 250],[31.85140562 45.14859438] ; [174.14859438 246.85140562],0
d5,1,0.428592,0.626635,[55 21] ; [327 100],[57.71769384 18.28230616] ; [324.28230616 102.71769384],0
n5,1,0.468928,0.524501,[50 27] ; [293 131],[52.71656687 24.28343313] ; [290.28343313 133.71656687],0
a5,1,0.502844,0.448929,[48 29] ; [283 144],[50.56944444 26.43055556] ; [280.43055556 146.56944444],0
d4,1,0.555752,0.347114,[58 19] ; [333  92],[59.97410359 17.02589641] ; [331.02589641  93.97410359],0
p2,1,0.558052,0.343088,[60 17] ; [341  81],[61.87775551 15.12224449] ; [339.12224449  82.87775551],0
a4,1,0.563481,0.333713,[29 48] ; [175 250],[31.29083665 45.70916335] ; [172.70916335 252.29083665],0
n3,1,0.624321,0.239841,[16  7] ; [79 27],[16.9379845  6.0620155] ; [78.0620155 27.9379845],0
p8,1,0.629553,0.232668,[33 42] ; [197 222],[34.91902834 40.08097166] ; [195.08097166 223.91902834],0
p10,1,0.637963,0.221416,[58 18] ; [309 110],[56.34747475 19.65252525] ; [310.65252525 108.34747475],0
p12,1,0.680798,0.169228,[ 3 74] ; [ 21 400],[ 3.71084337 73.28915663] ; [ 20.28915663 400.71084337],0
b5,1,0.703267,0.145096,[45 32] ; [260 168],[46.5049505 30.4950495] ; [258.4950495 169.5049505],0
a7,1,0.724894,0.123851,[54 22] ; [311 115],[55.25896414 20.74103586] ; [309.74103586 116.25896414],0
s1,1,0.771017,0.084707,[ 2 73] ; [ 14 409],[ 2.40963855 72.59036145] ; [ 13.59036145 409.40963855],0
p7,1,0.780438,0.077701,[42 33] ; [239 175],[43.09815951 31.90184049] ; [237.90184049 176.09815951],0
p9,1,0.817093,0.053493,[59 16] ; [323  94],[58.23170732 16.76829268] ; [323.76829268  93.23170732],0
u3,1,0.878561,0.023346,[17 15] ; [83 69],[17.39130435 14.60869565] ; [82.60869565 69.39130435],0
a1,1,0.900333,0.015685,[ 3 74] ; [ 18 410],[ 3.2019802 73.7980198] ; [ 17.7980198 410.2019802],0
p4,1,0.930415,0.007625,[39 38] ; [215 205],[39.35211268 37.64788732] ; [214.64788732 205.35211268],0
n1,1,0.981414,0.000543,[ 7 16] ; [32 74],[ 6.95348837 16.04651163] ; [32.04651163 73.95348837],0
