Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,2.6e-05,17.661368,[38  2] ; [18 16],[30.27027027  9.72972973] ; [25.72972973  8.27027027],1
n6,1,0.001912,9.632432,[32  8] ; [17 20],[25.45454545 14.54545455] ; [23.54545455 13.45454545],0
v4,1,0.003135,8.726957,[38  2] ; [25 11],[33.15789474  6.84210526] ; [29.84210526  6.15789474],0
p6,1,0.006369,7.442889,[15 23] ; [ 4 31],[ 9.89041096 28.10958904] ; [ 9.10958904 25.89041096],0
s8,1,0.028889,4.774212,[14 26] ; [ 5 32],[ 9.87012987 30.12987013] ; [ 9.12987013 27.87012987],0
n2,1,0.068504,3.318519,[10  2] ; [8 8],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
v1,1,0.101065,2.68865,[ 9 31] ; [14 21],[12.26666667 27.73333333] ; [10.73333333 24.26666667],0
p10,1,0.108048,2.582538,[24 15] ; [15 20],[20.55405405 18.44594595] ; [18.44594595 16.55405405],0
u3,1,0.114951,2.484797,[11  5] ; [ 8 11],[8.68571429 7.31428571] ; [10.31428571  8.68571429],0
b1,1,0.141454,2.162075,[16 24] ; [21 16],[19.22077922 20.77922078] ; [17.77922078 19.22077922],0
b5,1,0.148051,2.092219,[29 11] ; [21 16],[25.97402597 14.02597403] ; [24.02597403 12.97402597],0
p9,1,0.166318,1.915824,[27 11] ; [20 16],[24.13513514 13.86486486] ; [22.86486486 13.13513514],0
n1,1,0.18367,1.767677,[4 8] ; [ 2 14],[2.57142857 9.42857143] ; [ 3.42857143 12.57142857],0
u2,1,0.202892,1.621436,[11  5] ; [ 9 10],[9.14285714 6.85714286] ; [10.85714286  8.14285714],0
p7,1,0.205728,1.601237,[23 17] ; [15 20],[20.26666667 19.73333333] ; [17.73333333 17.26666667],0
p11,1,0.221363,1.49551,[25 15] ; [18 19],[22.33766234 17.66233766] ; [20.66233766 16.33766234],0
v3,1,0.233103,1.421829,[11 28] ; [ 6 30],[ 8.84 30.16] ; [ 8.16 27.84],0
s6,1,0.238725,1.388106,[20 19] ; [14 23],[17.44736842 21.55263158] ; [16.55263158 20.44736842],0
d5,1,0.252894,1.307248,[29 10] ; [23 14],[26.68421053 12.31578947] ; [25.31578947 11.68421053],0
s2,1,0.271341,1.209954,[19 21] ; [13 24],[16.62337662 23.37662338] ; [15.37662338 21.62337662],0
a5,1,0.271341,1.209954,[19 21] ; [13 24],[16.62337662 23.37662338] ; [15.37662338 21.62337662],0
s5,1,0.318271,0.996038,[13 26] ; [ 8 27],[11.06756757 27.93243243] ; [ 9.93243243 25.06756757],0
u1,1,0.34327,0.898179,[ 3 37] ; [ 1 36],[ 2.07792208 37.92207792] ; [ 1.92207792 35.07792208],0
