Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,73.01471,[197 133] ; [ 52 174],[147.78776978 182.21223022] ; [101.21223022 124.78776978],1
v1,1,0.0,29.015771,[223 109] ; [102 128],[191.99288256 140.00711744] ; [133.00711744  96.99288256],1
p10,1,0.000338,12.848981,[291  42] ; [175  56],[275.13829787  57.86170213] ; [190.86170213  40.13829787],1
s1,1,0.000976,10.872638,[  6 326] ; [ 17 212],[ 13.6114082 318.3885918] ; [  9.3885918 219.6114082],1
p9,1,0.001059,10.722153,[292  39] ; [180  51],[277.99288256  53.00711744] ; [194.00711744  36.99288256],0
r3,1,0.003757,8.39787,[329   6] ; [217  15],[322.59259259  12.40740741] ; [223.40740741   8.59259259],0
a5,1,0.007019,7.268111,[285  52] ; [176  57],[272.55614035  64.44385965] ; [188.44385965  44.55614035],0
p3,1,0.008386,6.949098,[198 136] ; [111 120],[182.66548673 151.33451327] ; [126.33451327 104.66548673],0
b1,1,0.009725,6.684547,[123 215] ; [110 123],[137.92294221 200.07705779] ; [ 95.07705779 137.92294221],0
p7,1,0.01078,6.501311,[231  96] ; [138  91],[217.01978417 109.98021583] ; [151.98021583  77.01978417],0
d2,1,0.022933,5.173593,[197 138] ; [114 118],[183.74779541 151.25220459] ; [127.25220459 104.74779541],0
s4,1,0.029834,4.718839,[ 41 293] ; [ 43 184],[ 50.01069519 283.98930481] ; [ 33.98930481 193.01069519],0
n3,1,0.030367,4.688392,[39  9] ; [34 21],[34.01941748 13.98058252] ; [38.98058252 16.01941748],0
s8,1,0.037151,4.343474,[177 155] ; [103 129],[164.82269504 167.17730496] ; [115.17730496 116.82269504],0
d4,1,0.041507,4.155192,[291  44] ; [186  45],[282.32332155  52.67667845] ; [194.67667845  36.32332155],0
a7,1,0.049001,3.87532,[255  80] ; [160  73],[244.76232394  90.23767606] ; [170.23767606  62.76232394],0
a3,1,0.058492,3.57964,[263  73] ; [164  66],[253.48409894  82.51590106] ; [173.51590106  56.48409894],0
n6,1,0.062478,3.470356,[303  32] ; [198  34],[296.00529101  38.99470899] ; [204.99470899  27.00529101],0
p11,1,0.064838,3.409096,[282  56] ; [180  53],[273.47810858  64.52189142] ; [188.52189142  44.47810858],0
a6,1,0.065252,3.398604,[241  94] ; [150  82],[231.01410935 103.98589065] ; [159.98589065  72.01410935],0
