Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.010283,6.585282,[27 15] ; [172 223],[19.12585812 22.87414188] ; [179.87414188 215.12585812],0
a4,1,0.018908,5.510015,[10 33] ; [166 232],[17.16099773 25.83900227] ; [158.83900227 239.16099773],0
s5,1,0.019942,5.41694,[13 28] ; [ 66 324],[ 7.51508121 33.48491879] ; [ 71.48491879 318.51508121],0
a6,1,0.019957,5.415689,[23 20] ; [283 117],[29.7020316 13.2979684] ; [276.2979684 123.7020316],0
a8,1,0.040494,4.19706,[ 1 41] ; [ 48 313],[ 5.10669975 36.89330025] ; [ 43.89330025 317.10669975],0
n4,1,0.063873,3.433862,[26 17] ; [295 105],[31.15801354 11.84198646] ; [289.84198646 110.15801354],0
a2,1,0.108806,2.571471,[ 4 39] ; [ 77 323],[ 7.86230248 35.13769752] ; [ 73.13769752 326.86230248],0
d3,1,0.170039,1.882603,[32 11] ; [255 144],[27.92081448 15.07918552] ; [259.07918552 139.92081448],0
b5,1,0.187638,1.736065,[22 21] ; [246 154],[26.01354402 16.98645598] ; [241.98645598 158.01354402],0
b2,1,0.190349,1.714917,[ 6 19] ; [ 86 145],[ 8.984375 16.015625] ; [ 83.015625 147.984375],0
b3,1,0.190349,1.714917,[ 6 19] ; [ 86 145],[ 8.984375 16.015625] ; [ 83.015625 147.984375],0
p3,1,0.209004,1.578313,[23 20] ; [173 225],[19.11111111 23.88888889] ; [176.88888889 221.11111111],0
u2,1,0.210756,1.566229,[ 6 10] ; [74 63],[8.36601307 7.63398693] ; [71.63398693 65.36601307],0
s3,1,0.216758,1.525707,[14 29] ; [ 95 301],[10.67653759 32.32346241] ; [ 98.32346241 297.67653759],0
a7,1,0.233337,1.420402,[27 16] ; [286 114],[30.38148984 12.61851016] ; [282.61851016 117.38148984],0
p11,1,0.241392,1.372448,[31 12] ; [319  81],[33.97291196  9.02708804] ; [316.02708804  83.97291196],0
p10,1,0.245498,1.348742,[35  8] ; [287 105],[31.82988506 11.17011494] ; [290.17011494 101.82988506],0
b1,1,0.250677,1.319527,[12 31] ; [147 253],[15.43340858 27.56659142] ; [143.56659142 256.43340858],0
p2,1,0.254258,1.299754,[32 11] ; [324  73],[34.79090909  8.20909091] ; [321.20909091  75.79090909],0
