Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4e-06,21.466394,[ 9 22] ; [59 18],[19.51851852 11.48148148] ; [48.48148148 28.51851852],1
a6,1,2.6e-05,17.673809,[11 20] ; [60 17],[20.37962963 10.62037037] ; [50.62037037 26.37962963],1
b5,1,0.041666,4.148718,[11 20] ; [44 33],[15.78703704 15.21296296] ; [39.21296296 37.78703704],0
p10,1,0.073333,3.206787,[20 10] ; [62 13],[23.42857143  6.57142857] ; [58.57142857 16.42857143],0
n3,1,0.096731,2.758636,[10  1] ; [6 4],[8.38095238 2.61904762] ; [7.61904762 2.38095238],0
a4,1,0.105846,2.615165,[10 21] ; [38 39],[13.77777778 17.22222222] ; [34.22222222 42.77777778],0
r3,1,0.118102,2.442311,[26  5] ; [72  5],[28.12962963  2.87037037] ; [69.87037037  7.12962963],0
n1,1,0.12707,2.327943,[5 6] ; [1 7],[3.47368421 7.52631579] ; [2.52631579 5.47368421],0
p2,1,0.140313,2.174522,[21  9] ; [63 13],[23.77358491  6.22641509] ; [60.22641509 15.77358491],0
s1,1,0.144328,2.131202,[ 2 29] ; [ 1 75],[ 0.86915888 30.13084112] ; [ 2.13084112 73.86915888],0
d1,1,0.144551,2.128832,[15 16] ; [49 28],[18.37037037 12.62962963] ; [45.62962963 31.37037037],0
r4,1,0.149452,2.077831,[24  7] ; [68  9],[26.40740741  4.59259259] ; [65.59259259 11.40740741],0
p3,1,0.156773,2.005083,[12 18] ; [42 34],[15.28301887 14.71698113] ; [38.71698113 37.28301887],0
s5,1,0.166301,1.915978,[ 7 24] ; [ 9 66],[ 4.67924528 26.32075472] ; [11.32075472 63.67924528],0
n5,1,0.176733,1.824885,[26  5] ; [55 22],[23.25  7.75] ; [57.75 19.25],0
u3,1,0.233703,1.418182,[2 6] ; [9 9],[3.38461538 4.61538462] ; [ 7.61538462 10.38461538],0
s4,1,0.235402,1.40792,[ 3 28] ; [ 3 74],[ 1.72222222 29.27777778] ; [ 4.27777778 72.72222222],0
p9,1,0.238894,1.387111,[22  9] ; [61 14],[24.27358491  6.72641509] ; [58.72641509 16.27358491],0
p11,1,0.280085,1.166677,[22  9] ; [62 15],[24.11111111  6.88888889] ; [59.88888889 17.11111111],0
r1,1,0.289156,1.123549,[23  8] ; [64 13],[24.97222222  6.02777778] ; [62.02777778 14.97222222],0
p6,1,0.300896,1.070219,[ 7 22] ; [26 49],[ 9.20192308 19.79807692] ; [23.79807692 51.20192308],0
b1,1,0.308714,1.036169,[10 21] ; [33 44],[12.34259259 18.65740741] ; [30.65740741 46.34259259],0
a8,1,0.320346,0.987535,[ 2 28] ; [ 9 57],[ 3.4375 26.5625] ; [ 7.5625 58.4375],0
s7,1,0.322199,0.98,[ 6 22] ; [22 48],[ 8. 20.] ; [20. 50.],0
u1,1,0.340293,0.909328,[ 3 28] ; [13 64],[ 4.59259259 26.40740741] ; [11.40740741 65.59259259],0
v2,1,0.345702,0.88917,[22  8] ; [62 14],[23.77358491  6.22641509] ; [60.22641509 15.77358491],0
d5,1,0.357623,0.846225,[22  9] ; [61 16],[23.82407407  7.17592593] ; [59.17592593 17.82407407],0
v4,1,0.392013,0.732689,[28  3] ; [73  4],[28.99074074  2.00925926] ; [72.00925926  4.99074074],0
a5,1,0.421188,0.646999,[21 10] ; [58 19],[22.67592593  8.32407407] ; [56.32407407 20.67592593],0
p4,1,0.42337,0.640942,[13 15] ; [42 34],[14.80769231 13.19230769] ; [40.19230769 35.80769231],0
d2,1,0.484995,0.48761,[18 13] ; [39 38],[16.36111111 14.63888889] ; [40.63888889 36.36111111],0
p7,1,0.505597,0.443169,[21  9] ; [48 28],[19.52830189 10.47169811] ; [49.47169811 26.52830189],0
r2,1,0.515959,0.421964,[27  2] ; [74  3],[27.63207547  1.36792453] ; [73.36792453  3.63207547],0
p1,1,0.518936,0.416007,[ 3 28] ; [11 66],[ 4.01851852 26.98148148] ; [ 9.98148148 67.01851852],0
s8,1,0.547419,0.361961,[ 9 22] ; [27 50],[10.33333333 20.66666667] ; [25.66666667 51.33333333],0
b4,1,0.640209,0.218469,[17 14] ; [46 31],[18.08333333 12.91666667] ; [44.91666667 32.08333333],0
n6,1,0.64926,0.206835,[25  6] ; [59 18],[24.11111111  6.88888889] ; [59.88888889 17.11111111],0
v1,1,0.678607,0.171698,[17 13] ; [47 30],[17.94392523 12.05607477] ; [46.05607477 30.94392523],0
n2,1,0.695943,0.152727,[8 3] ; [8 2],[8.38095238 2.61904762] ; [7.61904762 2.38095238],0
a3,1,0.703016,0.145353,[23  8] ; [59 17],[23.75700935  7.24299065] ; [58.24299065 17.75700935],0
p8,1,0.744817,0.105938,[15 14] ; [42 34],[15.74285714 13.25714286] ; [41.25714286 34.74285714],0
u2,1,0.793117,0.068783,[4 4] ; [ 8 10],[3.69230769 4.30769231] ; [8.30769231 9.69230769],0
s3,1,0.859188,0.031474,[ 8 22] ; [19 57],[ 7.64150943 22.35849057] ; [19.35849057 56.64150943],0
d4,1,0.867947,0.027644,[25  6] ; [61 16],[24.68518519  6.31481481] ; [61.31481481 15.68518519],0
n4,1,0.924214,0.009049,[26  5] ; [64 13],[25.83333333  5.16666667] ; [64.16666667 12.83333333],0
p5,1,0.940001,0.005665,[ 3 28] ; [ 7 69],[ 2.89719626 28.10280374] ; [ 7.10280374 68.89719626],0
b2,1,0.972163,0.001218,[10 11] ; [25 28],[ 9.93243243 11.06756757] ; [25.06756757 27.93243243],0
b3,1,0.972163,0.001218,[10 11] ; [25 28],[ 9.93243243 11.06756757] ; [25.06756757 27.93243243],0
s2,1,0.980953,0.00057,[ 7 24] ; [17 59],[ 6.95327103 24.04672897] ; [17.04672897 58.95327103],0
a1,1,0.993617,6.4e-05,[ 2 29] ; [ 5 72],[ 2.00925926 28.99074074] ; [ 4.99074074 72.00925926],0
