Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,36.82087,[102  15] ; [14 23],[88.12987013 28.87012987] ; [27.87012987  9.12987013],1
n4,1,0.0,34.6723,[105  12] ; [17 21],[92.09032258 24.90967742] ; [29.90967742  8.09032258],1
p9,1,0.000207,13.764996,[100  17] ; [21 16],[91.92857143 25.07142857] ; [29.07142857  7.92857143],1
s8,1,0.000281,13.193013,[79 38] ; [13 25],[69.44516129 47.55483871] ; [22.55483871 15.44516129],1
d5,1,0.000473,12.218355,[92 24] ; [19 19],[83.61038961 32.38961039] ; [27.38961039 10.61038961],1
p2,1,0.000605,11.761811,[98 18] ; [22 16],[90.38961039 25.61038961] ; [29.61038961  8.38961039],1
u2,1,0.002384,9.227253,[ 8 18] ; [12  3],[12.68292683 13.31707317] ; [7.31707317 7.68292683],0
s6,1,0.003049,8.777663,[93 19] ; [22 15],[86.44295302 25.55704698] ; [28.55704698  8.44295302],0
s7,1,0.003723,8.414297,[85 30] ; [15 17],[78.23129252 36.76870748] ; [21.76870748 10.23129252],0
p11,1,0.004148,8.217867,[97 20] ; [23 15],[90.58064516 26.41935484] ; [29.41935484  8.58064516],0
p10,1,0.005086,7.848667,[95 21] ; [22 15],[88.70588235 27.29411765] ; [28.29411765  8.70588235],0
p8,1,0.005729,7.63377,[63 52] ; [11 27],[55.62091503 59.37908497] ; [18.37908497 19.62091503],0
r4,1,0.020798,5.343644,[102  15] ; [27 11],[97.37419355 19.62580645] ; [31.62580645  6.37419355],0
v3,1,0.022778,5.185321,[53 64] ; [ 8 26],[47.26490066 69.73509934] ; [13.73509934 20.26490066],0
p6,1,0.027661,4.849074,[49 66] ; [ 8 28],[43.41059603 71.58940397] ; [13.58940397 22.41059603],0
a3,1,0.028766,4.781548,[91 25] ; [23 15],[85.87012987 30.12987013] ; [28.12987013  9.87012987],0
p5,1,0.031644,4.617706,[19 97] ; [ 1 36],[ 15.16339869 100.83660131] ; [ 4.83660131 32.16339869],0
a8,1,0.043371,4.080872,[18 95] ; [ 1 34],[14.50675676 98.49324324] ; [ 4.49324324 30.50675676],0
r3,1,0.052765,3.751357,[112   5] ; [33  5],[109.4516129   7.5483871] ; [35.5483871  2.4516129],0
s2,1,0.063005,3.456463,[89 28] ; [23 15],[84.54193548 32.45806452] ; [27.45806452 10.54193548],0
