Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.1e-05,18.066811,[68 19] ; [19 27],[56.90977444 30.09022556] ; [30.09022556 15.90977444],1
a6,1,0.000258,13.352058,[59 28] ; [16 30],[49.06015038 37.93984962] ; [25.93984962 20.06015038],1
u1,1,0.001741,9.80454,[20 67] ; [ 1 45],[13.73684211 73.26315789] ; [ 7.26315789 38.73684211],0
a2,1,0.0028,8.933687,[25 62] ; [ 3 43],[18.31578947 68.68421053] ; [ 9.68421053 36.31578947],0
b5,1,0.009231,6.777631,[49 38] ; [15 31],[41.86466165 45.13533835] ; [22.13533835 23.86466165],0
s2,1,0.010735,6.508617,[56 31] ; [19 27],[49.06015038 37.93984962] ; [25.93984962 20.06015038],0
r2,1,0.014725,5.94911,[83  2] ; [40  6],[79.80916031  5.19083969] ; [43.19083969  2.80916031],0
v3,1,0.021835,5.258897,[32 54] ; [ 8 37],[26.25954198 59.74045802] ; [13.74045802 31.25954198],0
n6,1,0.022743,5.187995,[79  7] ; [35 10],[74.83969466 11.16030534] ; [39.16030534  5.83969466],0
p12,1,0.032952,4.548275,[12 74] ; [ 1 44],[ 8.53435115 77.46564885] ; [ 4.46564885 40.53435115],0
p9,1,0.039282,4.24862,[72 10] ; [33 12],[67.79527559 14.20472441] ; [37.20472441  7.79527559],0
p10,1,0.070313,3.275693,[71 13] ; [32 13],[67.06976744 16.93023256] ; [35.93023256  9.06976744],0
a8,1,0.082809,3.008887,[11 66] ; [ 2 44],[ 8.13821138 68.86178862] ; [ 4.86178862 41.13821138],0
r3,1,0.086267,2.942689,[81  4] ; [40  6],[78.51145038  6.48854962] ; [42.48854962  3.51145038],0
a5,1,0.131587,2.273685,[64 23] ; [28 18],[60.18045113 26.81954887] ; [31.81954887 14.18045113],0
b1,1,0.142832,2.147177,[25 62] ; [19 27],[28.78195489 58.21804511] ; [15.21804511 30.78195489],0
r1,1,0.16832,1.89784,[69 17] ; [32 14],[65.8030303 20.1969697] ; [35.1969697 10.8030303],0
p7,1,0.202859,1.62167,[49 33] ; [32 13],[52.2992126 29.7007874] ; [28.7007874 16.2992126],0
s6,1,0.214313,1.542046,[71 16] ; [31 12],[68.26153846 18.73846154] ; [33.73846154  9.26153846],0
p5,1,0.214459,1.541064,[19 66] ; [ 6 39],[16.34615385 68.65384615] ; [ 8.65384615 36.34615385],0
r4,1,0.247001,1.340188,[78  9] ; [38  8],[75.87969925 11.12030075] ; [40.12030075  5.87969925],0
d1,1,0.288326,1.127423,[50 37] ; [22 24],[47.09774436 39.90225564] ; [24.90225564 21.09774436],0
n3,1,0.319806,0.989741,[11  4] ; [6 5],[9.80769231 5.19230769] ; [7.19230769 3.80769231],0
s3,1,0.322222,0.979906,[49 34] ; [23 23],[46.3255814 36.6744186] ; [25.6744186 20.3255814],0
a3,1,0.359053,0.841203,[61 26] ; [28 17],[58.65909091 28.34090909] ; [30.34090909 14.65909091],0
p2,1,0.385946,0.751677,[73 12] ; [36  9],[71.26923077 13.73076923] ; [37.73076923  7.26923077],0
p8,1,0.390198,0.738324,[44 40] ; [20 25],[41.6744186 42.3255814] ; [22.3255814 22.6744186],0
u3,1,0.447425,0.577166,[16 10] ; [9 9],[14.77272727 11.22727273] ; [10.22727273  7.77272727],0
d4,1,0.456733,0.55389,[76 11] ; [38  8],[74.57142857 12.42857143] ; [39.42857143  6.57142857],0
s4,1,0.475203,0.509851,[19 65] ; [13 33],[20.67692308 63.32307692] ; [11.32307692 34.67692308],0
d2,1,0.535097,0.384702,[40 46] ; [24 22],[41.6969697 44.3030303] ; [22.3030303 23.6969697],0
v1,1,0.580921,0.304748,[42 45] ; [19 25],[40.51145038 46.48854962] ; [20.48854962 23.51145038],0
b3,1,0.635837,0.224228,[16 33] ; [11 18],[16.96153846 32.03846154] ; [10.03846154 18.96153846],0
b2,1,0.635837,0.224228,[16 33] ; [11 18],[16.96153846 32.03846154] ; [10.03846154 18.96153846],0
n5,1,0.667133,0.184974,[58 28] ; [32 13],[59.08396947 26.91603053] ; [30.91603053 14.08396947],0
p11,1,0.668495,0.183368,[69 18] ; [35 11],[68.03007519 18.96992481] ; [35.96992481 10.03007519],0
p6,1,0.708442,0.139838,[30 55] ; [17 27],[30.96899225 54.03100775] ; [16.03100775 27.96899225],0
n4,1,0.729425,0.11964,[63 24] ; [32 14],[62.14285714 24.85714286] ; [32.85714286 13.14285714],0
p1,1,0.729614,0.119467,[11 74] ; [ 5 41],[10.38167939 74.61832061] ; [ 5.61832061 40.38167939],0
b4,1,0.733909,0.115553,[58 29] ; [32 14],[58.87218045 28.12781955] ; [31.12781955 14.87218045],0
