Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,39.428571,[36 10] ; [ 6 40],[21. 25.] ; [21. 25.],1
s7,1,0.000103,15.084021,[22 23] ; [ 4 36],[13.76470588 31.23529412] ; [12.23529412 27.76470588],1
s2,1,0.003236,8.669231,[27 19] ; [13 33],[20. 26.] ; [20. 26.],0
p2,1,0.006095,7.522013,[33 13] ; [20 26],[26.5 19.5] ; [26.5 19.5],0
s8,1,0.013286,6.130596,[15 31] ; [ 5 40],[10.10989011 35.89010989] ; [ 9.89010989 35.10989011],0
s5,1,0.014055,6.03128,[16 25] ; [ 7 38],[10.96511628 30.03488372] ; [12.03488372 32.96511628],0
a7,1,0.016255,5.775025,[36  9] ; [26 20],[30.65934066 14.34065934] ; [31.34065934 14.65934066],0
v4,1,0.027773,4.842105,[42  4] ; [34 12],[38.  8.] ; [38.  8.],0
r2,1,0.042927,4.098278,[42  4] ; [34 11],[38.41758242  7.58241758] ; [37.58241758  7.41758242],0
s6,1,0.046689,3.956543,[29 17] ; [19 26],[24.26373626 21.73626374] ; [23.73626374 21.26373626],0
d3,1,0.050801,3.814833,[35 10] ; [27 19],[30.65934066 14.34065934] ; [31.34065934 14.65934066],0
b5,1,0.087453,2.920635,[32 14] ; [24 22],[28. 18.] ; [28. 18.],0
s3,1,0.090969,2.857143,[25 20] ; [17 28],[21. 24.] ; [21. 24.],0
b1,1,0.095293,2.782609,[19 27] ; [27 19],[23. 23.] ; [23. 23.],0
s4,1,0.164751,1.93007,[16 30] ; [10 36],[13. 33.] ; [13. 33.],0
r4,1,0.18207,1.780645,[34 12] ; [28 18],[31. 15.] ; [31. 15.],0
p6,1,0.19654,1.667902,[12 33] ; [ 7 38],[ 9.5 35.5] ; [ 9.5 35.5],0
a6,1,0.203926,1.614035,[30 16] ; [24 22],[27. 19.] ; [27. 19.],0
p7,1,0.203926,1.614035,[22 24] ; [16 30],[19. 27.] ; [19. 27.],0
p1,1,0.226076,1.465378,[ 5 40] ; [ 2 44],[ 3.46153846 41.53846154] ; [ 3.53846154 42.46153846],0
n3,1,0.237867,1.393189,[13  4] ; [11  8],[11.33333333  5.66666667] ; [12.66666667  6.33333333],0
r3,1,0.245631,1.347985,[41  5] ; [37  9],[39.  7.] ; [39.  7.],0
u2,1,0.295971,1.09226,[10  6] ; [ 9 11],[8.44444444 7.55555556] ; [10.55555556  9.44444444],0
v1,1,0.334268,0.932293,[17 28] ; [13 33],[14.83516484 30.16483516] ; [15.16483516 30.83516484],0
n6,1,0.346926,0.884669,[24 21] ; [20 26],[21.75824176 23.24175824] ; [22.24175824 23.75824176],0
d1,1,0.402464,0.700952,[27 19] ; [23 23],[25. 21.] ; [25. 21.],0
p4,1,0.439662,0.597164,[16 29] ; [20 26],[17.8021978 27.1978022] ; [18.1978022 27.8021978],0
s1,1,0.459292,0.547619,[ 3 43] ; [ 5 41],[ 4. 42.] ; [ 4. 42.],0
p3,1,0.463402,0.537665,[15 31] ; [18 27],[16.68131868 29.31868132] ; [16.31868132 28.68131868],0
u1,1,0.502915,0.44878,[ 6 40] ; [ 4 42],[ 5. 41.] ; [ 5. 41.],0
n1,1,0.509151,0.435812,[ 4 13] ; [ 3 17],[ 3.21621622 13.78378378] ; [ 3.78378378 16.21621622],0
a1,1,0.557204,0.344569,[ 2 44] ; [ 1 45],[ 1.5 44.5] ; [ 1.5 44.5],0
a3,1,0.579919,0.306365,[28 17] ; [26 20],[26.7032967 18.2967033] ; [27.2967033 18.7032967],0
d4,1,0.582237,0.302632,[39  7] ; [37  9],[38.  8.] ; [38.  8.],0
n4,1,0.650431,0.205357,[13 33] ; [15 31],[14. 32.] ; [14. 32.],0
r1,1,0.661533,0.191667,[29 17] ; [31 15],[30. 16.] ; [30. 16.],0
d2,1,0.676369,0.174242,[21 25] ; [23 23],[22. 24.] ; [22. 24.],0
v2,1,0.696794,0.151829,[20 22] ; [20 26],[19.09090909 22.90909091] ; [20.90909091 25.09090909],0
b2,1,0.734777,0.114771,[ 4 13] ; [ 5 21],[ 3.55813953 13.44186047] ; [ 5.44186047 20.55813953],0
b3,1,0.734777,0.114771,[ 4 13] ; [ 5 21],[ 3.55813953 13.44186047] ; [ 5.44186047 20.55813953],0
a2,1,0.788222,0.072157,[ 8 38] ; [ 9 37],[ 8.5 37.5] ; [ 8.5 37.5],0
n2,1,0.815019,0.054736,[10  7] ; [11  9],[9.64864865 7.35135135] ; [11.35135135  8.64864865],0
b4,1,0.83162,0.045209,[28 18] ; [27 19],[27.5 18.5] ; [27.5 18.5],0
d5,1,0.848211,0.036634,[35 10] ; [35 11],[34.61538462 10.38461538] ; [35.38461538 10.61538462],0
p8,1,0.871775,0.026051,[13 32] ; [14 32],[13.35164835 31.64835165] ; [13.64835165 32.35164835],0
v3,1,0.945754,0.004629,[12 31] ; [12 30],[12.14117647 30.85882353] ; [11.85882353 30.14117647],0
a4,1,1.0,0.0,[18 28] ; [18 28],[18. 28.] ; [18. 28.],0
a5,1,1.0,0.0,[28 18] ; [28 18],[28. 18.] ; [28. 18.],0
u3,1,1.0,0.0,[8 8] ; [10 10],[8. 8.] ; [10. 10.],0
