Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6e-06,20.387132,[25 32] ; [ 9 75],[13.74468085 43.25531915] ; [20.25531915 63.74468085],1
p8,1,5.5e-05,16.252057,[25 31] ; [12 73],[14.69503546 41.30496454] ; [22.30496454 62.69503546],1
p2,1,7.8e-05,15.596947,[42 16] ; [33 52],[30.41958042 27.58041958] ; [44.58041958 40.41958042],1
p3,1,0.001478,10.106098,[26 32] ; [17 68],[17.44055944 40.55944056] ; [25.55944056 59.44055944],0
r3,1,0.003367,8.59721,[50  7] ; [56 29],[42.54929577 14.45070423] ; [63.45070423 21.54929577],0
r4,1,0.003462,8.54631,[47 11] ; [49 36],[38.93706294 19.06293706] ; [57.06293706 27.93706294],0
s3,1,0.00784,7.069583,[34 23] ; [31 53],[26.27659574 30.72340426] ; [38.72340426 45.27659574],0
n3,1,0.009862,6.659572,[16  4] ; [19 23],[11.29032258  8.70967742] ; [23.70967742 18.29032258],0
p10,1,0.011524,6.382632,[33 25] ; [29 53],[25.68571429 32.31428571] ; [36.31428571 45.68571429],0
p9,1,0.019986,5.413156,[37 21] ; [35 45],[30.26086957 27.73913043] ; [41.73913043 38.26086957],0
v4,1,0.024168,5.082502,[51  6] ; [63 22],[45.76056338 11.23943662] ; [68.23943662 16.76056338],0
p4,1,0.029392,4.7445,[28 29] ; [26 58],[21.82978723 35.17021277] ; [32.17021277 51.82978723],0
s2,1,0.032174,4.589214,[28 30] ; [26 59],[21.9020979 36.0979021] ; [32.0979021 52.9020979],0
a1,1,0.041271,4.164859,[ 1 57] ; [ 9 76],[ 4.05594406 53.94405594] ; [ 5.94405594 79.05594406],0
s6,1,0.046797,3.952672,[33 25] ; [34 51],[27.17482517 30.82517483] ; [39.82517483 45.17482517],0
b4,1,0.053872,3.716646,[26 32] ; [52 33],[31.63636364 26.36363636] ; [46.36363636 38.63636364],0
u2,1,0.084293,2.980117,[11  8] ; [11 22],[ 8.03846154 10.96153846] ; [13.96153846 19.03846154],0
n6,1,0.085043,2.965797,[41 17] ; [48 37],[36.0979021 21.9020979] ; [52.9020979 32.0979021],0
a6,1,0.103764,2.646718,[38 19] ; [45 40],[33.31690141 23.68309859] ; [49.68309859 35.31690141],0
r2,1,0.118313,2.439513,[51  6] ; [66 17],[47.63571429  9.36428571] ; [69.36428571 13.63571429],0
u3,1,0.186011,1.748931,[10  8] ; [12 21],[ 7.76470588 10.23529412] ; [14.23529412 18.76470588],0
n2,1,0.208211,1.583821,[14  6] ; [24 21],[11.69230769  8.30769231] ; [26.30769231 18.69230769],0
b5,1,0.221516,1.494525,[38 20] ; [47 38],[34.47552448 23.52447552] ; [50.52447552 34.47552448],0
a8,1,0.272965,1.201787,[ 6 46] ; [ 5 76],[ 4.30075188 47.69924812] ; [ 6.69924812 74.30075188],0
a5,1,0.277963,1.177025,[38 20] ; [48 37],[34.88111888 23.11888112] ; [51.11888112 33.88111888],0
p1,1,0.350237,0.8726,[ 3 55] ; [ 8 77],[ 4.46153846 53.53846154] ; [ 6.53846154 78.46153846],0
s5,1,0.363057,0.827292,[15 42] ; [16 65],[12.80434783 44.19565217] ; [18.19565217 62.80434783],0
s4,1,0.408884,0.682043,[15 43] ; [17 68],[12.97902098 45.02097902] ; [19.02097902 65.97902098],0
b3,1,0.436349,0.605864,[ 8 20] ; [19 32],[ 9.56962025 18.43037975] ; [17.43037975 33.56962025],0
b2,1,0.436349,0.605864,[ 8 20] ; [19 32],[ 9.56962025 18.43037975] ; [17.43037975 33.56962025],0
s1,1,0.480703,0.497269,[ 3 55] ; [ 7 78],[ 4.05594406 53.94405594] ; [ 5.94405594 79.05594406],0
d2,1,0.559082,0.341296,[30 27] ; [40 44],[28.29787234 28.70212766] ; [41.70212766 42.29787234],0
v2,1,0.604686,0.267987,[19 35] ; [26 58],[17.60869565 36.39130435] ; [27.39130435 56.60869565],0
d3,1,0.623706,0.240693,[34 21] ; [49 36],[32.60714286 22.39285714] ; [50.39285714 34.60714286],0
a3,1,0.660503,0.192913,[38 20] ; [52 32],[36.76056338 21.23943662] ; [53.23943662 30.76056338],0
a7,1,0.70122,0.147205,[38 19] ; [54 31],[36.92957746 20.07042254] ; [55.07042254 29.92957746],0
d5,1,0.724739,0.123997,[40 16] ; [63 22],[40.90780142 15.09219858] ; [62.09219858 22.90780142],0
p5,1,0.72814,0.120826,[ 2 55] ; [ 4 81],[ 2.4084507 54.5915493] ; [ 3.5915493 81.4084507],0
r1,1,0.74756,0.103593,[36 22] ; [55 30],[36.90909091 21.09090909] ; [54.09090909 30.90909091],0
n1,1,0.762027,0.0917,[ 7 12] ; [18 26],[ 7.53968254 11.46031746] ; [17.46031746 26.53968254],0
s7,1,0.819169,0.052264,[18 35] ; [25 53],[17.39694656 35.60305344] ; [25.60305344 52.39694656],0
b1,1,0.827693,0.047377,[31 27] ; [47 38],[31.63636364 26.36363636] ; [46.36363636 38.63636364],0
d1,1,0.835793,0.042964,[29 29] ; [41 44],[28.39160839 29.60839161] ; [41.60839161 43.39160839],0
d4,1,0.844239,0.038602,[40 16] ; [62 23],[40.5106383 15.4893617] ; [61.4893617 23.5106383],0
a4,1,0.851214,0.035182,[23 35] ; [32 52],[22.46478873 35.53521127] ; [32.53521127 51.46478873],0
n4,1,0.855645,0.033095,[35 23] ; [50 35],[34.47552448 23.52447552] ; [50.52447552 34.47552448],0
n5,1,0.877976,0.023573,[32 26] ; [48 37],[32.44755245 25.55244755] ; [47.55244755 37.44755245],0
u1,1,0.882841,0.021718,[ 8 50] ; [11 74],[ 7.70629371 50.29370629] ; [11.29370629 73.70629371],0
s8,1,0.938175,0.006016,[14 44] ; [21 64],[14.1958042 43.8041958] ; [20.8041958 64.1958042],0
v3,1,0.967205,0.00169,[14 42] ; [20 61],[13.89781022 42.10218978] ; [20.10218978 60.89781022],0
a2,1,0.983004,0.000454,[11 47] ; [16 69],[10.95104895 47.04895105] ; [16.04895105 68.95104895],0
