Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.8e-05,17.55305,[32 73] ; [19  6],[41.19230769 63.80769231] ; [ 9.80769231 15.19230769],1
n5,1,0.00862,6.9,[78 30] ; [14 16],[72. 36.] ; [20. 10.],0
s2,1,0.023216,5.15228,[59 51] ; [23  7],[64.42857143 45.57142857] ; [17.57142857 12.42857143],0
d3,1,0.026528,4.921251,[70 38] ; [25  4],[74.89051095 33.10948905] ; [20.10948905  8.89051095],0
n1,1,0.034877,4.451201,[19 18] ; [ 2 10],[15.85714286 21.14285714] ; [5.14285714 6.85714286],0
d5,1,0.035753,4.408867,[82 27] ; [27  2],[86.0942029 22.9057971] ; [22.9057971  6.0942029],0
n4,1,0.079913,3.066667,[76 32] ; [16 14],[72. 36.] ; [20. 10.],0
s6,1,0.083708,2.9914,[71 38] ; [23  5],[74.78832117 34.21167883] ; [19.21167883  8.78832117],0
n3,1,0.109504,2.561367,[26 12] ; [11  1],[28.12  9.88] ; [8.88 3.12],0
d2,1,0.129456,2.299014,[52 57] ; [19 11],[55.67625899 53.32374101] ; [15.32374101 14.67625899],0
a5,1,0.151242,2.059676,[73 37] ; [24  6],[76.21428571 33.78571429] ; [20.78571429  9.21428571],0
v1,1,0.153342,2.038684,[56 53] ; [11 19],[52.53956835 56.46043165] ; [14.46043165 15.53956835],0
b1,1,0.194701,1.681682,[55 55] ; [11 19],[51.85714286 58.14285714] ; [14.14285714 15.85714286],0
p6,1,0.200451,1.639083,[37 72] ; [14 16],[39.99280576 69.00719424] ; [11.00719424 18.99280576],0
v3,1,0.235832,1.405335,[38 68] ; [ 7 22],[35.33333333 70.66666667] ; [ 9.66666667 19.33333333],0
r4,1,0.241559,1.371473,[89 21] ; [27  3],[91.14285714 18.85714286] ; [24.85714286  5.14285714],0
a8,1,0.250889,1.318346,[15 81] ; [ 2 26],[13.16129032 82.83870968] ; [ 3.83870968 24.16129032],0
s8,1,0.260375,1.266762,[46 64] ; [16 14],[48.71428571 61.28571429] ; [13.28571429 16.71428571],0
a3,1,0.282121,1.156845,[71 36] ; [23  7],[73.41605839 33.58394161] ; [20.58394161  9.41605839],0
s3,1,0.316195,1.004621,[61 47] ; [20 10],[63.39130435 44.60869565] ; [17.60869565 12.39130435],0
r3,1,0.32439,0.971163,[95 15] ; [27  2],[96.54676259 13.45323741] ; [25.45323741  3.54676259],0
d1,1,0.343234,0.898313,[59 51] ; [19 11],[61.28571429 48.71428571] ; [16.71428571 13.28571429],0
p10,1,0.350453,0.871816,[82 27] ; [25  5],[83.90647482 25.09352518] ; [23.09352518  6.90647482],0
p2,1,0.362908,0.827805,[85 24] ; [21  9],[83.12230216 25.87769784] ; [22.87769784  7.12230216],0
p7,1,0.378405,0.775876,[55 53] ; [18 12],[57.13043478 50.86956522] ; [15.86956522 14.13043478],0
v2,1,0.392904,0.729935,[49 57] ; [16 13],[51.03703704 54.96296296] ; [13.96296296 15.03703704],0
a7,1,0.416735,0.659505,[79 31] ; [23  6],[80.71942446 29.28057554] ; [21.28057554  7.71942446],0
a2,1,0.419156,0.652681,[30 80] ; [ 6 24],[28.28571429 81.71428571] ; [ 7.71428571 22.28571429],0
b5,1,0.425271,0.635703,[78 32] ; [19 11],[76.21428571 33.78571429] ; [20.78571429  9.21428571],0
p1,1,0.502682,0.449269,[10 99] ; [ 4 26],[10.97841727 98.02158273] ; [ 3.02158273 26.97841727],0
s7,1,0.516445,0.420986,[56 48] ; [17 11],[57.51515152 46.48484848] ; [15.48484848 12.51515152],0
d4,1,0.522942,0.408087,[85 24] ; [25  5],[86.25899281 22.74100719] ; [23.74100719  6.25899281],0
a4,1,0.525266,0.403541,[51 58] ; [16 14],[52.53956835 56.46043165] ; [14.46043165 15.53956835],0
u3,1,0.586526,0.295802,[20 17] ; [3 4],[19.34090909 17.65909091] ; [3.65909091 3.34090909],0
a6,1,0.602297,0.271545,[67 42] ; [20 10],[68.22302158 40.77697842] ; [18.77697842 11.22302158],0
p8,1,0.618113,0.248528,[38 71] ; [ 9 21],[36.85611511 72.14388489] ; [10.14388489 19.85611511],0
b4,1,0.634309,0.226263,[64 46] ; [16 14],[62.85714286 47.14285714] ; [17.14285714 12.85714286],0
r1,1,0.636065,0.223925,[81 28] ; [21  9],[79.98561151 29.01438849] ; [22.01438849  7.98561151],0
v4,1,0.674166,0.176768,[100  10] ; [28  2],[100.57142857   9.42857143] ; [27.42857143  2.57142857],0
n6,1,0.678468,0.171855,[78 29] ; [23  7],[78.88321168 28.11678832] ; [22.11678832  7.88321168],0
u1,1,0.729549,0.119526,[19 91] ; [ 6 24],[19.64285714 90.35714286] ; [ 5.35714286 24.64285714],0
p5,1,0.763388,0.090622,[  9 100] ; [ 3 27],[ 9.41007194 99.58992806] ; [ 2.58992806 27.41007194],0
p3,1,0.769886,0.08557,[44 65] ; [13 17],[44.69784173 64.30215827] ; [12.30215827 17.69784173],0
n2,1,0.790627,0.070489,[27 11] ; [9 3],[27.36 10.64] ; [8.64 3.36],0
b2,1,0.838057,0.041771,[17 39] ; [3 8],[16.71641791 39.28358209] ; [3.28358209 7.71641791],0
b3,1,0.838057,0.041771,[17 39] ; [3 8],[16.71641791 39.28358209] ; [3.28358209 7.71641791],0
p4,1,0.849324,0.036093,[56 53] ; [16 14],[56.46043165 52.53956835] ; [15.53956835 14.46043165],0
p12,1,0.936811,0.006285,[  4 106] ; [ 1 29],[  3.92857143 106.07142857] ; [ 1.07142857 28.92857143],0
u2,1,0.984912,0.000358,[16 21] ; [3 4],[15.97727273 21.02272727] ; [3.02272727 3.97727273],0
