Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.9e-05,17.475525,[ 6 86] ; [17 34],[14.7972028 77.2027972] ; [ 8.2027972 42.7972028],1
s7,1,0.000792,11.260736,[10 77] ; [18 33],[17.65217391 69.34782609] ; [10.34782609 40.65217391],1
p3,1,0.001676,9.87468,[20 72] ; [24 27],[28.30769231 63.69230769] ; [15.69230769 35.30769231],0
v3,1,0.008791,6.864801,[15 74] ; [18 31],[21.2826087 67.7173913] ; [11.7173913 37.2826087],0
r4,1,0.011811,6.338981,[60 33] ; [43  8],[66.52083333 26.47916667] ; [36.47916667 14.52083333],0
s8,1,0.013242,6.136549,[ 8 85] ; [12 39],[12.91666667 80.08333333] ; [ 7.08333333 43.91666667],0
v1,1,0.018663,5.532792,[26 66] ; [24 26],[32.3943662 59.6056338] ; [17.6056338 32.3943662],0
r2,1,0.02063,5.357802,[71 22] ; [46  4],[76.09090909 16.90909091] ; [40.90909091  9.09090909],0
s3,1,0.023452,5.134694,[15 78] ; [16 33],[20.3028169 72.6971831] ; [10.6971831 38.3028169],0
s4,1,0.024293,5.073594,[ 9 84] ; [12 39],[13.5625 79.4375] ; [ 7.4375 43.5625],0
p8,1,0.034616,4.464018,[32 60] ; [27 24],[37.95804196 54.04195804] ; [21.04195804 29.95804196],0
r3,1,0.035384,4.426565,[73 20] ; [47  4],[77.5 15.5] ; [42.5  8.5],0
a6,1,0.046916,3.948387,[46 47] ; [34 17],[51.66666667 41.33333333] ; [28.33333333 22.66666667],0
v2,1,0.053235,3.736512,[33 56] ; [27 23],[38.41726619 50.58273381] ; [21.58273381 28.41726619],0
p10,1,0.057431,3.610062,[50 42] ; [36 15],[55.32867133 36.67132867] ; [30.67132867 20.32867133],0
p9,1,0.091049,2.855734,[57 34] ; [39 12],[61.52112676 29.47887324] ; [34.47887324 16.52112676],0
a7,1,0.108757,2.572186,[59 34] ; [39 12],[63.29166667 29.70833333] ; [34.70833333 16.29166667],0
p4,1,0.115631,2.475527,[31 61] ; [24 27],[35.38461538 56.61538462] ; [19.61538462 31.38461538],0
a5,1,0.121683,2.395525,[44 49] ; [31 20],[48.4375 44.5625] ; [26.5625 24.4375],0
d3,1,0.125126,2.351954,[53 39] ; [36 15],[57.25874126 34.74125874] ; [31.74125874 19.25874126],0
p7,1,0.12615,2.339252,[41 51] ; [29 21],[45.35211268 46.64788732] ; [24.64788732 25.35211268],0
b1,1,0.135694,2.226127,[41 52] ; [16 35],[36.8125 56.1875] ; [20.1875 30.8125],0
n6,1,0.137638,2.204175,[54 39] ; [36 15],[58.125 34.875] ; [31.875 19.125],0
u1,1,0.191999,1.702214,[ 4 89] ; [ 5 46],[ 5.8125 87.1875] ; [ 3.1875 47.8125],0
a2,1,0.195774,1.673624,[ 8 85] ; [ 8 43],[10.33333333 82.66666667] ; [ 5.66666667 45.33333333],0
p2,1,0.198441,1.653811,[61 32] ; [38 12],[64.38461538 28.61538462] ; [34.61538462 15.38461538],0
p11,1,0.215184,1.536202,[56 37] ; [36 15],[59.41666667 33.58333333] ; [32.58333333 18.41666667],0
r1,1,0.217386,1.521542,[58 35] ; [37 14],[61.35416667 31.64583333] ; [33.64583333 17.35416667],0
d1,1,0.219211,1.50953,[34 59] ; [24 27],[37.45833333 55.54166667] ; [20.54166667 30.45833333],0
b5,1,0.231129,1.433901,[57 36] ; [26 25],[53.60416667 39.39583333] ; [29.39583333 21.60416667],0
d5,1,0.267485,1.229602,[59 34] ; [37 14],[62. 31.] ; [34. 17.],0
n2,1,0.283679,1.149381,[21 17] ; [12  5],[22.8 15.2] ; [10.2  6.8],0
