Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,2.7e-05,17.610059,[22  4] ; [ 9 22],[14.14035088 11.85964912] ; [16.85964912 14.14035088],1
d2,1,0.0004,12.53084,[16 10] ; [ 5 26],[ 9.57894737 16.42105263] ; [11.42105263 19.57894737],1
d3,1,0.000419,12.446149,[24  2] ; [14 15],[17.96363636  8.03636364] ; [20.03636364  8.96363636],1
s5,1,0.00313,8.72996,[15 10] ; [ 6 23],[ 9.72222222 15.27777778] ; [11.27777778 17.72222222],0
s8,1,0.008542,6.916239,[16 10] ; [ 8 22],[11.14285714 14.85714286] ; [12.85714286 17.14285714],0
a2,1,0.010305,6.581433,[ 7 19] ; [ 1 30],[ 3.64912281 22.35087719] ; [ 4.35087719 26.64912281],0
p9,1,0.012749,6.203543,[24  2] ; [20 11],[20.07017544  5.92982456] ; [23.92982456  7.07017544],0
a4,1,0.014526,5.973093,[15 11] ; [ 8 23],[10.49122807 15.50877193] ; [12.50877193 18.49122807],0
a3,1,0.018279,5.569257,[19  7] ; [13 18],[14.59649123 11.40350877] ; [17.40350877 13.59649123],0
p1,1,0.019449,5.460645,[ 6 19] ; [ 1 30],[ 3.125 21.875] ; [ 3.875 27.125],0
u1,1,0.022945,5.172634,[ 6 20] ; [ 1 30],[ 3.19298246 22.80701754] ; [ 3.80701754 27.19298246],0
s6,1,0.023723,5.114739,[21  5] ; [15 14],[17.01818182  8.98181818] ; [18.98181818 10.01818182],0
v3,1,0.033216,4.534622,[ 7 18] ; [ 2 28],[ 4.09090909 20.90909091] ; [ 4.90909091 25.09090909],0
v1,1,0.036759,4.361538,[15 11] ; [ 9 21],[11.14285714 14.85714286] ; [12.85714286 17.14285714],0
p4,1,0.038597,4.278536,[21  5] ; [17 14],[17.33333333  8.66666667] ; [20.66666667 10.33333333],0
r4,1,0.042012,4.134721,[24  2] ; [22  9],[20.98245614  5.01754386] ; [25.01754386  5.98245614],0
s3,1,0.085951,2.948624,[16 10] ; [12 19],[12.77192982 13.22807018] ; [15.22807018 15.77192982],0
b1,1,0.085951,2.948624,[10 16] ; [19 12],[13.22807018 12.77192982] ; [15.77192982 15.22807018],0
p10,1,0.086092,2.945977,[22  4] ; [20 11],[19.15789474  6.84210526] ; [22.84210526  8.15789474],0
r1,1,0.097328,2.748788,[19  7] ; [16 15],[15.96491228 10.03508772] ; [19.03508772 11.96491228],0
u3,1,0.101707,2.678571,[6 1] ; [9 9],[4.2 2.8] ; [10.8  7.2],0
r2,1,0.132317,2.265107,[25  1] ; [26  5],[23.26315789  2.73684211] ; [27.73684211  3.26315789],0
p3,1,0.140343,2.174192,[16 10] ; [13 18],[13.22807018 12.77192982] ; [15.77192982 15.22807018],0
s7,1,0.164071,1.936303,[14 12] ; [11 20],[11.40350877 14.59649123] ; [13.59649123 17.40350877],0
v2,1,0.178934,1.806452,[15 10] ; [13 18],[12.5 12.5] ; [15.5 15.5],0
n3,1,0.205903,1.6,[6 6] ; [9 3],[7.5 4.5] ; [7.5 4.5],0
b4,1,0.217429,1.521257,[16 10] ; [14 17],[13.68421053 12.31578947] ; [16.31578947 14.68421053],0
b3,1,0.226398,1.463348,[8 8] ; [ 5 12],[6.3030303 9.6969697] ; [ 6.6969697 10.3030303],0
b2,1,0.226398,1.463348,[8 8] ; [ 5 12],[6.3030303 9.6969697] ; [ 6.6969697 10.3030303],0
p5,1,0.228611,1.44948,[ 1 25] ; [ 4 27],[ 2.28070175 23.71929825] ; [ 2.71929825 28.28070175],0
s4,1,0.283113,1.152087,[12 14] ; [10 21],[10.03508772 15.96491228] ; [11.96491228 19.03508772],0
a6,1,0.294228,1.100172,[17  9] ; [16 15],[15.05263158 10.94736842] ; [17.94736842 13.05263158],0
p7,1,0.294909,1.097074,[20  5] ; [27  3],[21.36363636  3.63636364] ; [25.63636364  4.36363636],0
u2,1,0.340904,0.907029,[6 1] ; [12  6],[5.04 1.96] ; [12.96  5.04],0
p8,1,0.34711,0.883995,[19  7] ; [19 12],[17.33333333  8.66666667] ; [20.66666667 10.33333333],0
v4,1,0.390661,0.736885,[25  1] ; [28  3],[24.1754386  1.8245614] ; [28.8245614  2.1754386],0
a1,1,0.390661,0.736885,[ 1 25] ; [ 3 28],[ 1.8245614 24.1754386] ; [ 2.1754386 28.8245614],0
r3,1,0.390661,0.736885,[25  1] ; [28  3],[24.1754386  1.8245614] ; [28.8245614  2.1754386],0
n6,1,0.539136,0.377143,[17  8] ; [18 12],[15.90909091  9.09090909] ; [19.09090909 10.90909091],0
n2,1,0.615228,0.252632,[10  2] ; [9 3],[9.5 2.5] ; [9.5 2.5],0
a7,1,0.734664,0.114872,[18  8] ; [22  8],[18.57142857  7.42857143] ; [21.42857143  8.57142857],0
s2,1,0.79003,0.0709,[16 10] ; [18 13],[15.50877193 10.49122807] ; [18.49122807 12.50877193],0
p12,1,0.791874,0.069632,[ 2 24] ; [ 3 28],[ 2.28070175 23.71929825] ; [ 2.71929825 28.28070175],0
p11,1,0.859894,0.031155,[19  7] ; [22  9],[18.70175439  7.29824561] ; [22.29824561  8.70175439],0
b5,1,0.88647,0.020384,[18  8] ; [22  9],[18.24561404  7.75438596] ; [21.75438596  9.24561404],0
s1,1,0.899116,0.016073,[ 1 25] ; [ 1 30],[ 0.9122807 25.0877193] ; [ 1.0877193 29.9122807],0
n5,1,0.906413,0.013821,[10 16] ; [12 18],[10.21428571 15.78571429] ; [11.78571429 18.21428571],0
p2,1,0.964524,0.001978,[20  6] ; [24  7],[20.07017544  5.92982456] ; [23.92982456  7.07017544],0
n1,1,1.0,0.0,[5 7] ; [5 7],[5. 7.] ; [5. 7.],0
