Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,6e-06,20.487755,[5 3] ; [ 11 114],[0.96240602 7.03759398] ; [ 15.03759398 109.96240602],1
p8,1,0.002207,9.3686,[5 3] ; [ 22 103],[1.62406015 6.37593985] ; [25.37593985 99.62406015],0
s8,1,0.004536,8.05561,[6 2] ; [34 90],[2.42424242 5.57575758] ; [37.57575758 86.42424242],0
s6,1,0.021318,5.300622,[7 1] ; [56 67],[3.84732824 4.15267176] ; [59.15267176 63.84732824],0
p9,1,0.0357,4.41136,[7 1] ; [58 60],[4.12698413 3.87301587] ; [60.87301587 57.12698413],0
p4,1,0.036867,4.356553,[5 2] ; [41 84],[2.43939394 4.56060606] ; [43.56060606 81.43939394],0
p12,1,0.045218,4.010503,[1 7] ; [  2 122],[0.18181818 7.81818182] ; [  2.81818182 121.18181818],0
s3,1,0.057045,3.621265,[6 2] ; [50 73],[3.41984733 4.58015267] ; [52.58015267 70.41984733],0
n5,1,0.067213,3.349796,[7 1] ; [68 57],[4.5112782 3.4887218] ; [70.4887218 54.5112782],0
p3,1,0.092018,2.83871,[4 4] ; [29 95],[2. 6.] ; [31. 93.],0
p10,1,0.097192,2.751022,[5 2] ; [48 73],[2.8984375 4.1015625] ; [50.1015625 70.8984375],0
s1,1,0.106321,2.608065,[2 6] ; [ 10 114],[0.72727273 7.27272727] ; [ 11.27272727 112.72727273],0
v2,1,0.125165,2.351472,[1 7] ; [48 73],[3.03875969 4.96124031] ; [45.96124031 75.03875969],0
p2,1,0.127268,2.325514,[6 2] ; [59 66],[3.90977444 4.09022556] ; [61.09022556 63.90977444],0
r4,1,0.140948,2.167583,[7 1] ; [77 48],[5.05263158 2.94736842] ; [78.94736842 46.05263158],0
d3,1,0.151836,2.053709,[7 1] ; [78 47],[5.11278195 2.88721805] ; [79.88721805 45.11278195],0
s7,1,0.161662,1.958613,[5 3] ; [42 70],[3.13333333 4.86666667] ; [43.86666667 68.13333333],0
s2,1,0.200015,1.642266,[5 3] ; [49 75],[3.27272727 4.72727273] ; [50.72727273 73.27272727],0
a7,1,0.201854,1.62891,[7 1] ; [82 43],[5.35338346 2.64661654] ; [83.64661654 41.35338346],0
s5,1,0.254863,1.296446,[3 4] ; [28 90],[1.736 5.264] ; [29.264 88.736],0
a8,1,0.316523,1.003261,[1 6] ; [  6 109],[0.40163934 6.59836066] ; [  6.59836066 108.40163934],0
u1,1,0.328117,0.956315,[2 6] ; [ 16 109],[1.08270677 6.91729323] ; [ 16.91729323 108.08270677],0
a6,1,0.330047,0.948715,[3 5] ; [69 56],[4.33082707 3.66917293] ; [67.66917293 57.33082707],0
v1,1,0.380359,0.769543,[4 4] ; [43 81],[2.84848485 5.15151515] ; [44.15151515 79.84848485],0
b2,1,0.381789,0.764932,[1 4] ; [27 41],[1.91780822 3.08219178] ; [26.08219178 41.91780822],0
b3,1,0.381789,0.764932,[1 4] ; [27 41],[1.91780822 3.08219178] ; [26.08219178 41.91780822],0
d2,1,0.413147,0.669725,[5 3] ; [59 65],[3.87878788 4.12121212] ; [60.12121212 63.87878788],0
d4,1,0.430093,0.622573,[7 1] ; [94 31],[6.07518797 1.92481203] ; [94.92481203 30.07518797],0
u3,1,0.44008,0.596074,[1 3] ; [22 27],[1.73584906 2.26415094] ; [21.26415094 27.73584906],0
a3,1,0.507573,0.439068,[4 4] ; [76 47],[4.88549618 3.11450382] ; [75.11450382 47.88549618],0
d1,1,0.535166,0.384574,[5 3] ; [64 61],[4.15037594 3.84962406] ; [64.84962406 60.15037594],0
a2,1,0.540498,0.374617,[1 7] ; [27 98],[1.68421053 6.31578947] ; [26.31578947 98.68421053],0
r1,1,0.585918,0.296765,[6 2] ; [82 43],[5.29323308 2.70676692] ; [82.70676692 42.29323308],0
s4,1,0.597439,0.278875,[1 7] ; [25 99],[1.57575758 6.42424242] ; [24.42424242 99.57575758],0
v3,1,0.64013,0.218573,[3 5] ; [35 83],[2.41269841 5.58730159] ; [35.58730159 82.41269841],0
n3,1,0.640918,0.217544,[2 3] ; [29 28],[2.5 2.5] ; [28.5 28.5],0
u2,1,0.683322,0.166411,[2 2] ; [19 29],[1.61538462 2.38461538] ; [19.38461538 28.61538462],0
b4,1,0.706915,0.141377,[4 4] ; [71 54],[4.5112782 3.4887218] ; [70.4887218 54.5112782],0
a5,1,0.75213,0.09975,[5 3] ; [71 54],[4.57142857 3.42857143] ; [71.42857143 53.57142857],0
a4,1,0.756824,0.095885,[3 5] ; [53 70],[3.41984733 4.58015267] ; [52.58015267 70.41984733],0
b5,1,0.785519,0.074057,[5 3] ; [72 53],[4.63157895 3.36842105] ; [72.36842105 52.63157895],0
r3,1,0.817586,0.0532,[6 2] ; [89 36],[5.71428571 2.28571429] ; [89.28571429 35.71428571],0
b1,1,0.843138,0.039157,[4 4] ; [67 58],[4.27067669 3.72932331] ; [66.72932331 58.27067669],0
n2,1,0.885014,0.020914,[3 2] ; [34 26],[2.84615385 2.15384615] ; [34.15384615 25.84615385],0
p6,1,0.960153,0.002496,[1 7] ; [ 16 106],[1.04615385 6.95384615] ; [ 15.95384615 106.04615385],0
d5,1,0.98987,0.000161,[6 2] ; [94 31],[6.01503759 1.98496241] ; [93.98496241 31.01503759],0
