Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,62.684777,[15 28] ; [83  2],[32.921875 10.078125] ; [65.078125 19.921875],1
r2,1,0.0,45.571187,[22 21] ; [84  1],[35.609375  7.390625] ; [70.390625 14.609375],1
v4,1,0.0,35.6835,[20 24] ; [77  6],[33.60629921 10.39370079] ; [63.39370079 19.60629921],1
r1,1,0.0,30.68203,[17 27] ; [73 12],[30.69767442 13.30232558] ; [59.30232558 25.69767442],1
p11,1,0.000114,14.896359,[10 35] ; [49 36],[20.42307692 24.57692308] ; [38.57692308 46.42307692],1
u3,1,0.002136,9.428571,[ 5 16] ; [22 11],[10.5 10.5] ; [16.5 16.5],0
s8,1,0.003649,8.450964,[ 2 43] ; [21 63],[ 8.02325581 36.97674419] ; [14.97674419 69.02325581],0
p7,1,0.004019,8.275396,[ 6 38] ; [32 52],[13.0625 30.9375] ; [24.9375 59.0625],0
n6,1,0.005298,7.774774,[20 24] ; [60 25],[27.28682171 16.71317829] ; [52.71317829 32.28682171],0
p4,1,0.009886,6.655291,[ 6 39] ; [29 55],[12.20930233 32.79069767] ; [22.79069767 61.20930233],0
p2,1,0.012304,6.266542,[14 31] ; [46 39],[20.76923077 24.23076923] ; [39.23076923 45.76923077],0
n3,1,0.021258,5.305521,[11 14] ; [21  7],[15.09433962  9.90566038] ; [16.90566038 11.09433962],0
n2,1,0.02383,5.106993,[11 15] ; [21  8],[15.12727273 10.87272727] ; [16.87272727 12.12727273],0
s3,1,0.025265,5.005622,[11 33] ; [38 46],[16.84375 27.15625] ; [32.15625 51.84375],0
s6,1,0.028138,4.819568,[11 34] ; [37 47],[16.74418605 28.25581395] ; [31.25581395 52.74418605],0
a7,1,0.036795,4.359893,[19 24] ; [54 31],[24.5234375 18.4765625] ; [48.4765625 36.5234375],0
s2,1,0.037886,4.310137,[ 7 38] ; [27 56],[11.953125 33.046875] ; [22.046875 60.953125],0
a6,1,0.038915,4.264593,[19 26] ; [52 33],[24.57692308 20.42307692] ; [46.42307692 38.57692308],0
v3,1,0.043482,4.076577,[ 8 36] ; [29 53],[12.92063492 31.07936508] ; [24.07936508 57.92063492],0
u1,1,0.047073,3.942782,[ 2 43] ; [14 71],[ 5.53846154 39.46153846] ; [10.46153846 74.53846154],0
p6,1,0.077031,3.126454,[ 2 41] ; [13 72],[ 5.0390625 37.9609375] ; [ 9.9609375 75.0390625],0
a1,1,0.079051,3.084314,[ 6 39] ; [ 4 81],[ 3.46153846 41.53846154] ; [ 6.53846154 78.46153846],0
p1,1,0.082726,3.010516,[ 6 39] ; [ 4 80],[ 3.48837209 41.51162791] ; [ 6.51162791 77.48837209],0
v1,1,0.099286,2.716978,[11 34] ; [33 52],[15.23076923 29.76923077] ; [28.76923077 56.23076923],0
p3,1,0.120342,2.41286,[ 7 37] ; [24 61],[10.57364341 33.42635659] ; [20.42635659 64.57364341],0
a8,1,0.122149,2.389542,[ 1 41] ; [ 8 71],[ 3.12396694 38.87603306] ; [ 5.87603306 73.12396694],0
a5,1,0.151281,2.059282,[20 25] ; [49 36],[23.88461538 21.11538462] ; [45.11538462 39.88461538],0
s7,1,0.178884,1.806875,[ 7 34] ; [22 56],[ 9.99159664 31.00840336] ; [19.00840336 58.99159664],0
s4,1,0.216269,1.528954,[ 9 36] ; [10 74],[ 6.62790698 38.37209302] ; [12.37209302 71.62790698],0
b2,1,0.252019,1.312075,[13 17] ; [17 38],[10.58823529 19.41176471] ; [19.41176471 35.58823529],0
b3,1,0.252019,1.312075,[13 17] ; [17 38],[10.58823529 19.41176471] ; [19.41176471 35.58823529],0
d5,1,0.265305,1.240863,[28 17] ; [61 24],[30.80769231 14.19230769] ; [58.19230769 26.80769231],0
u2,1,0.289351,1.122639,[ 7 13] ; [16 16],[ 8.84615385 11.15384615] ; [14.15384615 17.84615385],0
a2,1,0.343316,0.898009,[ 6 39] ; [17 68],[ 7.96153846 37.03846154] ; [15.03846154 69.96153846],0
