Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,58.484706,[54 82] ; [260  80],[89.71428571 46.28571429] ; [224.28571429 115.71428571],1
d3,1,0.0,35.475807,[69 67] ; [267  74],[95.79874214 40.20125786] ; [240.20125786 100.79874214],1
a2,1,0.0,27.256094,[ 14 122] ; [116 227],[36.91022965 99.08977035] ; [ 93.08977035 249.91022965],1
u1,1,0.0,25.634359,[ 10 126] ; [ 99 244],[ 30.94780793 105.05219207] ; [ 78.05219207 264.94780793],1
b5,1,0.000101,15.127003,[66 70] ; [232 111],[84.60960334 51.39039666] ; [213.39039666 129.60960334],1
b1,1,0.000411,12.47926,[71 65] ; [119 224],[53.94572025 82.05427975] ; [136.05427975 206.94572025],1
r4,1,0.000418,12.451769,[117  19] ; [327  16],[126.06263048   9.93736952] ; [317.93736952  25.06263048],1
d4,1,0.00662,7.373314,[104  31] ; [297  44],[113.7289916  21.2710084] ; [287.2710084  53.7289916],0
d1,1,0.006983,7.277352,[72 64] ; [227 116],[84.89352818 51.10647182] ; [214.10647182 128.89352818],0
r3,1,0.007347,7.186036,[125  11] ; [332   9],[130.29769392   5.70230608] ; [326.70230608  14.29769392],0
r2,1,0.009493,6.727579,[122  12] ; [327  11],[127.47033898   6.52966102] ; [321.52966102  16.47033898],0
d5,1,0.011431,6.396989,[105  30] ; [297  44],[114.01260504  20.98739496] ; [287.98739496  53.01260504],0
v2,1,0.022852,5.179718,[64 65] ; [204 129],[74.83116883 54.16883117] ; [193.16883117 139.83116883],0
u3,1,0.031393,4.631351,[16 18] ; [58 27],[21.14285714 12.85714286] ; [52.85714286 32.14285714],0
s8,1,0.032177,4.589062,[89 47] ; [186 154],[78.57142857 57.42857143] ; [196.42857143 143.57142857],0
a5,1,0.043239,4.086048,[97 39] ; [274  69],[105.33611691  30.66388309] ; [265.66388309  77.33611691],0
v4,1,0.05001,3.841123,[127   8] ; [334   8],[130.47169811   4.52830189] ; [330.52830189  11.47169811],0
s7,1,0.057016,3.622112,[95 38] ; [203 124],[86.16086957 46.83913043] ; [211.83913043 115.16086957],0
n3,1,0.06045,3.524996,[18 12] ; [48 13],[21.75824176  8.24175824] ; [44.24175824 16.75824176],0
n6,1,0.072856,3.217473,[118  18] ; [314  27],[123.16981132  12.83018868] ; [308.83018868  32.16981132],0
r1,1,0.079128,3.082722,[109  27] ; [296  46],[115.23012552  20.76987448] ; [289.76987448  52.23012552],0
b3,1,0.110405,2.548414,[41 53] ; [ 74 143],[34.75884244 59.24115756] ; [ 80.24115756 136.75884244],0
b2,1,0.110405,2.548414,[41 53] ; [ 74 143],[34.75884244 59.24115756] ; [ 80.24115756 136.75884244],0
n2,1,0.124391,2.361148,[21 10] ; [50 11],[23.92391304  7.07608696] ; [47.07608696 13.92391304],0
p4,1,0.12898,2.304743,[85 51] ; [237 103],[92. 44.] ; [230. 110.],0
a8,1,0.162998,1.946187,[ 17 112] ; [ 57 248],[ 21.99539171 107.00460829] ; [ 52.00460829 252.99539171],0
v3,1,0.192611,1.69753,[63 69] ; [136 195],[56.73434125 75.26565875] ; [142.26565875 188.73434125],0
p8,1,0.205478,1.603005,[66 67] ; [189 148],[72.15957447 60.84042553] ; [182.84042553 154.15957447],0
s4,1,0.219208,1.509548,[ 29 106] ; [ 56 280],[ 24.36305732 110.63694268] ; [ 60.63694268 275.36305732],0
p10,1,0.277254,1.180499,[111  23] ; [294  45],[114.73572939  19.26427061] ; [290.26427061  48.73572939],0
b4,1,0.339106,0.913809,[76 60] ; [208 135],[80.63465553 55.36534447] ; [203.36534447 139.63465553],0
p9,1,0.401295,0.704442,[117  18] ; [303  36],[119.62025316  15.37974684] ; [300.37974684  38.62025316],0
p7,1,0.409915,0.679048,[85 47] ; [227 105],[88.75862069 43.24137931] ; [223.24137931 108.75862069],0
d2,1,0.416168,0.661111,[68 68] ; [184 156],[72. 64.] ; [180. 160.],0
p1,1,0.441248,0.593036,[ 10 125] ; [ 33 309],[ 12.16981132 122.83018868] ; [ 30.83018868 311.16981132],0
p2,1,0.448607,0.574169,[112  22] ; [296  47],[114.6163522  19.3836478] ; [293.3836478  49.6163522],0
a4,1,0.455798,0.556193,[61 74] ; [167 174],[64.66386555 70.33613445] ; [163.33613445 177.66386555],0
u2,1,0.496463,0.462489,[20 14] ; [55 29],[21.61016949 12.38983051] ; [53.38983051 30.61016949],0
s5,1,0.557213,0.344552,[59 72] ; [140 193],[56.18318966 74.81681034] ; [142.81681034 190.18318966],0
p12,1,0.5767,0.3116,[ 14 120] ; [ 42 300],[ 15.76470588 118.23529412] ; [ 40.23529412 301.76470588],0
p3,1,0.663298,0.189542,[76 59] ; [185 157],[73.86792453 61.13207547] ; [187.13207547 154.86792453],0
u4,1,0.666326,0.18593,[  5 131] ; [ 10 333],[  4.25887265 131.74112735] ; [ 10.74112735 332.25887265],0
s3,1,0.680882,0.169135,[97 38] ; [235 101],[95.15923567 39.84076433] ; [236.84076433  99.15923567],0
n5,1,0.719921,0.128569,[122  14] ; [302  39],[120.88888889  15.11111111] ; [303.11111111  37.88888889],0
p11,1,0.740875,0.109359,[112  24] ; [278  65],[110.73068894  25.26931106] ; [279.26931106  63.73068894],0
p5,1,0.758094,0.094855,[ 23 112] ; [ 54 286],[ 21.88421053 113.11578947] ; [ 55.11578947 284.88421053],0
n1,1,0.758712,0.094355,[15 16] ; [27 33],[14.30769231 16.69230769] ; [27.69230769 32.30769231],0
s1,1,0.810335,0.057597,[  7 126] ; [ 16 322],[  6.49469214 126.50530786] ; [ 16.50530786 321.49469214],0
v1,1,0.823745,0.049609,[77 55] ; [198 135],[78.06451613 53.93548387] ; [196.93548387 136.06451613],0
p6,1,0.829048,0.046623,[57 76] ; [149 190],[58.04661017 74.95338983] ; [147.95338983 191.04661017],0
s2,1,0.885223,0.020837,[88 47] ; [224 116],[88.67368421 46.32631579] ; [223.32631579 116.67368421],0
a1,1,0.920861,0.00987,[  8 128] ; [ 21 322],[  8.23382046 127.76617954] ; [ 20.76617954 322.23382046],0
a3,1,0.933242,0.007017,[102  34] ; [257  84],[102.35639413  33.64360587] ; [256.64360587  84.35639413],0
