Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,28.788418,[10 15] ; [88 11],[19.75806452  5.24193548] ; [78.24193548 20.75806452],1
a5,1,0.000155,14.307776,[12 13] ; [83 16],[19.15322581  5.84677419] ; [75.84677419 23.15322581],1
d3,1,0.000268,13.281177,[ 3 22] ; [52 47],[11.08870968 13.91129032] ; [43.91129032 55.08870968],1
a3,1,0.002582,9.081329,[14 11] ; [83 16],[19.55645161  5.44354839] ; [77.44354839 21.55645161],0
p2,1,0.021306,5.301627,[15 10] ; [80 18],[19.30894309  5.69105691] ; [75.69105691 22.30894309],0
r3,1,0.023419,5.137164,[22  3] ; [97  2],[23.99193548  1.00806452] ; [95.00806452  3.99193548],0
d2,1,0.03415,4.487198,[ 9 16] ; [59 40],[13.70967742 11.29032258] ; [54.29032258 44.70967742],0
s5,1,0.043505,4.075654,[ 6 18] ; [45 49],[10.37288136 13.62711864] ; [40.62711864 53.37288136],0
p9,1,0.045637,3.994933,[19  6] ; [88  9],[21.92622951  3.07377049] ; [85.07377049 11.92622951],0
a4,1,0.053646,3.723684,[ 7 18] ; [49 50],[11.29032258 13.70967742] ; [44.70967742 54.29032258],0
r1,1,0.053752,3.720387,[16  9] ; [81 18],[19.55645161  5.44354839] ; [77.44354839 21.55645161],0
s1,1,0.061832,3.48754,[ 3 22] ; [ 3 96],[ 1.20967742 23.79032258] ; [ 4.79032258 94.20967742],0
s2,1,0.069504,3.294686,[15 10] ; [77 22],[18.5483871  6.4516129] ; [73.4516129 25.5483871],0
v1,1,0.074474,3.181551,[11 13] ; [63 33],[14.8  9.2] ; [59.2 36.8],0
b2,1,0.103768,2.646661,[ 7 13] ; [40 32],[10.2173913  9.7826087] ; [36.7826087 35.2173913],0
b3,1,0.103768,2.646661,[ 7 13] ; [40 32],[10.2173913  9.7826087] ; [36.7826087 35.2173913],0
v2,1,0.126555,2.33426,[ 9 14] ; [54 41],[12.27966102 10.72033898] ; [50.72033898 44.27966102],0
p3,1,0.126801,2.331235,[12 13] ; [64 35],[15.32258065  9.67741935] ; [60.67741935 38.32258065],0
n4,1,0.137721,2.203242,[19  6] ; [86 12],[21.34146341  3.65853659] ; [83.65853659 14.34146341],0
a6,1,0.143247,2.142729,[12 13] ; [32 67],[ 8.87096774 16.12903226] ; [35.12903226 63.87096774],0
p8,1,0.223514,1.481668,[12 13] ; [59 37],[14.66942149 10.33057851] ; [56.33057851 39.66942149],0
u3,1,0.2261,1.465231,[5 6] ; [11  5],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
s7,1,0.261054,1.263158,[18  7] ; [78 17],[20.  5.] ; [76. 19.],0
a2,1,0.282566,1.154709,[ 1 24] ; [11 88],[ 2.41935484 22.58064516] ; [ 9.58064516 89.41935484],0
v3,1,0.315235,1.008614,[10 14] ; [51 45],[12.2 11.8] ; [48.8 47.2],0
n6,1,0.315922,1.005753,[20  5] ; [86 12],[21.54471545  3.45528455] ; [84.45528455 13.54471545],0
v4,1,0.381077,0.767224,[22  2] ; [95  4],[22.82926829  1.17073171] ; [94.17073171  4.82926829],0
p10,1,0.406849,0.68799,[20  5] ; [84 13],[21.31147541  3.68852459] ; [82.68852459 14.31147541],0
p7,1,0.488984,0.478762,[16  9] ; [69 28],[17.41803279  7.58196721] ; [67.58196721 29.41803279],0
r4,1,0.502981,0.448642,[21  4] ; [88 11],[21.97580645  3.02419355] ; [87.02419355 11.97580645],0
p6,1,0.506629,0.441023,[10 15] ; [46 51],[11.47540984 13.52459016] ; [44.52459016 52.47540984],0
s6,1,0.507291,0.43965,[20  5] ; [82 14],[21.07438017  3.92561983] ; [80.92561983 15.07438017],0
s4,1,0.547136,0.362473,[ 4 21] ; [21 77],[ 5.08130081 19.91869919] ; [19.91869919 78.08130081],0
a8,1,0.621819,0.243319,[ 4 19] ; [13 84],[ 3.25833333 19.74166667] ; [13.74166667 83.25833333],0
n1,1,0.662597,0.190385,[6 3] ; [14 10],[5.45454545 3.54545455] ; [14.54545455  9.45454545],0
n5,1,0.663044,0.189847,[20  5] ; [82 16],[20.73170732  4.26829268] ; [81.26829268 16.73170732],0
p1,1,0.67185,0.179446,[ 3 22] ; [ 9 89],[ 2.43902439 22.56097561] ; [ 9.56097561 88.43902439],0
b5,1,0.68881,0.160376,[10 15] ; [44 55],[10.88709677 14.11290323] ; [43.11290323 55.88709677],0
u1,1,0.724322,0.124389,[ 2 23] ; [ 6 93],[ 1.61290323 23.38709677] ; [ 6.38709677 92.61290323],0
p11,1,0.740828,0.109401,[20  5] ; [82 17],[20.56451613  4.43548387] ; [81.43548387 17.56451613],0
p5,1,0.754109,0.09811,[ 3 22] ; [14 83],[ 3.48360656 21.51639344] ; [13.51639344 83.48360656],0
s3,1,0.779079,0.078691,[18  7] ; [74 25],[18.5483871  6.4516129] ; [73.4516129 25.5483871],0
p12,1,0.832932,0.044497,[ 3 22] ; [10 85],[ 2.70833333 22.29166667] ; [10.29166667 84.70833333],0
r2,1,0.841506,0.039987,[22  2] ; [91  7],[22.2295082  1.7704918] ; [90.7704918  7.2295082],0
b1,1,0.896107,0.017051,[14 11] ; [54 45],[13.70967742 11.29032258] ; [54.29032258 44.70967742],0
u2,1,0.952092,0.00361,[7 4] ; [10  6],[6.92592593 4.07407407] ; [10.07407407  5.92592593],0
n2,1,0.961245,0.002361,[7 3] ; [17  7],[7.05882353 2.94117647] ; [16.94117647  7.05882353],0
b4,1,0.965427,0.001879,[12 13] ; [48 51],[12.09677419 12.90322581] ; [47.90322581 51.09677419],0
p4,1,0.973047,0.001142,[16  9] ; [63 36],[15.92741935  9.07258065] ; [63.07258065 35.92741935],0
n3,1,1.0,0.0,[6 3] ; [16  8],[6. 3.] ; [16.  8.],0
