Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4.5e-05,16.631665,[112  59] ; [72 94],[93.36498516 77.63501484] ; [90.63501484 75.36498516],1
v3,1,6.4e-05,15.984839,[88 86] ; [ 49 118],[ 69.90615836 104.09384164] ; [67.09384164 99.90615836],1
a3,1,0.010961,6.471568,[137  42] ; [111  62],[126.11363636  52.88636364] ; [121.88636364  51.11363636],0
n5,1,0.011641,6.364806,[142  37] ; [116  56],[131.57264957  47.42735043] ; [126.42735043  45.57264957],0
b5,1,0.023137,5.158216,[124  56] ; [99 74],[113.71104816  66.28895184] ; [109.28895184  63.71104816],0
p3,1,0.02674,4.907549,[85 94] ; [ 62 111],[ 74.75284091 104.24715909] ; [ 72.24715909 100.75284091],0
s4,1,0.027428,4.863656,[ 29 148] ; [ 45 128],[ 37.42285714 139.57714286] ; [ 36.57714286 136.42285714],0
v4,1,0.034188,4.485287,[174   4] ; [160  12],[169.86285714   8.13714286] ; [164.13714286   7.86285714],0
p9,1,0.037695,4.318753,[156  24] ; [133  37],[148.62857143  31.37142857] ; [140.37142857  29.62857143],0
u4,1,0.063423,3.445534,[  6 174] ; [  1 172],[  3.5694051 176.4305949] ; [  3.4305949 169.5694051],0
b2,1,0.080896,3.04681,[39 74] ; [22 72],[33.29951691 79.70048309] ; [27.70048309 66.29951691],0
b3,1,0.080896,3.04681,[39 74] ; [22 72],[33.29951691 79.70048309] ; [27.70048309 66.29951691],0
p1,1,0.082257,3.019742,[ 14 166] ; [  6 166],[ 10.22727273 169.77272727] ; [  9.77272727 162.22727273],0
n2,1,0.092928,2.822907,[39  7] ; [33 14],[35.61290323 10.38709677] ; [36.38709677 10.61290323],0
p12,1,0.127171,2.326701,[ 17 163] ; [  9 164],[ 13.25779037 166.74220963] ; [ 12.74220963 160.25779037],0
p5,1,0.134237,2.242808,[ 18 160] ; [ 10 163],[ 14.1994302 163.8005698] ; [ 13.8005698 159.1994302],0
s1,1,0.142488,2.150879,[  4 172] ; [  9 162],[  6.59365994 169.40634006] ; [  6.40634006 164.59365994],0
a5,1,0.153043,2.041653,[138  42] ; [121  52],[132.06798867  47.93201133] ; [126.93201133  46.06798867],0
r2,1,0.175021,1.839401,[169   9] ; [157  15],[165.79428571  12.20571429] ; [160.20571429  11.79428571],0
p2,1,0.212665,1.55319,[150  29] ; [136  37],[145.4375  33.5625] ; [140.5625  32.4375],0
s8,1,0.21486,1.538377,[91 87] ; [77 96],[85.1965812 92.8034188] ; [82.8034188 90.1965812],0
p10,1,0.217424,1.521291,[145  34] ; [130  42],[140.24216524  38.75783476] ; [134.75783476  37.24216524],0
a4,1,0.233638,1.418573,[ 78 100] ; [ 65 108],[ 72.51851852 105.48148148] ; [ 70.48148148 102.51851852],0
d4,1,0.247089,1.339691,[150  30] ; [135  37],[145.73863636  34.26136364] ; [139.26136364  32.73863636],0
p8,1,0.247478,1.337482,[80 98] ; [ 66 104],[ 74.67816092 103.32183908] ; [71.32183908 98.67816092],0
a2,1,0.251913,1.312661,[ 49 131] ; [ 38 135],[ 44.36260623 135.63739377] ; [ 42.63739377 130.36260623],0
n4,1,0.261946,1.258442,[134  44] ; [121  52],[129.31623932  48.68376068] ; [125.68376068  47.31623932],0
p4,1,0.315799,1.006265,[97 82] ; [84 88],[92.3048433 86.6951567] ; [88.6951567 83.3048433],0
d1,1,0.328176,0.956081,[104  76] ; [91 82],[99.43342776 80.56657224] ; [95.56657224 77.43342776],0
u2,1,0.355313,0.854391,[25 16] ; [31 29],[22.73267327 18.26732673] ; [33.26732673 26.73267327],0
s2,1,0.41988,0.65065,[111  67] ; [100  72],[107.30857143  70.69142857] ; [103.69142857  68.30857143],0
s7,1,0.427526,0.629535,[97 76] ; [87 81],[93.34897361 79.65102639] ; [90.65102639 77.34897361],0
u1,1,0.432807,0.615278,[ 36 144] ; [ 29 144],[ 33.14447592 146.85552408] ; [ 31.85552408 141.14447592],0
d5,1,0.453935,0.560808,[148  32] ; [136  36],[145.22727273  34.77272727] ; [138.77272727  33.22727273],0
n6,1,0.458543,0.549449,[152  27] ; [141  31],[149.42165242  29.57834758] ; [143.57834758  28.42165242],0
a7,1,0.539145,0.377128,[129  51] ; [129  44],[131.55807365  48.44192635] ; [126.44192635  46.55807365],0
r3,1,0.544572,0.367131,[169  11] ; [164   8],[170.28409091   9.71590909] ; [162.71590909   9.28409091],0
r4,1,0.636247,0.223684,[162  18] ; [153  20],[160.62322946  19.37677054] ; [154.37677054  18.62322946],0
r1,1,0.650479,0.205297,[147  32] ; [138  34],[145.34188034  33.65811966] ; [139.65811966  32.34188034],0
n1,1,0.6692,0.18254,[19 27] ; [17 29],[18. 28.] ; [18. 28.],0
p7,1,0.674829,0.176006,[94 80] ; [88 82],[92.05813953 81.94186047] ; [89.94186047 80.05813953],0
a8,1,0.678515,0.171802,[ 24 137] ; [ 21 137],[ 22.71159875 138.28840125] ; [ 22.28840125 135.71159875],0
s3,1,0.695486,0.153211,[118  58] ; [118  53],[119.70028818  56.29971182] ; [116.29971182  54.70028818],0
d2,1,0.720691,0.127831,[84 96] ; [77 95],[82.32954545 97.67045455] ; [78.67045455 93.32954545],0
a1,1,0.722196,0.126398,[  6 174] ; [  7 166],[  6.62889518 173.37110482] ; [  6.37110482 166.62889518],0
b4,1,0.72958,0.119497,[106  74] ; [105  68],[107.59206799  72.40793201] ; [103.40793201  69.59206799],0
p11,1,0.732863,0.116499,[135  45] ; [127  46],[133.59773371  46.40226629] ; [128.40226629  44.59773371],0
u3,1,0.751402,0.100357,[25 18] ; [33 27],[24.21359223 18.78640777] ; [33.78640777 26.21359223],0
d3,1,0.770774,0.084892,[124  56] ; [116  56],[122.72727273  57.27272727] ; [117.27272727  54.72727273],0
s5,1,0.88243,0.021871,[ 68 109] ; [ 64 106],[ 67.3314121 109.6685879] ; [ 64.6685879 105.3314121],0
n3,1,0.948492,0.004173,[33 13] ; [34 13],[33.13978495 12.86021505] ; [33.86021505 13.13978495],0
a6,1,0.951936,0.003633,[124  56] ; [119  53],[124.26136364  55.73863636] ; [118.73863636  53.26136364],0
b1,1,0.959184,0.002619,[ 63 117] ; [ 61 112],[ 63.22946176 116.77053824] ; [ 60.77053824 112.22946176],0
