Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.920822,[11 37] ; [67 35],[24.96 23.04] ; [53.04 48.96],1
n4,1,0.001474,10.111145,[22 26] ; [74 28],[30.72 17.28] ; [65.28 36.72],0
u3,1,0.041491,4.155844,[15  5] ; [21 23],[11.25  8.75] ; [24.75 19.25],0
v4,1,0.049496,3.858466,[38  8] ; [95  7],[41.33783784  4.66216216] ; [91.66216216 10.33783784],0
u1,1,0.060583,3.52135,[ 3 45] ; [18 84],[ 6.72 41.28] ; [14.28 87.72],0
s6,1,0.079098,3.083333,[19 29] ; [55 45],[24. 24.] ; [50. 50.],0
s7,1,0.088078,2.90915,[ 9 33] ; [35 62],[13.29496403 28.70503597] ; [30.70503597 66.29496403],0
u2,1,0.103086,2.657143,[13  7] ; [18 24],[10. 10.] ; [21. 21.],0
p11,1,0.108388,2.577562,[22 26] ; [61 41],[26.56 21.44] ; [56.44 45.56],0
r2,1,0.129445,2.299146,[41  7] ; [95  7],[43.52  4.48] ; [92.48  9.52],0
p10,1,0.145859,2.115032,[ 9 39] ; [30 70],[12.64864865 35.35135135] ; [26.35135135 73.64864865],0
b3,1,0.171599,1.868916,[ 5 25] ; [18 42],[ 7.66666667 22.33333333] ; [15.33333333 44.66666667],0
b2,1,0.171599,1.868916,[ 5 25] ; [18 42],[ 7.66666667 22.33333333] ; [15.33333333 44.66666667],0
a7,1,0.173907,1.848939,[28 20] ; [71 31],[31.68 16.32] ; [67.32 34.68],0
n1,1,0.177875,1.815289,[ 4 14] ; [12 17],[ 6.12765957 11.87234043] ; [ 9.87234043 19.12765957],0
d1,1,0.192194,1.70072,[19 29] ; [52 50],[22.72 25.28] ; [48.28 53.72],0
b5,1,0.212868,1.551813,[24 24] ; [62 40],[27.52 20.48] ; [58.48 43.52],0
v3,1,0.220137,1.503478,[11 34] ; [35 66],[14.17808219 30.82191781] ; [31.82191781 69.17808219],0
s8,1,0.223775,1.48,[ 9 39] ; [28 72],[12. 36.] ; [25. 75.],0
r4,1,0.268001,1.226949,[38 10] ; [88 14],[40.32  7.68] ; [85.68 16.32],0
s3,1,0.272294,1.205154,[26 22] ; [45 56],[22.87248322 25.12751678] ; [48.12751678 52.87248322],0
s5,1,0.299743,1.075337,[ 7 40] ; [22 77],[ 9.33561644 37.66438356] ; [19.66438356 79.33561644],0
v1,1,0.419226,0.652485,[16 32] ; [41 61],[18.24 29.76] ; [38.76 63.24],0
p4,1,0.424734,0.637179,[19 29] ; [47 54],[21.26174497 26.73825503] ; [44.73825503 56.26174497],0
a8,1,0.430484,0.621518,[ 3 42] ; [10 82],[ 4.27007299 40.72992701] ; [ 8.72992701 83.27007299],0
a5,1,0.513093,0.427754,[30 18] ; [58 44],[28.16 19.84] ; [59.84 42.16],0
a2,1,0.541617,0.372551,[ 7 41] ; [19 83],[ 8.32 39.68] ; [17.68 84.32],0
s1,1,0.561992,0.336266,[ 4 43] ; [ 6 95],[ 3.17567568 43.82432432] ; [ 6.82432432 94.17567568],0
n2,1,0.579965,0.306291,[13  7] ; [21  8],[13.87755102  6.12244898] ; [20.12244898  8.87755102],0
a4,1,0.597365,0.278989,[15 33] ; [36 65],[16.4295302 31.5704698] ; [34.5704698 66.4295302],0
p8,1,0.616937,0.250196,[18 30] ; [34 68],[16.64 31.36] ; [35.36 66.64],0
d2,1,0.633886,0.226828,[22 26] ; [51 51],[23.36 24.64] ; [49.64 52.36],0
b1,1,0.692893,0.155971,[28 20] ; [56 46],[26.88 21.12] ; [57.12 44.88],0
n3,1,0.696819,0.151803,[11  7] ; [20 10],[11.625  6.375] ; [19.375 10.625],0
a6,1,0.752518,0.099427,[30 18] ; [61 41],[29.12 18.88] ; [61.88 40.12],0
d3,1,0.775008,0.081699,[28 20] ; [62 40],[28.8 19.2] ; [61.2 40.8],0
d4,1,0.790737,0.070412,[35 12] ; [78 24],[35.6442953 11.3557047] ; [77.3557047 24.6442953],0
s4,1,0.809712,0.057984,[ 7 41] ; [13 86],[ 6.53061224 41.46938776] ; [13.46938776 85.53061224],0
p7,1,0.812415,0.056317,[23 25] ; [50 50],[23.67567568 24.32432432] ; [49.32432432 50.67567568],0
r1,1,0.81295,0.05599,[38 10] ; [79 23],[37.44 10.56] ; [79.56 22.44],0
s2,1,0.817458,0.053276,[17 31] ; [37 62],[17.63265306 30.36734694] ; [36.36734694 62.63265306],0
d5,1,0.835617,0.043058,[35 13] ; [76 26],[35.52 12.48] ; [75.48 26.52],0
a3,1,0.865112,0.028856,[28 20] ; [58 44],[27.52 20.48] ; [58.48 43.52],0
p6,1,0.86563,0.028632,[10 36] ; [23 77],[10.39726027 35.60273973] ; [22.60273973 77.39726027],0
p1,1,0.913394,0.011828,[ 3 44] ; [ 7 95],[ 3.15436242 43.84563758] ; [ 6.84563758 95.15436242],0
b4,1,0.931032,0.00749,[30 18] ; [63 39],[29.76 18.24] ; [63.24 38.76],0
v2,1,0.941366,0.00541,[21 25] ; [45 55],[20.79452055 25.20547945] ; [45.20547945 54.79452055],0
p3,1,0.941963,0.0053,[16 31] ; [35 66],[16.19594595 30.80405405] ; [34.80405405 66.19594595],0
p2,1,0.976904,0.000838,[30 18] ; [64 38],[30.08 17.92] ; [63.92 38.08],0
