Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.8e-05,16.538432,[38  5] ; [10 14],[30.80597015 12.19402985] ; [17.19402985  6.80597015],1
a5,1,0.000529,12.0112,[24 19] ; [ 3 21],[17.32835821 25.67164179] ; [ 9.67164179 14.32835821],1
r3,1,0.00478,7.960964,[41  2] ; [17  7],[37.2238806  5.7761194] ; [20.7761194  3.2238806],0
r2,1,0.005134,7.831482,[39  4] ; [15  9],[34.65671642  8.34328358] ; [19.34328358  4.65671642],0
p11,1,0.013917,6.048678,[34  9] ; [12 12],[29.52238806 13.47761194] ; [16.47761194  7.52238806],0
v2,1,0.019744,5.434386,[16 24] ; [ 3 21],[11.875 28.125] ; [ 7.125 16.875],0
a4,1,0.043132,4.090222,[10 33] ; [ 1 23],[ 7.05970149 35.94029851] ; [ 3.94029851 20.05970149],0
v1,1,0.057042,3.621379,[17 25] ; [ 4 19],[13.56923077 28.43076923] ; [ 7.43076923 15.56923077],0
a6,1,0.10518,2.625194,[25 18] ; [ 9 15],[21.82089552 21.17910448] ; [12.17910448 11.82089552],0
n2,1,0.111219,2.536813,[11  2] ; [3 3],[9.57894737 3.42105263] ; [4.42105263 1.57894737],0
b3,1,0.127988,2.316739,[ 9 15] ; [ 2 12],[ 6.94736842 17.05263158] ; [4.05263158 9.94736842],0
b2,1,0.127988,2.316739,[ 9 15] ; [ 2 12],[ 6.94736842 17.05263158] ; [4.05263158 9.94736842],0
s6,1,0.142458,2.151201,[20 22] ; [ 7 17],[17.18181818 24.81818182] ; [ 9.81818182 14.18181818],0
v4,1,0.18447,1.76124,[39  4] ; [19  5],[37.2238806  5.7761194] ; [20.7761194  3.2238806],0
s7,1,0.228855,1.447964,[10 30] ; [ 3 21],[ 8.125 31.875] ; [ 4.875 19.125],0
n4,1,0.229584,1.443435,[17 26] ; [ 6 18],[14.76119403 28.23880597] ; [ 8.23880597 15.76119403],0
v3,1,0.255032,1.295524,[12 29] ; [ 4 20],[10.09230769 30.90769231] ; [ 5.90769231 18.09230769],0
s4,1,0.257942,1.27977,[ 8 35] ; [ 2 22],[ 6.41791045 36.58208955] ; [ 3.58208955 20.41791045],0
b5,1,0.302969,1.061081,[25 18] ; [17  7],[26.95522388 16.04477612] ; [15.04477612  8.95522388],0
u3,1,0.324127,0.972222,[10 10] ; [ 5 10],[ 8.57142857 11.42857143] ; [6.42857143 8.57142857],0
a3,1,0.350682,0.870987,[22 21] ; [ 9 14],[20.1969697 22.8030303] ; [10.8030303 12.1969697],0
p4,1,0.377855,0.777669,[15 28] ; [11 13],[16.68656716 26.31343284] ; [ 9.31343284 14.68656716],0
a7,1,0.40713,0.687165,[26 17] ; [12 12],[24.3880597 18.6119403] ; [13.6119403 10.3880597],0
