Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000263,13.318276,[36  5] ; [11 13],[29.64615385 11.35384615] ; [17.35384615  6.64615385],1
a4,1,0.000484,12.177721,[21 20] ; [ 2 22],[14.50769231 26.49230769] ; [ 8.49230769 15.50769231],1
d1,1,0.002793,8.93795,[26 15] ; [ 6 18],[20.18461538 20.81538462] ; [11.81538462 12.18461538],0
a3,1,0.003072,8.764097,[32  9] ; [10 14],[26.49230769 14.50769231] ; [15.50769231  8.49230769],0
v2,1,0.008175,6.994743,[26 14] ; [ 7 16],[20.95238095 19.04761905] ; [12.04761905 10.95238095],0
d2,1,0.00955,6.717009,[22 19] ; [ 5 19],[17.03076923 23.96923077] ; [ 9.96923077 14.03076923],0
d5,1,0.013482,6.104783,[32  9] ; [11 12],[27.546875 13.453125] ; [15.453125  7.546875],0
v3,1,0.015058,5.909646,[20 19] ; [ 4 17],[15.6 23.4] ; [ 8.4 12.6],0
r4,1,0.016619,5.736127,[36  5] ; [15  9],[32.16923077  8.83076923] ; [18.83076923  5.16923077],0
n5,1,0.044084,4.053325,[32  9] ; [13 11],[28.38461538 12.61538462] ; [16.61538462  7.38461538],0
r1,1,0.044084,4.053325,[32  9] ; [13 11],[28.38461538 12.61538462] ; [16.61538462  7.38461538],0
b3,1,0.052008,3.775517,[13  9] ; [ 4 11],[10.10810811 11.89189189] ; [6.89189189 8.10810811],0
b2,1,0.052008,3.775517,[13  9] ; [ 4 11],[10.10810811 11.89189189] ; [6.89189189 8.10810811],0
p3,1,0.05557,3.664904,[21 18] ; [ 7 17],[17.33333333 21.66666667] ; [10.66666667 13.33333333],0
b1,1,0.083138,3.002465,[21 20] ; [ 7 17],[17.66153846 23.33846154] ; [10.33846154 13.66153846],0
p4,1,0.135906,2.223711,[21 19] ; [ 8 16],[18.125 21.875] ; [10.875 13.125],0
d3,1,0.137644,2.204107,[29 12] ; [12 11],[26.265625 14.734375] ; [14.734375  8.265625],0
p2,1,0.144979,2.124301,[34  6] ; [16  7],[31.74603175  8.25396825] ; [18.25396825  4.74603175],0
d4,1,0.157484,1.998222,[35  6] ; [17  7],[32.8  8.2] ; [19.2  4.8],0
u1,1,0.157628,1.996831,[ 9 32] ; [ 2 22],[ 6.93846154 34.06153846] ; [ 4.06153846 19.93846154],0
s8,1,0.180365,1.794614,[17 24] ; [ 6 18],[14.50769231 26.49230769] ; [ 8.49230769 15.50769231],0
n3,1,0.301409,1.067949,[10  3] ; [2 2],[9.17647059 3.82352941] ; [2.82352941 1.17647059],0
s5,1,0.334056,0.93311,[ 9 30] ; [ 3 20],[ 7.5483871 31.4516129] ; [ 4.4516129 18.5483871],0
a6,1,0.34996,0.873603,[27 14] ; [13 11],[25.23076923 15.76923077] ; [14.76923077  9.23076923],0
p8,1,0.357566,0.846424,[18 22] ; [ 8 16],[16.25 23.75] ; [ 9.75 14.25],0
v1,1,0.378482,0.775627,[22 18] ; [10 13],[20.31746032 19.68253968] ; [11.68253968 11.31746032],0
a1,1,0.414424,0.666074,[ 4 37] ; [ 1 23],[ 3.15384615 37.84615385] ; [ 1.84615385 22.15384615],0
v4,1,0.450779,0.568691,[38  3] ; [20  3],[37.15625  3.84375] ; [20.84375  2.15625],0
n6,1,0.472854,0.515298,[30 10] ; [16  8],[28.75 11.25] ; [17.25  6.75],0
p11,1,0.514583,0.424736,[32  9] ; [17  7],[30.90769231 10.09230769] ; [18.09230769  5.90769231],0
p7,1,0.523407,0.407175,[24 16] ; [15  7],[25.16129032 14.83870968] ; [13.83870968  8.16129032],0
u2,1,0.551848,0.354016,[4 5] ; [8 6],[4.69565217 4.30434783] ; [7.30434783 6.69565217],0
r2,1,0.593803,0.284444,[38  2] ; [22  2],[37.5  2.5] ; [22.5  1.5],0
s1,1,0.610006,0.260167,[ 3 38] ; [ 1 23],[ 2.52307692 38.47692308] ; [ 1.47692308 22.52307692],0
p6,1,0.630396,0.231525,[14 26] ; [ 7 17],[13.125 26.875] ; [ 7.875 16.125],0
p5,1,0.637395,0.222165,[ 1 39] ; [ 1 20],[ 1.31147541 38.68852459] ; [ 0.68852459 20.31147541],0
b5,1,0.675083,0.175714,[20 21] ; [13 11],[20.81538462 20.18461538] ; [12.18461538 11.81538462],0
n1,1,0.679708,0.170455,[4 7] ; [1 3],[3.66666667 7.33333333] ; [1.33333333 2.66666667],0
p10,1,0.679944,0.170189,[33  7] ; [18  5],[32.38095238  7.61904762] ; [18.61904762  4.38095238],0
p9,1,0.703239,0.145125,[30 10] ; [19  5],[30.625  9.375] ; [18.375  5.625],0
r3,1,0.730547,0.11861,[37  4] ; [21  3],[36.58461538  4.41538462] ; [21.41538462  2.58461538],0
a7,1,0.758219,0.094754,[30 11] ; [16  7],[29.46875 11.53125] ; [16.53125  6.46875],0
a8,1,0.776896,0.080296,[ 6 33] ; [ 4 18],[ 6.39344262 32.60655738] ; [ 3.60655738 18.39344262],0
s7,1,0.812279,0.0564,[17 21] ; [10 14],[16.5483871 21.4516129] ; [10.4516129 13.5483871],0
s4,1,0.826507,0.048041,[ 6 35] ; [ 4 20],[ 6.30769231 34.69230769] ; [ 3.69230769 20.30769231],0
p1,1,0.923291,0.009272,[ 2 39] ; [ 1 22],[ 1.921875 39.078125] ; [ 1.078125 21.921875],0
u3,1,0.940259,0.005617,[5 4] ; [8 6],[5.08695652 3.91304348] ; [7.91304348 6.08695652],0
b4,1,0.968366,0.001573,[22 19] ; [13 11],[22.07692308 18.92307692] ; [12.92307692 11.07692308],0
s3,1,0.993064,7.6e-05,[29 12] ; [17  7],[29.01538462 11.98461538] ; [16.98461538  7.01538462],0
