Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6e-06,20.444712,[67 50] ; [17 55],[52. 65.] ; [32. 40.],1
p6,1,0.000181,14.023183,[42 70] ; [ 9 64],[30.87567568 81.12432432] ; [20.12432432 52.87567568],1
p4,1,0.000543,11.96321,[67 50] ; [23 50],[55.42105263 61.57894737] ; [34.57894737 38.42105263],1
p3,1,0.001866,9.67659,[61 57] ; [21 52],[50.65968586 67.34031414] ; [31.34031414 41.65968586],0
p10,1,0.021536,5.282871,[87 30] ; [42 30],[79.85714286 37.14285714] ; [49.14285714 22.85714286],0
s7,1,0.025217,5.008889,[47 68] ; [17 52],[40. 75.] ; [24. 45.],0
a3,1,0.032467,4.573645,[82 35] ; [40 33],[75.12631579 41.87368421] ; [46.87368421 26.12631579],0
p11,1,0.035426,4.424526,[91 27] ; [46 27],[84.63874346 33.36125654] ; [52.36125654 20.63874346],0
d2,1,0.042126,4.130152,[53 65] ; [22 51],[46.33507853 71.66492147] ; [28.66492147 44.33507853],0
r4,1,0.057201,3.616747,[103  15] ; [56 17],[98.23036649 19.76963351] ; [60.76963351 12.23036649],0
n3,1,0.065077,3.403014,[30  4] ; [15  7],[27.32142857  6.67857143] ; [17.67857143  4.32142857],0
a2,1,0.067604,3.340254,[23 95] ; [ 7 66],[18.53403141 99.46596859] ; [11.46596859 61.53403141],0
n6,1,0.077162,3.123696,[82 35] ; [42 31],[76.35789474 40.64210526] ; [47.64210526 25.35789474],0
s8,1,0.084945,2.967655,[45 73] ; [19 54],[39.53926702 78.46073298] ; [24.46073298 48.53926702],0
a1,1,0.086433,2.939588,[  8 110] ; [ 1 72],[  5.56020942 112.43979058] ; [ 3.43979058 69.56020942],0
b1,1,0.113519,2.504534,[49 69] ; [22 51],[43.86387435 74.13612565] ; [27.13612565 45.86387435],0
a5,1,0.119189,2.427942,[81 37] ; [42 31],[75.9895288 42.0104712] ; [47.0104712 25.9895288],0
u1,1,0.149731,2.07499,[ 16 102] ; [ 5 68],[ 12.97382199 105.02617801] ; [ 8.02617801 64.97382199],0
d5,1,0.160711,1.967523,[84 33] ; [59 14],[88.05789474 28.94210526] ; [54.94210526 18.05789474],0
v1,1,0.161696,1.958294,[40 75] ; [32 39],[44.51612903 70.48387097] ; [27.48387097 43.51612903],0
d3,1,0.199307,1.647448,[90 27] ; [50 23],[86.21052632 30.78947368] ; [53.78947368 19.21052632],0
b2,1,0.209477,1.575041,[18 53] ; [13 22],[20.76415094 50.23584906] ; [10.23584906 24.76415094],0
b3,1,0.209477,1.575041,[18 53] ; [13 22],[20.76415094 50.23584906] ; [10.23584906 24.76415094],0
s3,1,0.218443,1.514571,[61 54] ; [32 41],[56.88829787 58.11170213] ; [36.11170213 36.88829787],0
a7,1,0.368867,0.807477,[88 29] ; [59 14],[90.52105263 26.47894737] ; [56.47894737 16.52105263],0
n1,1,0.391251,0.735051,[ 6 28] ; [ 6 16],[ 7.28571429 26.71428571] ; [ 4.71428571 17.28571429],0
a4,1,0.415891,0.661897,[44 74] ; [23 50],[41.39267016 76.60732984] ; [25.60732984 47.39267016],0
s6,1,0.441024,0.593617,[66 51] ; [37 36],[63.42631579 53.57368421] ; [39.57368421 33.42631579],0
p12,1,0.442399,0.590051,[  6 112] ; [ 2 70],[  4.96842105 113.03157895] ; [ 3.03157895 68.96842105],0
a8,1,0.468237,0.526135,[10 98] ; [ 4 61],[ 8.73988439 99.26011561] ; [ 5.26011561 59.73988439],0
a6,1,0.48596,0.485459,[75 43] ; [50 23],[77.22513089 40.77486911] ; [47.77486911 25.22513089],0
v3,1,0.523136,0.407707,[32 83] ; [16 52],[30.16393443 84.83606557] ; [17.83606557 50.16393443],0
b5,1,0.552438,0.352968,[73 45] ; [42 31],[71.04712042 46.95287958] ; [43.95287958 29.04712042],0
p9,1,0.583999,0.299814,[91 27] ; [53 19],[89.43157895 28.56842105] ; [54.56842105 17.43157895],0
v4,1,0.604519,0.268234,[111   6] ; [67  5],[110.19047619   6.80952381] ; [67.80952381  4.19047619],0
s4,1,0.623725,0.240667,[21 97] ; [11 62],[19.76963351 98.23036649] ; [12.23036649 60.76963351],0
s5,1,0.635723,0.224379,[32 83] ; [17 52],[30.625 84.375] ; [18.375 50.625],0
d4,1,0.667166,0.184935,[94 24] ; [60 13],[95.14136126 22.85863874] ; [58.85863874 14.14136126],0
u3,1,0.695112,0.153607,[19 15] ; [20 13],[19.79104478 14.20895522] ; [19.20895522 13.79104478],0
d1,1,0.749209,0.102197,[61 57] ; [36 37],[59.92670157 58.07329843] ; [37.07329843 35.92670157],0
r2,1,0.851267,0.035157,[103  12] ; [66  7],[103.37765957  11.62234043] ; [65.62234043  7.37765957],0
u2,1,0.853201,0.034238,[20 15] ; [19 13],[20.37313433 14.62686567] ; [18.62686567 13.37313433],0
p1,1,0.874202,0.025066,[  9 108] ; [ 6 66],[  9.28571429 107.71428571] ; [ 5.71428571 66.28571429],0
n2,1,0.881893,0.022073,[22 12] ; [14  7],[22.25454545 11.74545455] ; [13.74545455  7.25454545],0
r1,1,0.882715,0.021765,[88 30] ; [53 19],[87.56842105 30.43157895] ; [53.43157895 18.56842105],0
p5,1,0.896162,0.017033,[  7 111] ; [ 4 69],[  6.79581152 111.20418848] ; [ 4.20418848 68.79581152],0
r3,1,0.905274,0.014161,[112   6] ; [69  4],[111.82198953   6.17801047] ; [69.17801047  3.82198953],0
s2,1,0.931135,0.007468,[46 72] ; [28 45],[45.71727749 72.28272251] ; [28.28272251 44.71727749],0
b4,1,0.939383,0.005783,[75 43] ; [46 27],[74.7539267 43.2460733] ; [46.2460733 26.7539267],0
v2,1,0.953603,0.003385,[56 57] ; [35 35],[56.19125683 56.80874317] ; [34.80874317 35.19125683],0
n4,1,0.989931,0.000159,[50 68] ; [31 42],[50.04188482 67.95811518] ; [30.95811518 42.04188482],0
