Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.006768,7.333545,[110   9] ; [38 11],[104.83333333  14.16666667] ; [43.16666667  5.83333333],0
a3,1,0.011019,6.462303,[106  13] ; [36 13],[100.58333333  18.41666667] ; [41.41666667  7.58333333],0
v2,1,0.013236,6.137242,[82 36] ; [23 24],[75.09090909 42.90909091] ; [29.90909091 17.09090909],0
s2,1,0.013759,6.06876,[103  15] ; [35 14],[97.50898204 20.49101796] ; [40.49101796  8.50898204],0
p6,1,0.028931,4.771695,[70 48] ; [20 29],[63.59281437 54.40718563] ; [26.40718563 22.59281437],0
d4,1,0.028969,4.769475,[109  10] ; [39 10],[104.83333333  14.16666667] ; [43.16666667  5.83333333],0
v3,1,0.045768,3.990129,[68 50] ; [19 28],[62.21818182 55.78181818] ; [24.78181818 22.21818182],0
p5,1,0.052591,3.75688,[31 89] ; [ 6 43],[26.27218935 93.72781065] ; [10.72781065 38.27218935],0
n2,1,0.052823,3.749518,[24  3] ; [11  6],[21.47727273  5.52272727] ; [13.52272727  3.47727273],0
p3,1,0.053381,3.731953,[78 42] ; [24 25],[72.4260355 47.5739645] ; [29.5739645 19.4260355],0
p7,1,0.054902,3.685069,[96 20] ; [34 15],[91.39393939 24.60606061] ; [38.60606061 10.39393939],0
n5,1,0.059777,3.543568,[103  15] ; [37 12],[98.92215569 19.07784431] ; [41.07784431  7.92215569],0
n3,1,0.066834,3.359114,[17 10] ; [15  2],[19.63636364  7.36363636] ; [12.36363636  4.63636364],0
p4,1,0.0787,3.091549,[89 30] ; [30 19],[84.29166667 34.70833333] ; [34.70833333 14.29166667],0
p8,1,0.119505,2.423793,[80 38] ; [27 22],[75.60479042 42.39520958] ; [31.39520958 17.60479042],0
v4,1,0.149324,2.079144,[118   1] ; [47  2],[116.875   2.125] ; [48.125  0.875],0
p2,1,0.188886,1.726286,[105  15] ; [39 10],[102.24852071  17.75147929] ; [41.75147929  7.24852071],0
a4,1,0.232959,1.422704,[66 54] ; [22 27],[62.4852071 57.5147929] ; [25.5147929 23.4852071],0
s4,1,0.237389,1.396034,[29 90] ; [16 32],[32.06586826 86.93413174] ; [12.93413174 35.06586826],0
a5,1,0.24904,1.328682,[106  14] ; [40  9],[103.66863905  16.33136095] ; [42.33136095  6.66863905],0
s3,1,0.265596,1.239351,[95 22] ; [36 13],[92.3313253 24.6686747] ; [38.6686747 10.3313253],0
b5,1,0.266779,1.233234,[70 50] ; [24 25],[66.74556213 53.25443787] ; [27.25443787 21.74556213],0
s1,1,0.267535,1.229345,[  3 113] ; [ 3 46],[  4.21818182 111.78181818] ; [ 1.78181818 47.21818182],0
p11,1,0.27866,1.173611,[95 25] ; [35 14],[92.30769231 27.69230769] ; [37.69230769 11.30769231],0
d2,1,0.324176,0.972026,[66 54] ; [31 18],[68.87573964 51.12426036] ; [28.12426036 20.87573964],0
s7,1,0.328844,0.953447,[95 19] ; [42  5],[97.00621118 16.99378882] ; [39.99378882  7.00621118],0
u3,1,0.33281,0.937934,[11  3] ; [8 5],[9.85185185 4.14814815] ; [9.14814815 3.85185185],0
d1,1,0.352533,0.864317,[87 33] ; [32 17],[84.49704142 35.50295858] ; [34.50295858 14.49704142],0
a6,1,0.369219,0.806293,[79 40] ; [36 13],[81.45833333 37.54166667] ; [33.54166667 15.45833333],0
a1,1,0.413709,0.668116,[  9 111] ; [ 2 47],[  7.81065089 112.18934911] ; [ 3.18934911 45.81065089],0
n1,1,0.42872,0.626289,[16 11] ; [8 9],[14.72727273 12.27272727] ; [9.27272727 7.72727273],0
a8,1,0.431623,0.618453,[18 92] ; [ 5 39],[16.42857143 93.57142857] ; [ 6.57142857 37.42857143],0
a7,1,0.445523,0.582015,[81 39] ; [36 13],[83.07692308 36.92307692] ; [33.92307692 15.07692308],0
r1,1,0.445606,0.581804,[106  12] ; [42  7],[104.5748503  13.4251497] ; [43.4251497  5.5748503],0
d3,1,0.453889,0.560923,[90 30] ; [34 15],[88.04733728 31.95266272] ; [35.95266272 13.04733728],0
p1,1,0.475965,0.508095,[ 17 102] ; [ 5 44],[ 15.58333333 103.41666667] ; [ 6.41666667 42.58333333],0
r3,1,0.581913,0.303153,[117   3] ; [47  2],[116.44970414   3.55029586] ; [47.55029586  1.44970414],0
r2,1,0.581913,0.303153,[117   3] ; [47  2],[116.44970414   3.55029586] ; [47.55029586  1.44970414],0
b1,1,0.597682,0.278506,[51 69] ; [23 26],[52.5443787 67.4556213] ; [21.4556213 27.5443787],0
p10,1,0.615022,0.252927,[109  10] ; [46  3],[109.79166667   9.20833333] ; [45.20833333  3.79166667],0
b4,1,0.627146,0.23595,[71 49] ; [27 22],[69.58579882 50.41420118] ; [28.41420118 20.58579882],0
s6,1,0.638325,0.22094,[109  10] ; [45  3],[109.73652695   9.26347305] ; [44.26347305  3.73652695],0
u4,1,0.652749,0.202452,[  4 116] ; [ 1 48],[  3.55029586 116.44970414] ; [ 1.44970414 47.55029586],0
n6,1,0.676817,0.173731,[105  12] ; [45  4],[105.72289157  11.27710843] ; [44.27710843  4.72289157],0
n4,1,0.692676,0.156204,[97 21] ; [39 10],[96.09580838 21.90419162] ; [39.90419162  9.09580838],0
a2,1,0.73456,0.114966,[36 84] ; [16 33],[36.92307692 83.07692308] ; [15.07692308 33.92307692],0
p12,1,0.776486,0.0806,[ 17 103] ; [ 6 42],[ 16.42857143 103.57142857] ; [ 6.57142857 41.42857143],0
b2,1,0.789224,0.071459,[39 40] ; [13 15],[38.39252336 40.60747664] ; [13.60747664 14.39252336],0
b3,1,0.789224,0.071459,[39 40] ; [13 15],[38.39252336 40.60747664] ; [13.60747664 14.39252336],0
u2,1,0.816334,0.053946,[8 6] ; [8 5],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
p9,1,0.896463,0.016934,[112   8] ; [46  3],[112.18934911   7.81065089] ; [45.81065089  3.18934911],0
u1,1,0.985514,0.00033,[32 88] ; [13 36],[31.95266272 88.04733728] ; [13.04733728 35.95266272],0
