Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000342,12.823206,[6 4] ; [62  3],[9.06666667 0.93333333] ; [58.93333333  6.06666667],1
p3,1,0.01094,6.475109,[4 5] ; [55 12],[6.98684211 2.01315789] ; [52.01315789 14.98684211],0
p9,1,0.025122,5.015488,[8 2] ; [64  2],[9.47368421 0.52631579] ; [62.52631579  3.47368421],0
r4,1,0.053335,3.733385,[7 3] ; [61  6],[8.83116883 1.16883117] ; [59.16883117  7.83116883],0
p4,1,0.053428,3.730482,[5 3] ; [59  8],[6.82666667 1.17333333] ; [57.17333333  9.82666667],0
s2,1,0.060486,3.524011,[3 7] ; [40 25],[5.73333333 4.26666667] ; [37.26666667 27.73333333],0
d5,1,0.066759,3.360973,[5 4] ; [55 12],[7.10526316 1.89473684] ; [52.89473684 14.10526316],0
p7,1,0.075959,3.149307,[5 4] ; [53 12],[7.05405405 1.94594595] ; [50.94594595 14.05405405],0
v4,1,0.122061,2.390674,[9 1] ; [64  1],[9.73333333 0.26666667] ; [63.26666667  1.73333333],0
b4,1,0.13808,2.199225,[8 2] ; [37 30],[5.84415584 4.15584416] ; [39.15584416 27.84415584],0
a6,1,0.138494,2.194616,[8 1] ; [43 24],[6.03947368 2.96052632] ; [44.96052632 22.03947368],0
b5,1,0.189483,1.721632,[7 3] ; [32 35],[5.06493506 4.93506494] ; [33.93506494 33.06493506],0
s1,1,0.19829,1.654925,[2 8] ; [ 5 62],[0.90909091 9.09090909] ; [ 6.09090909 60.90909091],0
u3,1,0.210209,1.569986,[1 2] ; [10  4],[1.94117647 1.05882353] ; [9.05882353 4.94117647],0
p8,1,0.245222,1.350324,[7 3] ; [56 10],[8.28947368 1.71052632] ; [54.71052632 11.28947368],0
s7,1,0.258822,1.275046,[5 4] ; [45 16],[6.42857143 2.57142857] ; [43.57142857 17.42857143],0
s8,1,0.283205,1.151644,[4 5] ; [41 24],[5.47297297 3.52702703] ; [39.52702703 25.47297297],0
