Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,73.488791,[45 58] ; [254  41],[77.37939698 25.62060302] ; [221.62060302  73.37939698],1
p9,1,0.0,48.76603,[54 48] ; [253  40],[79.27594937 22.72405063] ; [227.72405063  65.27594937],1
n6,1,0.0,40.980694,[62 46] ; [256  39],[85.22084367 22.77915633] ; [232.77915633  62.22084367],1
p2,1,0.0,39.729852,[62 45] ; [257  39],[84.69727047 22.30272953] ; [234.30272953  61.69727047],1
r3,1,0.0,28.466943,[88 18] ; [288   7],[99.3915212  6.6084788] ; [276.6084788  18.3915212],1
r4,1,1e-06,23.792881,[77 31] ; [270  28],[92.30541872 15.69458128] ; [254.69458128  43.30541872],1
p8,1,5e-06,20.948847,[30 74] ; [161 132],[50.03526448 53.96473552] ; [140.96473552 152.03526448],1
v4,1,9e-06,19.713459,[90 18] ; [283  11],[100.20895522   7.79104478] ; [272.79104478  21.20895522],1
p4,1,4.4e-05,16.690187,[38 68] ; [175 122],[56.0248139 49.9751861] ; [156.9751861 140.0248139],1
n4,1,8.2e-05,15.502392,[60 48] ; [225  72],[76. 32.] ; [209.  88.],1
n5,1,0.000137,14.536224,[56 51] ; [214  81],[71.86567164 35.13432836] ; [198.13432836  96.86567164],1
p7,1,0.001139,10.587564,[45 60] ; [177 112],[59.16243655 45.83756345] ; [162.83756345 126.16243655],0
a6,1,0.001896,9.648011,[69 38] ; [237  61],[80.84444444 26.15555556] ; [225.15555556  72.84444444],0
b1,1,0.002579,9.083813,[52 56] ; [ 95 203],[39.10344828 68.89655172] ; [107.89655172 190.10344828],0
s1,1,0.002658,9.028395,[ 9 97] ; [  6 289],[  3.96508728 102.03491272] ; [ 11.03491272 283.96508728],0
p3,1,0.00511,7.840153,[33 73] ; [139 158],[45.24069479 60.75930521] ; [126.75930521 170.24069479],0
v2,1,0.005599,7.675045,[42 61] ; [161 123],[54.02842377 48.97157623] ; [148.97157623 135.02842377],0
