Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,6.3e-05,15.999854,[407  99] ; [32 24],[395.25622776 110.74377224] ; [43.74377224 12.25622776],1
d1,1,0.000328,12.900677,[332 175] ; [23 33],[319.68916519 187.31083481] ; [35.31083481 20.68916519],1
n6,1,0.000415,12.461628,[467  38] ; [43 12],[459.91071429  45.08928571] ; [50.08928571  4.91071429],1
p3,1,0.000857,11.113547,[279 223] ; [18 38],[267.19354839 234.80645161] ; [29.80645161 26.19354839],1
d2,1,0.001977,9.570614,[280 223] ; [19 37],[269.04651163 233.95348837] ; [29.95348837 26.04651163],0
r2,1,0.004044,8.263889,[493  11] ; [51  5],[489.6  14.4] ; [54.4  1.6],0
n1,1,0.006257,7.474741,[46 46] ; [ 3 16],[40.61261261 51.38738739] ; [ 8.38738739 10.61261261],0
p5,1,0.016207,5.780321,[ 77 423] ; [ 2 54],[ 71.04316547 428.95683453] ; [ 7.95683453 48.04316547],0
p10,1,0.018694,5.529941,[432  68] ; [41 14],[426.12612613  73.87387387] ; [46.87387387  8.12612613],0
s5,1,0.025091,5.017597,[191 298] ; [13 42],[183.375 305.625] ; [20.625 34.375],0
p4,1,0.02664,4.913987,[334 167] ; [29 27],[326.50448833 174.49551167] ; [36.49551167 19.50448833],0
u1,1,0.0273,4.871737,[120 387] ; [ 6 50],[113.46714032 393.53285968] ; [12.53285968 43.46714032],0
s4,1,0.031549,4.622829,[ 70 426] ; [14 42],[ 75.47826087 420.52173913] ; [ 8.52173913 47.47826087],0
d5,1,0.034808,4.454591,[425  79] ; [41 15],[419.4  84.6] ; [46.6  9.4],0
p6,1,0.042885,4.099939,[206 292] ; [15 40],[199.0198915 298.9801085] ; [21.9801085 33.0198915],0
v3,1,0.044993,4.018894,[229 259] ; [18 37],[221.98158379 266.01841621] ; [25.01841621 29.98158379],0
s7,1,0.046477,3.964205,[273 208] ; [22 30],[266.2195122 214.7804878] ; [28.7804878 23.2195122],0
a4,1,0.060988,3.510309,[255 248] ; [21 35],[248.35062612 254.64937388] ; [27.64937388 28.35062612],0
s3,1,0.070654,3.267753,[300 194] ; [27 29],[293.70545455 200.29454545] ; [33.29454545 22.70545455],0
s6,1,0.079901,3.066909,[364 131] ; [35 21],[358.44827586 136.55172414] ; [40.55172414 15.44827586],0
a8,1,0.085923,2.949146,[ 79 372] ; [ 4 46],[ 74.71656687 376.28343313] ; [ 8.28343313 41.71656687],0
p12,1,0.095492,2.779266,[ 53 448] ; [ 2 54],[ 49.47037702 451.52962298] ; [ 5.52962298 50.47037702],0
p11,1,0.09954,2.712891,[417  90] ; [41 15],[412.44404973  94.55595027] ; [45.55595027 10.44404973],0
s2,1,0.127484,2.322874,[280 218] ; [25 30],[274.66546112 223.33453888] ; [30.33453888 24.66546112],0
p2,1,0.171576,1.869117,[430  73] ; [44 12],[426.51520572  76.48479428] ; [47.48479428  8.51520572],0
s8,1,0.176242,1.829032,[253 247] ; [23 33],[248.20143885 251.79856115] ; [27.79856115 28.20143885],0
a2,1,0.200695,1.637307,[150 357] ; [12 44],[145.88632327 361.11367673] ; [16.11367673 39.88632327],0
u3,1,0.259891,1.269335,[75 49] ; [12  4],[77.05714286 46.94285714] ; [9.94285714 6.05714286],0
r4,1,0.26093,1.263817,[487  20] ; [52  4],[485.38721137  21.61278863] ; [53.61278863  2.38721137],0
p1,1,0.283948,1.148097,[ 49 454] ; [ 3 53],[ 46.79069767 456.20930233] ; [ 5.20930233 50.79069767],0
r3,1,0.28996,1.119808,[483  21] ; [51  4],[481.45974955  22.54025045] ; [52.54025045  2.45974955],0
p9,1,0.313707,1.015006,[432  66] ; [45 10],[429.55877034  68.44122966] ; [47.44122966  7.55877034],0
u2,1,0.33544,0.927783,[69 54] ; [11  5],[70.79136691 52.20863309] ; [9.20863309 6.79136691],0
d3,1,0.40246,0.700963,[360 144] ; [37 19],[357.3 146.7] ; [39.7 16.3],0
v1,1,0.40384,0.696863,[300 197] ; [30 25],[297.11956522 199.88043478] ; [32.88043478 22.11956522],0
b5,1,0.409769,0.67947,[297 210] ; [36 20],[299.87744227 207.12255773] ; [33.12255773 22.87744227],0
a3,1,0.419938,0.65049,[383 119] ; [40 16],[380.5483871 121.4516129] ; [42.4516129 13.5483871],0
s1,1,0.448979,0.573228,[ 19 477] ; [ 1 54],[ 18.00362976 477.99637024] ; [ 1.99637024 53.00362976],0
n2,1,0.465798,0.531927,[72 22] ; [16  3],[73.20353982 20.79646018] ; [14.79646018  4.20353982],0
p8,1,0.480239,0.498321,[285 209] ; [29 26],[282.5428051 211.4571949] ; [31.4571949 23.5428051],0
b4,1,0.563751,0.333251,[292 215] ; [30 26],[289.97158082 217.02841918] ; [32.02841918 23.97158082],0
n3,1,0.584222,0.299458,[64 28] ; [12  7],[62.99099099 29.00900901] ; [13.00900901  5.99099099],0
u4,1,0.616201,0.251243,[ 15 492] ; [ 1 55],[ 14.40852575 492.59147425] ; [ 1.59147425 54.40852575],0
a6,1,0.695858,0.152816,[354 149] ; [38 18],[352.72987478 150.27012522] ; [39.27012522 16.72987478],0
a7,1,0.701474,0.146943,[372 132] ; [40 16],[370.8 133.2] ; [41.2 14.8],0
d4,1,0.726172,0.122656,[420  82] ; [45 10],[419.08438061  82.91561939] ; [45.91561939  9.08438061],0
p7,1,0.776158,0.080843,[333 157] ; [35 18],[332.08103131 157.91896869] ; [35.91896869 17.08103131],0
b2,1,0.782429,0.076261,[131 192] ; [11 18],[130.30113636 192.69886364] ; [11.69886364 17.30113636],0
b3,1,0.782429,0.076261,[131 192] ; [11 18],[130.30113636 192.69886364] ; [11.69886364 17.30113636],0
v2,1,0.872357,0.025813,[291 197] ; [31 22],[290.45471349 197.54528651] ; [31.54528651 21.45471349],0
b1,1,0.949252,0.004051,[206 301] ; [23 33],[206.22202487 300.77797513] ; [22.77797513 33.22202487],0
